Afstemningsområde,Partibogstav,Stemmetal,procent_22
0. Christiansø,UP,0,0.0
0. Christiansø,S,38,32.2
0. Christiansø,R,6,5.1
0. Christiansø,K,10,8.5
0. Christiansø,NB,2,1.7
0. Christiansø,SF,16,13.6
0. Christiansø,LA,2,1.7
0. Christiansø,M,8,6.8
0. Christiansø,DF,0,0.0
0. Christiansø,FG,0,0.0
0. Christiansø,V,4,3.4
0. Christiansø,ALT,14,11.9
0. Christiansø,DD,10,8.5
0. Christiansø,EL,6,5.1
1. 1. Østerbro,UP,28,0.1
1. 1. Østerbro,S,3330,17.4
1. 1. Østerbro,R,1646,8.6
1. 1. Østerbro,K,1040,5.4
1. 1. Østerbro,NB,270,1.4
1. 1. Østerbro,SF,2296,12.0
1. 1. Østerbro,LA,2092,10.9
1. 1. Østerbro,M,2136,11.1
1. 1. Østerbro,DF,174,0.9
1. 1. Østerbro,FG,134,0.7
1. 1. Østerbro,V,1892,9.9
1. 1. Østerbro,ALT,1696,8.8
1. 1. Østerbro,DD,166,0.9
1. 1. Østerbro,EL,2242,11.7
"1. 10. Kreds, Søerne",UP,12,0.1
"1. 10. Kreds, Søerne",S,2482,16.9
"1. 10. Kreds, Søerne",R,1270,8.6
"1. 10. Kreds, Søerne",K,1170,8.0
"1. 10. Kreds, Søerne",NB,158,1.1
"1. 10. Kreds, Søerne",SF,1594,10.9
"1. 10. Kreds, Søerne",LA,1442,9.8
"1. 10. Kreds, Søerne",M,1636,11.1
"1. 10. Kreds, Søerne",DF,142,1.0
"1. 10. Kreds, Søerne",FG,158,1.1
"1. 10. Kreds, Søerne",V,1404,9.6
"1. 10. Kreds, Søerne",ALT,1384,9.4
"1. 10. Kreds, Søerne",DD,164,1.1
"1. 10. Kreds, Søerne",EL,1638,11.2
1. Aabybro,UP,2,0.0
1. Aabybro,S,3034,35.4
1. Aabybro,R,130,1.5
1. Aabybro,K,380,4.4
1. Aabybro,NB,192,2.2
1. Aabybro,SF,352,4.1
1. Aabybro,LA,718,8.4
1. Aabybro,M,616,7.2
1. Aabybro,DF,134,1.6
1. Aabybro,FG,2,0.0
1. Aabybro,V,1608,18.8
1. Aabybro,ALT,74,0.9
1. Aabybro,DD,1186,13.9
1. Aabybro,EL,84,1.0
1. Aakjær,UP,2,0.0
1. Aakjær,S,2890,31.8
1. Aakjær,R,134,1.5
1. Aakjær,K,586,6.4
1. Aakjær,NB,326,3.6
1. Aakjær,SF,638,7.0
1. Aakjær,LA,712,7.8
1. Aakjær,M,484,5.3
1. Aakjær,DF,190,2.1
1. Aakjær,FG,34,0.4
1. Aakjær,V,1204,13.3
1. Aakjær,ALT,114,1.3
1. Aakjær,DD,1454,16.0
1. Aakjær,EL,268,2.9
1. Aalestrup,UP,2,0.0
1. Aalestrup,S,1226,26.8
1. Aalestrup,R,42,0.9
1. Aalestrup,K,280,6.1
1. Aalestrup,NB,204,4.5
1. Aalestrup,SF,288,6.3
1. Aalestrup,LA,258,5.6
1. Aalestrup,M,166,3.6
1. Aalestrup,DF,132,2.9
1. Aalestrup,FG,4,0.1
1. Aalestrup,V,782,17.1
1. Aalestrup,ALT,18,0.4
1. Aalestrup,DD,1122,24.5
1. Aalestrup,EL,38,0.8
1. Agersted,UP,0,0.0
1. Agersted,S,308,31.1
1. Agersted,R,10,1.0
1. Agersted,K,28,2.8
1. Agersted,NB,52,5.3
1. Agersted,SF,46,4.6
1. Agersted,LA,54,5.5
1. Agersted,M,42,4.2
1. Agersted,DF,26,2.6
1. Agersted,FG,2,0.2
1. Agersted,V,120,12.1
1. Agersted,ALT,20,2.0
1. Agersted,DD,252,25.5
1. Agersted,EL,26,2.6
1. Allested-Vejle,UP,2,0.1
1. Allested-Vejle,S,652,31.9
1. Allested-Vejle,R,36,1.8
1. Allested-Vejle,K,56,2.7
1. Allested-Vejle,NB,102,5.0
1. Allested-Vejle,SF,140,6.9
1. Allested-Vejle,LA,102,5.0
1. Allested-Vejle,M,130,6.4
1. Allested-Vejle,DF,100,4.9
1. Allested-Vejle,FG,6,0.3
1. Allested-Vejle,V,330,16.2
1. Allested-Vejle,ALT,40,2.0
1. Allested-Vejle,DD,270,13.2
1. Allested-Vejle,EL,68,3.3
1. Allinge,UP,6,0.1
1. Allinge,S,1444,34.3
1. Allinge,R,42,1.0
1. Allinge,K,152,3.6
1. Allinge,NB,88,2.1
1. Allinge,SF,266,6.3
1. Allinge,LA,164,3.9
1. Allinge,M,250,5.9
1. Allinge,DF,204,4.9
1. Allinge,FG,6,0.1
1. Allinge,V,756,18.0
1. Allinge,ALT,148,3.5
1. Allinge,DD,280,6.7
1. Allinge,EL,318,7.6
1. Ans,UP,8,0.2
1. Ans,S,960,21.7
1. Ans,R,60,1.4
1. Ans,K,348,7.9
1. Ans,NB,138,3.1
1. Ans,SF,252,5.7
1. Ans,LA,352,8.0
1. Ans,M,272,6.2
1. Ans,DF,86,1.9
1. Ans,FG,2,0.0
1. Ans,V,1150,26.1
1. Ans,ALT,66,1.5
1. Ans,DD,548,12.4
1. Ans,EL,94,2.1
1. Arenaskolen,UP,12,0.2
1. Arenaskolen,S,2336,32.0
1. Arenaskolen,R,150,2.1
1. Arenaskolen,K,330,4.5
1. Arenaskolen,NB,262,3.6
1. Arenaskolen,SF,458,6.3
1. Arenaskolen,LA,506,6.9
1. Arenaskolen,M,806,11.0
1. Arenaskolen,DF,430,5.9
1. Arenaskolen,FG,150,2.1
1. Arenaskolen,V,1046,14.3
1. Arenaskolen,ALT,98,1.3
1. Arenaskolen,DD,464,6.4
1. Arenaskolen,EL,222,3.0
1. Asminderød,UP,12,0.1
1. Asminderød,S,1996,23.5
1. Asminderød,R,352,4.1
1. Asminderød,K,672,7.9
1. Asminderød,NB,364,4.3
1. Asminderød,SF,558,6.6
1. Asminderød,LA,1012,11.9
1. Asminderød,M,1020,12.0
1. Asminderød,DF,246,2.9
1. Asminderød,FG,20,0.2
1. Asminderød,V,1326,15.6
1. Asminderød,ALT,200,2.4
1. Asminderød,DD,464,5.5
1. Asminderød,EL,224,2.6
1. Asnæs,UP,6,0.1
1. Asnæs,S,1780,32.7
1. Asnæs,R,72,1.3
1. Asnæs,K,214,3.9
1. Asnæs,NB,274,5.0
1. Asnæs,SF,538,9.9
1. Asnæs,LA,220,4.0
1. Asnæs,M,624,11.5
1. Asnæs,DF,274,5.0
1. Asnæs,FG,8,0.1
1. Asnæs,V,776,14.2
1. Asnæs,ALT,76,1.4
1. Asnæs,DD,438,8.0
1. Asnæs,EL,142,2.6
1. Assens,UP,22,0.3
1. Assens,S,3286,39.0
1. Assens,R,112,1.3
1. Assens,K,382,4.5
1. Assens,NB,328,3.9
1. Assens,SF,498,5.9
1. Assens,LA,390,4.6
1. Assens,M,638,7.6
1. Assens,DF,264,3.1
1. Assens,FG,20,0.2
1. Assens,V,1224,14.5
1. Assens,ALT,162,1.9
1. Assens,DD,798,9.5
1. Assens,EL,262,3.1
1. Aunslevhallen,UP,6,0.3
1. Aunslevhallen,S,630,28.6
1. Aunslevhallen,R,36,1.6
1. Aunslevhallen,K,62,2.8
1. Aunslevhallen,NB,110,5.0
1. Aunslevhallen,SF,168,7.6
1. Aunslevhallen,LA,142,6.5
1. Aunslevhallen,M,188,8.5
1. Aunslevhallen,DF,102,4.6
1. Aunslevhallen,FG,6,0.3
1. Aunslevhallen,V,324,14.7
1. Aunslevhallen,ALT,42,1.9
1. Aunslevhallen,DD,306,13.9
1. Aunslevhallen,EL,70,3.2
1. Bagenkop,UP,0,0.0
1. Bagenkop,S,350,28.4
1. Bagenkop,R,8,0.6
1. Bagenkop,K,50,4.1
1. Bagenkop,NB,46,3.7
1. Bagenkop,SF,82,6.6
1. Bagenkop,LA,30,2.4
1. Bagenkop,M,106,8.6
1. Bagenkop,DF,52,4.2
1. Bagenkop,FG,2,0.2
1. Bagenkop,V,226,18.3
1. Bagenkop,ALT,20,1.6
1. Bagenkop,DD,234,19.0
1. Bagenkop,EL,28,2.3
1. Bagsværd,UP,4,0.1
1. Bagsværd,S,1906,24.0
1. Bagsværd,R,608,7.7
1. Bagsværd,K,584,7.4
1. Bagsværd,NB,168,2.1
1. Bagsværd,SF,836,10.5
1. Bagsværd,LA,720,9.1
1. Bagsværd,M,978,12.3
1. Bagsværd,DF,250,3.1
1. Bagsværd,FG,42,0.5
1. Bagsværd,V,926,11.7
1. Bagsværd,ALT,282,3.5
1. Bagsværd,DD,202,2.5
1. Bagsværd,EL,420,5.3
1. Billund,UP,6,0.1
1. Billund,S,1954,24.3
1. Billund,R,200,2.5
1. Billund,K,454,5.6
1. Billund,NB,362,4.5
1. Billund,SF,356,4.4
1. Billund,LA,648,8.0
1. Billund,M,974,12.1
1. Billund,DF,212,2.6
1. Billund,FG,12,0.1
1. Billund,V,1634,20.3
1. Billund,ALT,88,1.1
1. Billund,DD,960,11.9
1. Billund,EL,142,1.8
1. Birkerød,UP,4,0.0
1. Birkerød,S,1754,20.0
1. Birkerød,R,832,9.5
1. Birkerød,K,818,9.3
1. Birkerød,NB,194,2.2
1. Birkerød,SF,792,9.0
1. Birkerød,LA,832,9.5
1. Birkerød,M,1002,11.4
1. Birkerød,DF,138,1.6
1. Birkerød,FG,50,0.6
1. Birkerød,V,1372,15.7
1. Birkerød,ALT,310,3.5
1. Birkerød,DD,218,2.5
1. Birkerød,EL,430,4.9
1. Blistrup,UP,18,0.3
1. Blistrup,S,1474,25.5
1. Blistrup,R,88,1.5
1. Blistrup,K,290,5.0
1. Blistrup,NB,456,7.9
1. Blistrup,SF,350,6.0
1. Blistrup,LA,404,7.0
1. Blistrup,M,794,13.7
1. Blistrup,DF,266,4.6
1. Blistrup,FG,10,0.2
1. Blistrup,V,660,11.4
1. Blistrup,ALT,144,2.5
1. Blistrup,DD,564,9.7
