opstillingskreds_dagi,Opstillingskreds,Partibogstav,Stemmetal,procent_22
403550,Rønne,ALT,286,2.4
403550,Rønne,DD,728,6.0
403550,Rønne,DF,811,6.7
403550,Rønne,EL,536,4.4
403550,Rønne,FG,23,0.2
403550,Rønne,K,479,4.0
403550,Rønne,LA,435,3.6
403550,Rønne,M,748,6.2
403550,Rønne,NB,255,2.1
403550,Rønne,R,106,0.9
403550,Rønne,S,4657,38.6
403550,Rønne,SF,801,6.6
403550,Rønne,UP,23,0.2
403550,Rønne,V,2188,18.1
403551,Aakirkeby,ALT,377,3.1
403551,Aakirkeby,DD,862,7.1
403551,Aakirkeby,DF,739,6.1
403551,Aakirkeby,EL,743,6.1
403551,Aakirkeby,FG,25,0.2
403551,Aakirkeby,K,447,3.7
403551,Aakirkeby,LA,457,3.8
403551,Aakirkeby,M,751,6.2
403551,Aakirkeby,NB,274,2.3
403551,Aakirkeby,R,145,1.2
403551,Aakirkeby,S,4064,33.5
403551,Aakirkeby,SF,789,6.5
403551,Aakirkeby,UP,22,0.2
403551,Aakirkeby,V,2447,20.2
403552,Helsingør,ALT,1663,4.3
403552,Helsingør,DD,1816,4.7
403552,Helsingør,DF,964,2.5
403552,Helsingør,EL,2036,5.3
403552,Helsingør,FG,422,1.1
403552,Helsingør,K,2905,7.6
403552,Helsingør,LA,3254,8.5
403552,Helsingør,M,4200,10.9
403552,Helsingør,NB,1543,4.0
403552,Helsingør,R,1801,4.7
403552,Helsingør,S,10702,27.8
403552,Helsingør,SF,2976,7.7
403552,Helsingør,UP,45,0.1
403552,Helsingør,V,4131,10.7
403553,Egedal,ALT,1655,3.1
403553,Egedal,DD,2125,4.0
403553,Egedal,DF,1321,2.5
403553,Egedal,EL,2326,4.4
403553,Egedal,FG,305,0.6
403553,Egedal,K,3777,7.2
403553,Egedal,LA,4584,8.7
403553,Egedal,M,6159,11.7
403553,Egedal,NB,1591,3.0
403553,Egedal,R,2865,5.4
403553,Egedal,S,13564,25.7
403553,Egedal,SF,4581,8.7
403553,Egedal,UP,41,0.1
403553,Egedal,V,7853,14.9
403554,Fredensborg,ALT,1199,3.0
403554,Fredensborg,DD,1455,3.6
403554,Fredensborg,DF,916,2.3
403554,Fredensborg,EL,1301,3.2
403554,Fredensborg,FG,288,0.7
403554,Fredensborg,K,4051,10.1
403554,Fredensborg,LA,5097,12.7
403554,Fredensborg,M,5124,12.8
403554,Fredensborg,NB,1412,3.5
403554,Fredensborg,R,2215,5.5
403554,Fredensborg,S,7588,18.9
403554,Fredensborg,SF,2583,6.4
403554,Fredensborg,UP,34,0.1
403554,Fredensborg,V,6913,17.2
403555,Hillerød,ALT,2064,3.5
403555,Hillerød,DD,3592,6.1
403555,Hillerød,DF,1733,2.9
403555,Hillerød,EL,2641,4.5
403555,Hillerød,FG,284,0.5
403555,Hillerød,K,3661,6.2
403555,Hillerød,LA,4866,8.3
403555,Hillerød,M,7698,13.1
403555,Hillerød,NB,2814,4.8
403555,Hillerød,R,2293,3.9
403555,Hillerød,S,14270,24.2
403555,Hillerød,SF,4875,8.3
403555,Hillerød,UP,70,0.1
403555,Hillerød,V,8108,13.7
403556,Frederikssund,ALT,1371,2.8
403556,Frederikssund,DD,3571,7.4
403556,Frederikssund,DF,1987,4.1
403556,Frederikssund,EL,2128,4.4
403556,Frederikssund,FG,139,0.3
403556,Frederikssund,K,2234,4.6
403556,Frederikssund,LA,3145,6.5
403556,Frederikssund,M,4735,9.8
403556,Frederikssund,NB,2596,5.4
403556,Frederikssund,R,1118,2.3
403556,Frederikssund,S,15068,31.1
403556,Frederikssund,SF,3871,8.0
403556,Frederikssund,UP,44,0.1
403556,Frederikssund,V,6391,13.2
403557,Lyngby,ALT,1343,3.9
403557,Lyngby,DD,619,1.8
403557,Lyngby,DF,743,2.2
