storkreds_dagi,storkreds,Partibogstav,Stemmetal,procent_22
1,Københavns Storkreds,ALT,42769,9.4
1,Københavns Storkreds,DD,8334,1.8
1,Københavns Storkreds,DF,7072,1.6
1,Københavns Storkreds,EL,62611,13.8
1,Københavns Storkreds,FG,10054,2.2
1,Københavns Storkreds,K,22797,5.0
1,Københavns Storkreds,LA,38204,8.4
1,Københavns Storkreds,M,42908,9.5
1,Københavns Storkreds,NB,7512,1.7
1,Københavns Storkreds,R,34031,7.5
1,Københavns Storkreds,S,86226,19.0
1,Københavns Storkreds,SF,52080,11.5
1,Københavns Storkreds,UP,782,0.2
1,Københavns Storkreds,V,38319,8.4
2,Københavns Omegns Storkreds,ALT,8992,3.0
2,Københavns Omegns Storkreds,DD,11357,3.8
2,Københavns Omegns Storkreds,DF,11026,3.7
2,Københavns Omegns Storkreds,EL,16188,5.4
2,Københavns Omegns Storkreds,FG,6949,2.3
2,Københavns Omegns Storkreds,K,21778,7.3
2,Københavns Omegns Storkreds,LA,24172,8.1
2,Københavns Omegns Storkreds,M,32402,10.8
2,Københavns Omegns Storkreds,NB,8818,2.9
2,Københavns Omegns Storkreds,R,15266,5.1
2,Københavns Omegns Storkreds,S,83264,27.7
2,Københavns Omegns Storkreds,SF,28681,9.6
2,Københavns Omegns Storkreds,UP,392,0.1
2,Københavns Omegns Storkreds,V,30791,10.3
3,Nordsjællands Storkreds,ALT,9659,3.3
3,Nordsjællands Storkreds,DD,13859,4.8
3,Nordsjællands Storkreds,DF,7725,2.7
3,Nordsjællands Storkreds,EL,12342,4.2
3,Nordsjællands Storkreds,FG,1625,0.6
3,Nordsjællands Storkreds,K,22521,7.7
3,Nordsjællands Storkreds,LA,27497,9.5
3,Nordsjællands Storkreds,M,34417,11.8
3,Nordsjællands Storkreds,NB,11290,3.9
3,Nordsjællands Storkreds,R,14389,4.9
3,Nordsjællands Storkreds,S,69653,24.0
3,Nordsjællands Storkreds,SF,22642,7.8
3,Nordsjællands Storkreds,UP,273,0.1
3,Nordsjællands Storkreds,V,42873,14.7
4,Bornholms Storkreds,ALT,663,2.7
4,Bornholms Storkreds,DD,1590,6.6
4,Bornholms Storkreds,DF,1550,6.4
4,Bornholms Storkreds,EL,1279,5.3
4,Bornholms Storkreds,FG,48,0.2
4,Bornholms Storkreds,K,926,3.8
4,Bornholms Storkreds,LA,892,3.7
4,Bornholms Storkreds,M,1499,6.2
4,Bornholms Storkreds,NB,529,2.2
4,Bornholms Storkreds,R,251,1.0
4,Bornholms Storkreds,S,8721,36.0
4,Bornholms Storkreds,SF,1590,6.6
4,Bornholms Storkreds,UP,45,0.2
4,Bornholms Storkreds,V,4635,19.1
5,Sjællands Storkreds,ALT,10121,2.0
5,Sjællands Storkreds,DD,41865,8.1
5,Sjællands Storkreds,DF,22384,4.3
5,Sjællands Storkreds,EL,17107,3.3
5,Sjællands Storkreds,FG,2564,0.5
5,Sjællands Storkreds,K,23560,4.5
5,Sjællands Storkreds,LA,34435,6.6
5,Sjællands Storkreds,M,56326,10.9
5,Sjællands Storkreds,NB,22990,4.4
5,Sjællands Storkreds,R,12259,2.4
5,Sjællands Storkreds,S,157580,30.4
5,Sjællands Storkreds,SF,50778,9.8
5,Sjællands Storkreds,UP,906,0.2
5,Sjællands Storkreds,V,65433,12.6
6,Fyns Storkreds,ALT,8476,2.7
6,Fyns Storkreds,DD,25486,8.2
6,Fyns Storkreds,DF,8023,2.6
6,Fyns Storkreds,EL,14487,4.7
6,Fyns Storkreds,FG,2958,1.0
6,Fyns Storkreds,K,16190,5.2
6,Fyns Storkreds,LA,19992,6.4
6,Fyns Storkreds,M,30825,9.9
6,Fyns Storkreds,NB,10873,3.5
6,Fyns Storkreds,R,9305,3.0
6,Fyns Storkreds,S,101064,32.6
6,Fyns Storkreds,SF,25525,8.2
6,Fyns Storkreds,UP,334,0.1
6,Fyns Storkreds,V,36742,11.8
7,Sydjyllands Storkreds,ALT,6138,1.4
7,Sydjyllands Storkreds,DD,48454,11.4
7,Sydjyllands Storkreds,DF,12109,2.8
7,Sydjyllands Storkreds,EL,10316,2.4
7,Sydjyllands Storkreds,FG,1784,0.4
7,Sydjyllands Storkreds,K,20726,4.9
7,Sydjyllands Storkreds,LA,32580,7.6
7,Sydjyllands Storkreds,M,40065,9.4
7,Sydjyllands Storkreds,NB,26779,6.3
7,Sydjyllands Storkreds,R,9972,2.3
7,Sydjyllands Storkreds,S,122001,28.6
7,Sydjyllands Storkreds,SF,24870,5.8
7,Sydjyllands Storkreds,UP,349,0.1
7,Sydjyllands Storkreds,V,70740,16.6
8,Østjyllands Storkreds,ALT,19174,3.8
8,Østjyllands Storkreds,DD,35609,7.1
8,Østjyllands Storkreds,DF,9908,2.0
8,Østjyllands Storkreds,EL,28798,5.7
8,Østjyllands Storkreds,FG,4057,0.8
8,Østjyllands Storkreds,K,23637,4.7
8,Østjyllands Storkreds,LA,49476,9.8
8,Østjyllands Storkreds,M,43954,8.7
8,Østjyllands Storkreds,NB,17885,3.6
8,Østjyllands Storkreds,R,23453,4.7
8,Østjyllands Storkreds,S,135497,26.9
8,Østjyllands Storkreds,SF,45361,9.0
8,Østjyllands Storkreds,UP,482,0.1
8,Østjyllands Storkreds,V,66351,13.2
9,Vestjyllands Storkreds,ALT,4731,1.5
9,Vestjyllands Storkreds,DD,44086,13.8
9,Vestjyllands Storkreds,DF,6514,2.0
9,Vestjyllands Storkreds,EL,7366,2.3
9,Vestjyllands Storkreds,FG,767,0.2
9,Vestjyllands Storkreds,K,26395,8.3
9,Vestjyllands Storkreds,LA,25235,7.9
9,Vestjyllands Storkreds,M,22008,6.9
9,Vestjyllands Storkreds,NB,10047,3.1
9,Vestjyllands Storkreds,R,6100,1.9
9,Vestjyllands Storkreds,S,82187,25.7
9,Vestjyllands Storkreds,SF,20715,6.5
9,Vestjyllands Storkreds,UP,371,0.1
9,Vestjyllands Storkreds,V,62981,19.7
10,Nordjyllands Storkreds,ALT,6844,1.9
10,Nordjyllands Storkreds,DD,56156,15.2
10,Nordjyllands Storkreds,DF,7117,1.9
10,Nordjyllands Storkreds,EL,10958,3.0
10,Nordjyllands Storkreds,FG,981,0.3
10,Nordjyllands Storkreds,K,16290,4.4
10,Nordjyllands Storkreds,LA,26173,7.1
10,Nordjyllands Storkreds,M,23295,6.3
10,Nordjyllands Storkreds,NB,12801,3.5
10,Nordjyllands Storkreds,R,8905,2.4
10,Nordjyllands Storkreds,S,125802,34.2
10,Nordjyllands Storkreds,SF,20944,5.7
10,Nordjyllands Storkreds,UP,354,0.1
10,Nordjyllands Storkreds,V,51681,14.0
