Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Partiliste;667
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Tina Mortensen;212
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Anders Andreasen;18
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Lars Fibæk;5
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Karin Gaardsted;11
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Mogens Jensen;40
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Thomas Jensen;4
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Annette Lind;229
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Mette Nielsen;11
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Anne Paulin;9
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Peter Kempf Pedersen;1
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Per Kamp Stefansen;1
Struerkredsen;1. Lemvig;B;Radikale Venstre;Partiliste;25
Struerkredsen;1. Lemvig;B;Radikale Venstre;Josefine Schlosser;81
Struerkredsen;1. Lemvig;B;Radikale Venstre;Kathrine Olldag;4
Struerkredsen;1. Lemvig;B;Radikale Venstre;Johan Brødsgaard;1
Struerkredsen;1. Lemvig;B;Radikale Venstre;Michael Flarup;3
Struerkredsen;1. Lemvig;B;Radikale Venstre;Signe Driefer;0
Struerkredsen;1. Lemvig;B;Radikale Venstre;Keld Marstrand Wang;3
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Partiliste;57
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Søren Pape Poulsen;181
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Lise Bertelsen;7
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Mogens Birkelund;0
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Ole Gade;18
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Bitten Kvist Jakobsen;17
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Siff Tang Lassen;0
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Michael Norup;7
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Lennart Qvist;0
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Dina Raabjerg;1
