id,navn,stemmeseddel_navn,parti,storkreds,opstillingskredse
03662025-f626-4730-a09b-66983bc3fcd7,Benny Engelbrecht,Benny Engelbrecht,Socialdemokratiet,Sydjylland,"['Tønder', 'Esbjerg By', 'Varde', 'Vejle Nord', 'Kolding Nord', 'Fredericia', 'Vejen', 'Haderslev', 'Aabenraa', 'Vejle Syd', 'Sønderborg', 'Kolding Syd', 'Esbjerg Omegn']"
0d463ade-2bc2-414b-b3ee-219686a403f2,Birgitte Vind,Birgitte Vind,Socialdemokratiet,Sydjylland,"['Aabenraa', 'Varde', 'Tønder', 'Vejle Nord', 'Vejen', 'Kolding Nord', 'Kolding Syd', 'Fredericia', 'Vejle Syd', 'Haderslev', 'Esbjerg Omegn', 'Sønderborg', 'Esbjerg By']"
37a4aef7-28ae-4645-8ea4-f90d7f39a0d9,Theis Kylling Hommeltoft,Theis Kylling Hommeltoft,Socialdemokratiet,Sydjylland,"['Haderslev', 'Aabenraa', 'Sønderborg', 'Vejen', 'Esbjerg By', 'Kolding Syd', 'Vejle Syd', 'Vejle Nord', 'Varde', 'Esbjerg Omegn', 'Tønder', 'Fredericia', 'Kolding Nord']"
3cd0fe04-87f7-40a7-88ba-5acb15ee23de,Bjørn Laursen,Bjørn Laursen,Socialdemokratiet,Sydjylland,"['Tønder', 'Haderslev', 'Sønderborg', 'Kolding Nord', 'Esbjerg By', 'Varde', 'Aabenraa', 'Kolding Syd', 'Vejen', 'Vejle Syd', 'Fredericia', 'Esbjerg Omegn', 'Vejle Nord']"
3de4be8e-d8de-4c47-855d-f0556995eb16,Jesper Petersen,Jesper Petersen,Socialdemokratiet,Sydjylland,"['Sønderborg', 'Varde', 'Haderslev', 'Kolding Nord', 'Esbjerg By', 'Vejle Nord', 'Vejen', 'Fredericia', 'Tønder', 'Vejle Syd', 'Kolding Syd', 'Aabenraa', 'Esbjerg Omegn']"
4de509b4-5169-47bc-91f3-460316aa317e,Lars Rømer Olsen,Lars Rømer Olsen,Socialdemokratiet,Sydjylland,"['Kolding Syd', 'Esbjerg By', 'Tønder', 'Haderslev', 'Sønderborg', 'Kolding Nord', 'Vejle Nord', 'Vejle Syd', 'Varde', 'Vejen', 'Esbjerg Omegn', 'Fredericia', 'Aabenraa']"
51ae69c9-5053-40ac-8465-654070076b3f,Kim Christensen Eskesen,Kim Eskesen,Socialdemokratiet,Sydjylland,"['Vejen', 'Kolding Nord', 'Kolding Syd', 'Vejle Syd', 'Sønderborg', 'Aabenraa', 'Esbjerg By', 'Vejle Nord', 'Tønder', 'Esbjerg Omegn', 'Fredericia', 'Haderslev', 'Varde']"
5afede4c-f9de-460f-a792-496495abdb2a,Tommi Rene Christensen,Tommi Christensen,Socialdemokratiet,Sydjylland,"['Sønderborg', 'Aabenraa', 'Vejle Nord', 'Haderslev', 'Tønder', 'Kolding Nord', 'Esbjerg By', 'Vejle Syd', 'Varde', 'Kolding Syd', 'Fredericia', 'Vejen', 'Esbjerg Omegn']"
aa5bca11-7774-4c29-b16c-d7986823ce53,Anders Kronborg,Anders Kronborg,Socialdemokratiet,Sydjylland,"['Vejen', 'Haderslev', 'Tønder', 'Esbjerg By', 'Vejle Nord', 'Esbjerg Omegn', 'Sønderborg', 'Kolding Nord', 'Aabenraa', 'Vejle Syd', 'Fredericia', 'Varde', 'Kolding Syd']"
c235faa0-d879-4931-9b29-407a7d99436b,Anne Catherine Hoxcer Nielsen,Anne Catherine Hoxcer Nielsen,Socialdemokratiet,Sydjylland,"['Haderslev', 'Sønderborg', 'Esbjerg By', 'Kolding Syd', 'Aabenraa', 'Vejle Nord', 'Esbjerg Omegn', 'Varde', 'Vejen', 'Kolding Nord', 'Fredericia', 'Tønder', 'Vejle Syd']"
d673fb73-2a1f-4198-9dfe-d41125436674,Kris Jensen Skriver,Kris Jensen Skriver,Socialdemokratiet,Sydjylland,"['Kolding Syd', 'Vejle Nord', 'Esbjerg By', 'Fredericia', 'Esbjerg Omegn', 'Tønder', 'Varde', 'Sønderborg', 'Kolding Nord', 'Haderslev', 'Vejle Syd', 'Vejen', 'Aabenraa']"
