parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,20.3,27.5
Radikale Venstre,Radikale Venstre,3.1,
Det Konservative Folkeparti,Det Konservative Folkeparti,3.8,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,9.7,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,2.6,
LA,Liberal Alliance,7.7,7.9
M,Moderaterne,7.9,9.3
DF,Dansk Folkeparti,8.6,2.6
UP,Udenfor parti,0.0,0.1
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",13.9,
ALT,Alternativet,4.1,3.3
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,13.0,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,5.4,
