kandidat,parti,valgt,stemmer
Henrik Møller,Socialdemokratiet,,1796
Jacob Mark,SF,✓,1299
Birgitte Bergman,Konservative,,1193
Martin Lidegaard,Radikale,,1015
Mette Abildgaard,Konservative,✓,556
Mette Thiesen,Dansk Folkeparti,,478
Sophie Løhde,Venstre,✓,468
Fie Hækkerup,Socialdemokratiet,,402
Rasmus Lund-Nielsen,Moderaterne,,364
Ayhan Kilic,Moderaterne,,305
Marianne Bigum,SF,,299
Emil Nielsen,SF,,286
Louise Mehnke,Socialdemokratiet,,274
Rasmus Stoklund,Socialdemokratiet,✓,234
Marlene Harpsøe,Danmarksdemokraterne,,215
Helene Brydensholt,Alternativet,,214
Hans Andersen,Venstre,,202
Ulla Kokfelt,Dansk Folkeparti,,191
Christopher Arzrouni,Liberal Alliance,,181
Sinem Dybvad Demir,Enhedslisten,✓,173
Hediye Temiz,Radikale,,135
Lars Høyer Holmqvist,Liberal Alliance,,129
Matilde Powers,Socialdemokratiet,,128
Steffen W. Frølund,Liberal Alliance,,118
Freja Eva Lockenwitz,Radikale,,112
Mikkel Westh Jepsen,Radikale,,107
Emma Juul Hansen,Konservative,,100
Mikkel Hartwich,Dansk Folkeparti,,96
Christoffer Emil Jexen,Enhedslisten,,94
Philip Solberg,Liberal Alliance,,89
Marianne Lynghøj,Venstre,,87
Anja Rosengreen,SF,,84
Carolina Cámara,Enhedslisten,,82
Katarina Ammitzbøll,Venstre,,81
Chelle Lilly Albøge,Liberal Alliance,,81
Tue Villebro,Venstre,,78
Pernille Christensen,Moderaterne,,67
Emilie Schytte,Borgernes Parti,,64
Annette Rieva,Venstre,,59
Tine Hessner,Radikale,,58
Frederik Germann,Konservative,,57
Christina Thorholm,Radikale,,57
Emil Andersen,Enhedslisten,,56
Charlotte Haagendrup,Moderaterne,,49
Anna Poulsen,SF,,45
Søren Rye,Socialdemokratiet,,44
Daniel Drefeld,Konservative,,43
Jette Juul,Dansk Folkeparti,,41
Salik Anders Rosing,Alternativet,,39
Egil Hulgaard,Konservative,,38
Martin Nordstjerne,Borgernes Parti,,35
Stina Egedius Miller,SF,,34
Annie Hagel,Enhedslisten,,30
Pia Adelsteen,Dansk Folkeparti,,27
Andreas Raben,Moderaterne,,26
Brian Lyck Jørgensen,Dansk Folkeparti,,25
Rasmus Harning,Alternativet,,23
Peter Faber,Borgernes Parti,,23
Nanna Høyrup,Alternativet,,21
Kira Danholm,Liberal Alliance,,21
Christian Elkjær,Radikale,,20
Morten Hvidberg Greve,Alternativet,,20
Gert Løfgren,Dansk Folkeparti,,16
Elias Julius Binggeli,SF,,15
Jens Skov,SF,,14
Lars Bregnbak,Danmarksdemokraterne,,13
Rasmus Petersen,Enhedslisten,,12
Tine Loft Thomsen,Alternativet,,11
Johannes Joyce,Liberal Alliance,,9
Robert Mørck,Liberal Alliance,,9
Katrine Schiller,Danmarksdemokraterne,,9
Steen Tofteng,Liberal Alliance,,8
Sten Schmidl Søbjærg,Liberal Alliance,,8
Maibritt Nielsen,Danmarksdemokraterne,,7
Sofie Faureholm Lundsberg,Alternativet,,7
Steffen Sjørslev,Liberal Alliance,,6
Simon Rigét,Alternativet,,5
Ingrid Heintz,Alternativet,,4
Mariane Lunden,Alternativet,,3
