kandidat,parti,valgt,stemmer
Jacob Mark,SF,,764
Fie Hækkerup,Socialdemokratiet,,684
Mette Abildgaard,Konservative,,443
Martin Lidegaard,Radikale,,329
Mette Thiesen,Dansk Folkeparti,,314
Emma Juul Hansen,Konservative,,289
Sophie Løhde,Venstre,,229
Rasmus Lund-Nielsen,Moderaterne,,213
Tue Villebro,Venstre,,207
Christina Thorholm,Radikale,,121
Hans Andersen,Venstre,,118
Marianne Bigum,SF,,106
Louise Mehnke,Socialdemokratiet,,105
Rasmus Stoklund,Socialdemokratiet,✓,101
Brian Lyck Jørgensen,Dansk Folkeparti,,81
Steffen W. Frølund,Liberal Alliance,,78
Matilde Powers,Socialdemokratiet,,78
Birgitte Bergman,Konservative,,73
Sinem Dybvad Demir,Enhedslisten,,66
Annette Rieva,Venstre,,65
Emil Nielsen,SF,,65
Christopher Arzrouni,Liberal Alliance,,58
Helene Brydensholt,Alternativet,,51
Stina Egedius Miller,SF,,50
Jette Juul,Dansk Folkeparti,,47
Anja Rosengreen,SF,,46
Ayhan Kilic,Moderaterne,,45
Chelle Lilly Albøge,Liberal Alliance,,45
Frederik Germann,Konservative,,41
Freja Eva Lockenwitz,Radikale,,39
Charlotte Haagendrup,Moderaterne,,37
Marianne Lynghøj,Venstre,,37
Mikkel Hartwich,Dansk Folkeparti,,36
Marlene Harpsøe,Danmarksdemokraterne,,34
Pernille Christensen,Moderaterne,,34
Lars Bregnbak,Danmarksdemokraterne,,32
Henrik Møller,Socialdemokratiet,,31
Emilie Schytte,Borgernes Parti,,28
Emil Andersen,Enhedslisten,,28
Søren Rye,Socialdemokratiet,,27
Lars Høyer Holmqvist,Liberal Alliance,,24
Katarina Ammitzbøll,Venstre,,22
Hediye Temiz,Radikale,,21
Carolina Cámara,Enhedslisten,,21
Daniel Drefeld,Konservative,,20
Anna Poulsen,SF,,19
Martin Nordstjerne,Borgernes Parti,,19
Philip Solberg,Liberal Alliance,,19
Andreas Raben,Moderaterne,,19
Gert Løfgren,Dansk Folkeparti,,15
Maibritt Nielsen,Danmarksdemokraterne,,14
Peter Faber,Borgernes Parti,,14
Annie Hagel,Enhedslisten,,13
Elias Julius Binggeli,SF,,12
Mikkel Westh Jepsen,Radikale,,11
Tine Hessner,Radikale,,11
Nanna Høyrup,Alternativet,,10
Morten Hvidberg Greve,Alternativet,,9
Christoffer Emil Jexen,Enhedslisten,,9
Pia Adelsteen,Dansk Folkeparti,,9
Salik Anders Rosing,Alternativet,,8
Christian Elkjær,Radikale,,8
Robert Mørck,Liberal Alliance,,8
Sten Schmidl Søbjærg,Liberal Alliance,,7
Kira Danholm,Liberal Alliance,,7
Egil Hulgaard,Konservative,,7
Rasmus Harning,Alternativet,,7
Jens Skov,SF,,6
Katrine Schiller,Danmarksdemokraterne,,6
Steen Tofteng,Liberal Alliance,,6
Rasmus Petersen,Enhedslisten,,6
Ulla Kokfelt,Dansk Folkeparti,,6
Steffen Sjørslev,Liberal Alliance,,5
Tine Loft Thomsen,Alternativet,,3
Ingrid Heintz,Alternativet,,2
Sofie Faureholm Lundsberg,Alternativet,,2
Simon Rigét,Alternativet,,2
Mariane Lunden,Alternativet,,1
Johannes Joyce,Liberal Alliance,,0
