kandidat,parti,valgt,stemmer
Mattias Tesfaye,Socialdemokratiet,,1228
Gunvor Wibroe,Socialdemokratiet,,605
Vivi Nør Jacobsen,SF,,563
Zohair Ali,Radikale,,421
Mikkel Bjørn,Dansk Folkeparti,,392
Esat Senturk,Radikale,,346
Ibrahim Benli,Enhedslisten,,317
Isabella Arendt,Konservative,,276
Sofie F. Villadsen,SF,,172
Clara Turms,Enhedslisten,,159
Sigurd Agersnap,SF,,159
Monika Rubin,Moderaterne,,143
Morten Bødskov,Socialdemokratiet,,137
Signe Wenneberg,Alternativet,,124
Kashif Ahmad,Radikale,,108
Sofie de Bretteville,Socialdemokratiet,,107
Fatih Baran,Enhedslisten,,91
Emil Viskum,Enhedslisten,,87
Maria Durhuus,Socialdemokratiet,,87
Zishan Ali,Moderaterne,,80
Christian Vigilius,Konservative,,74
Stinus Lindgreen,Radikale,,74
Özkan Kocak,Moderaterne,,59
Helge Bo Jensen,Enhedslisten,,58
Magnus Barsøe,Socialdemokratiet,,53
Hans Blaaberg,Dansk Folkeparti,,48
Kim Valentin,Venstre,,48
Marie Brixtofte,Venstre,,46
Michael Melchert,Liberal Alliance,,45
Caroline Lochow,Enhedslisten,,44
Tina Cartey Hansen,Konservative,,41
Freja Brandhøj,Liberal Alliance,,39
Troels Stru Schmidt,SF,,38
Trine Dybkjær,Radikale,,37
Tenna Røberg,Dansk Folkeparti,,34
Christopher Blomsterberg-Thaysen,Venstre,,34
Michael Jensen,Dansk Folkeparti,,33
Jens Anton Tingstrøm,Socialdemokratiet,,32
Taner Genc,SF,,32
Christina Falkberg,Radikale,,30
Jonas Juhl,Liberal Alliance,,30
Julie Ahlefeldt-Laurvig,Konservative,,28
Charlotte Munch,Danmarksdemokraterne,,28
Helene Brochmann,SF,,28
Bianca Vitting,Enhedslisten,,27
Zandra Thulstrup Pihl,Dansk Folkeparti,,25
Mikkel Dencker,Dansk Folkeparti,,24
Betina Asbæk,Moderaterne,,23
Dorte Vilhelmsen,Konservative,,20
Nana Løcke Buttenschøn,Alternativet,,20
Mathias Fuglsang,Borgernes Parti,,19
Morten Dehn,Borgernes Parti,,19
Vibeke Westh,Socialdemokratiet,,18
Isabel Havndrup Aackmann,Radikale,,18
Dorthe Beck-Nyling,Moderaterne,,18
Anders Bo Larsen,Venstre,,17
Magnus Von Dreiager,Konservative,,17
Ruben Kidde,Radikale,,16
Kim Hammer,Dansk Folkeparti,,15
Tim Wodskou,Alternativet,,15
Astrid Søborg,Venstre,,15
Frank Clausen,Liberal Alliance,,15
Niels Haxthausen,SF,,14
Sebastian Mylsted,Danmarksdemokraterne,,13
Alexander Bruhn Skjøth,SF,,12
Frederik Lau Petersen,Moderaterne,,12
Susanne Damsgaard,Danmarksdemokraterne,,10
Allan Orland,Borgernes Parti,,10
Hanne Bjørn,Liberal Alliance,,9
Peter Samir,Alternativet,,9
Thomas Lindqvist,Alternativet,,9
Thomas Anker,Alternativet,,8
Frederik Lundberg,Borgernes Parti,,8
Jette Larsen,Konservative,,8
Patrizia Venturelli Christensen,Liberal Alliance,,8
Lars Green Bach,Radikale,,7
Jacqueline Kristensen,Liberal Alliance,,7
Ricki Vejsmose,Venstre,,7
Sune Rastad Bahn,Enhedslisten,,6
Jens Frost,Radikale,,6
Luise Hjortebjerg,Venstre,,5
Sigurd Hebo Lønholdt,Konservative,,5
Karan Khosla,Moderaterne,,4
Maria Ladegaard,Venstre,,4
Brian Køster,Radikale,,2
David Ibsen,Liberal Alliance,,2
Jesper Callesen,Alternativet,,2
Søren T. Fugleberg,Borgernes Parti,,0
