kandidat,parti,valgt,stemmer
Pelle Dragsted,Enhedslisten,✓,1523
Rosa Lund,Enhedslisten,✓,568
Franciska Rosenkilde,Alternativet,✓,470
Samira Nawa,Radikale,,404
Pil Christensen,Enhedslisten,,355
Lise Coermann,Alternativet,,263
Theresa Scavenius,Udenfor parti,,237
Ida Auken,Socialdemokratiet,,235
Magnus Georg Jensen,Radikale,,218
Nanna Bonde,SF,,179
Lisbeth Bech-Nielsen,SF,,169
Thomas Rohden,Radikale,,161
Jakob Engel-Schmidt,Moderaterne,✓,152
Carl Valentin,SF,,148
Leila Stockmarr,Enhedslisten,,135
Peter Hummelgaard,Socialdemokratiet,✓,124
Mathilde Vinther,Enhedslisten,,97
Mads Strange,Liberal Alliance,,92
Jiesper Tristan Pedersen,Alternativet,,75
Anders Storgaard,Konservative,,73
Maria Georgi Sloth,Radikale,,65
Halime Oguz,SF,,59
Sadek Al-Amood,SF,,55
Sophie Hæstorp Andersen,Socialdemokratiet,,46
Alexander Ryle,Liberal Alliance,,44
Anne-Sofie Sadolin,Radikale,,43
Emil Moselund,Radikale,,42
Yildiz Akdogan,Socialdemokratiet,,42
Linea Søgaard-Lidell,Venstre,,42
Helene Fagerhøj,Konservative,,41
Allan Feldt,Dansk Folkeparti,,41
Helle Bonnesen,Konservative,,39
Helene Langager,Radikale,,39
Ole Birk Olesen,Liberal Alliance,✓,38
Anders Sørensen,Alternativet,,38
Qasam Nazir Ahmad,Alternativet,,38
Mette Reissmann,Socialdemokratiet,,35
Jan E. Jørgensen,Venstre,,33
Rune Palm,SF,,33
Marcus Vesterager,Socialdemokratiet,,32
Jan Kristoffersen,Alternativet,,32
Mikkel Sammy Christensen,SF,,31
Pil Yildiz,Enhedslisten,,29
Charlotte Lund,Enhedslisten,,29
Nanna W. Gotfredsen,Moderaterne,,28
Merete Riisager,Liberal Alliance,,27
Kasper Nordborg Kiær,SF,,27
Carina Høedt,Konservative,,26
Ellen Emilie,Moderaterne,,25
Line Ervolder,Konservative,,25
Maria Sofie Petersen,Enhedslisten,,25
Frederik Rosberg,Radikale,,22
Rasmus Bjergegaard,Konservative,,21
Cecilie Louise Balbay Holdt,SF,,21
Asbjørn Reissmann,Socialdemokratiet,,20
Merete Dea Larsen,Dansk Folkeparti,,20
Mikkel Senna Odoom,Radikale,,17
Pernille Birch,Konservative,,16
Catharina Næsby Malkki,Alternativet,,14
Natascha Remvig,Venstre,,13
Mia Tang,Konservative,,13
Rasmus Paludan,Udenfor parti,,13
Thomas Markmann,Radikale,,13
Denise Rostgaard,Dansk Folkeparti,,13
Ali Qais,Moderaterne,,12
Roger Courage Matthisen,Alternativet,,12
Nikolai Eskild Jensen,Alternativet,,12
Noah Sturis,Alternativet,,12
Mads Sebbelov,Moderaterne,,11
Emilla Møller,Socialdemokratiet,,10
Nikolaj Bøgh,Konservative,,10
Camilla Hoffmann,Socialdemokratiet,,9
Claus Buch,Venstre,,9
Peter Martin Jakobsen,Alternativet,,9
Marianne Mortensen,Radikale,,9
Paw Karslund,Dansk Folkeparti,,9
Mette Bram,Alternativet,,8
Anders Fausbøll,Venstre,,8
Rashid Ali,Udenfor parti,,8
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,,7
Julie Herdal,Radikale,,7
David Rønne,Enhedslisten,,7
Lisbeth Dam Larsen,Moderaterne,,6
Anders Havelund Krøyer,Konservative,,6
Erik Jensen,Socialdemokratiet,,6
Kim Larsen,Enhedslisten,,5
Reinout Bosch,Enhedslisten,,5
Jakob Ravn Karlsen,Alternativet,,4
Lasse Vogel Andersen,Konservative,,4
Niels Peder Ravn,Konservative,,4
Rikke Hansen,Borgernes Parti,,4
Mikkel Bahl,Alternativet,,3
Eva Bechmann,Danmarksdemokraterne,,3
Vibeke Frost,Alternativet,,2
Mette Bloch Hansen,Enhedslisten,,2
Charlotte Nellemann,Liberal Alliance,,2
Per Nørgaard Andersen,Liberal Alliance,,2
Malene Sandfeld,Venstre,,2
Zeynep Bardakci,Venstre,,1
John Erik Wagner,Udenfor parti,,1
Line Østergaard Olsen,Liberal Alliance,,1
Flemming Steenlykke,Borgernes Parti,,1
Martin Sibast,Danmarksdemokraterne,,1
Stig Ekman,Socialdemokratiet,,1
Jarl Feyling,Socialdemokratiet,,0
Jan Schumann,Alternativet,,0
Benny Bindslev,Danmarksdemokraterne,,0
Bjarke Bisgaard Yolal,SF,,0
Torben Guldbæk,Liberal Alliance,,0
Morten Bering,SF,,0
