kandidat,parti,valgt,stemmer
Pelle Dragsted,Enhedslisten,✓,816
Franciska Rosenkilde,Alternativet,✓,291
Rosa Lund,Enhedslisten,✓,252
Samira Nawa,Radikale,,217
Ida Auken,Socialdemokratiet,,203
Pil Christensen,Enhedslisten,,145
Peter Hummelgaard,Socialdemokratiet,,137
Nanna Bonde,SF,,129
Theresa Scavenius,Udenfor parti,,127
Lise Coermann,Alternativet,,123
Lisbeth Bech-Nielsen,SF,,107
Jakob Engel-Schmidt,Moderaterne,,106
Carl Valentin,SF,,97
Magnus Georg Jensen,Radikale,,86
Thomas Rohden,Radikale,,71
Sophie Hæstorp Andersen,Socialdemokratiet,,60
Mads Strange,Liberal Alliance,,60
Jan E. Jørgensen,Venstre,,50
Qasam Nazir Ahmad,Alternativet,,47
Maria Sofie Petersen,Enhedslisten,,44
Anders Sørensen,Alternativet,,42
Sadek Al-Amood,SF,,40
Helle Bonnesen,Konservative,,38
Leila Stockmarr,Enhedslisten,,37
Mette Reissmann,Socialdemokratiet,,36
Ole Birk Olesen,Liberal Alliance,,35
Allan Feldt,Dansk Folkeparti,,30
Yildiz Akdogan,Socialdemokratiet,,30
Helene Fagerhøj,Konservative,,30
Anders Storgaard,Konservative,,27
Merete Dea Larsen,Dansk Folkeparti,,27
Pil Yildiz,Enhedslisten,,27
Helene Langager,Radikale,,27
Mathilde Vinther,Enhedslisten,,25
Cecilie Louise Balbay Holdt,SF,,25
Nanna W. Gotfredsen,Moderaterne,,24
Halime Oguz,SF,,24
Anne-Sofie Sadolin,Radikale,,24
Ali Qais,Moderaterne,,21
Charlotte Lund,Enhedslisten,,20
Denise Rostgaard,Dansk Folkeparti,,19
Jiesper Tristan Pedersen,Alternativet,,19
Rune Palm,SF,,18
Alexander Ryle,Liberal Alliance,,18
Nikolaj Bøgh,Konservative,,18
Kasper Nordborg Kiær,SF,,18
Merete Riisager,Liberal Alliance,,17
Claus Buch,Venstre,,17
Linea Søgaard-Lidell,Venstre,,17
Jan Kristoffersen,Alternativet,,16
Maria Georgi Sloth,Radikale,,16
Emil Moselund,Radikale,,15
Carina Høedt,Konservative,,15
Stig Ekman,Socialdemokratiet,,15
Rasmus Paludan,Udenfor parti,,14
Line Ervolder,Konservative,,14
Paw Karslund,Dansk Folkeparti,,14
Rikke Hansen,Borgernes Parti,,13
Rasmus Bjergegaard,Konservative,,13
Marcus Vesterager,Socialdemokratiet,,12
Reinout Bosch,Enhedslisten,,10
Mads Sebbelov,Moderaterne,,10
Roger Courage Matthisen,Alternativet,,10
Asbjørn Reissmann,Socialdemokratiet,,10
Ellen Emilie,Moderaterne,,10
Thomas Markmann,Radikale,,10
Flemming Steenlykke,Borgernes Parti,,9
Catharina Næsby Malkki,Alternativet,,9
Mia Tang,Konservative,,9
Pernille Birch,Konservative,,9
Niels Peder Ravn,Konservative,,9
Mikkel Sammy Christensen,SF,,9
Frederik Rosberg,Radikale,,8
Mikkel Senna Odoom,Radikale,,8
Martin Sibast,Danmarksdemokraterne,,7
Nikolai Eskild Jensen,Alternativet,,6
Kim Larsen,Enhedslisten,,6
Emilla Møller,Socialdemokratiet,,5
Lasse Vogel Andersen,Konservative,,5
Anders Havelund Krøyer,Konservative,,5
Camilla Hoffmann,Socialdemokratiet,,5
Erik Jensen,Socialdemokratiet,,4
Mette Bloch Hansen,Enhedslisten,,4
Line Østergaard Olsen,Liberal Alliance,,4
Lisbeth Dam Larsen,Moderaterne,,4
David Rønne,Enhedslisten,,4
Natascha Remvig,Venstre,,4
Anders Fausbøll,Venstre,,3
Eva Bechmann,Danmarksdemokraterne,,3
Rashid Ali,Udenfor parti,,3
Malene Sandfeld,Venstre,,3
Noah Sturis,Alternativet,,3
John Erik Wagner,Udenfor parti,,3
Jakob Ravn Karlsen,Alternativet,,2
Torben Guldbæk,Liberal Alliance,,2
Marianne Mortensen,Radikale,,2
Benny Bindslev,Danmarksdemokraterne,,2
Jan Schumann,Alternativet,,2
Vibeke Frost,Alternativet,,2
Jarl Feyling,Socialdemokratiet,,2
Mette Bram,Alternativet,,2
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,,2
Morten Bering,SF,,2
Julie Herdal,Radikale,,1
Bjarke Bisgaard Yolal,SF,,1
Per Nørgaard Andersen,Liberal Alliance,,1
Charlotte Nellemann,Liberal Alliance,,1
Zeynep Bardakci,Venstre,,0
Mikkel Bahl,Alternativet,,0
Peter Martin Jakobsen,Alternativet,,0
