kandidat,parti,valgt,stemmer
Pelle Dragsted,Enhedslisten,✓,1767
Ida Auken,Socialdemokratiet,✓,1222
Samira Nawa,Radikale,✓,635
Franciska Rosenkilde,Alternativet,✓,618
Jakob Engel-Schmidt,Moderaterne,✓,571
Nikolaj Bøgh,Konservative,,545
Jan E. Jørgensen,Venstre,,542
Peter Hummelgaard,Socialdemokratiet,✓,534
Anders Storgaard,Konservative,✓,485
Rosa Lund,Enhedslisten,✓,371
Lisbeth Bech-Nielsen,SF,✓,325
Mads Strange,Liberal Alliance,✓,315
Nanna Bonde,SF,✓,286
Magnus Georg Jensen,Radikale,✓,282
Thomas Rohden,Radikale,✓,277
Ole Birk Olesen,Liberal Alliance,✓,230
Pil Christensen,Enhedslisten,,176
Helle Bonnesen,Konservative,✓,168
Lise Coermann,Alternativet,,163
Carina Høedt,Konservative,,157
Carl Valentin,SF,✓,157
Allan Feldt,Dansk Folkeparti,✓,149
Merete Riisager,Liberal Alliance,,142
Linea Søgaard-Lidell,Venstre,,139
Frederik Rosberg,Radikale,,137
Helene Fagerhøj,Konservative,,133
Mette Reissmann,Socialdemokratiet,,128
Sophie Hæstorp Andersen,Socialdemokratiet,✓,123
Theresa Scavenius,Udenfor parti,,119
Maria Georgi Sloth,Radikale,,104
Alexander Ryle,Liberal Alliance,,101
Pil Yildiz,Enhedslisten,,95
Anne-Sofie Sadolin,Radikale,,92
Nanna W. Gotfredsen,Moderaterne,,87
Leila Stockmarr,Enhedslisten,✓,86
Yildiz Akdogan,Socialdemokratiet,,86
Ellen Emilie,Moderaterne,✓,80
Helene Langager,Radikale,,79
Halime Oguz,SF,,78
Sadek Al-Amood,SF,,68
Mia Tang,Konservative,,67
Mathilde Vinther,Enhedslisten,,62
Kasper Nordborg Kiær,SF,,57
Line Ervolder,Konservative,,57
Pernille Birch,Konservative,,57
Anders Sørensen,Alternativet,,56
Malene Sandfeld,Venstre,,55
Qasam Nazir Ahmad,Alternativet,,51
Rasmus Bjergegaard,Konservative,,51
Mads Sebbelov,Moderaterne,,50
Merete Dea Larsen,Dansk Folkeparti,,49
Cecilie Louise Balbay Holdt,SF,,49
Denise Rostgaard,Dansk Folkeparti,,44
Emil Moselund,Radikale,,42
Ali Qais,Moderaterne,,42
Jiesper Tristan Pedersen,Alternativet,,41
Claus Buch,Venstre,,33
Rune Palm,SF,,33
Mikkel Sammy Christensen,SF,,32
Mikkel Senna Odoom,Radikale,,31
Natascha Remvig,Venstre,,31
Niels Peder Ravn,Konservative,,31
Julie Herdal,Radikale,,30
Camilla Hoffmann,Socialdemokratiet,,30
Asbjørn Reissmann,Socialdemokratiet,,29
Marcus Vesterager,Socialdemokratiet,,27
Lisbeth Dam Larsen,Moderaterne,,27
Mette Bram,Alternativet,,27
Anders Havelund Krøyer,Konservative,,23
Rikke Hansen,Borgernes Parti,,22
Charlotte Lund,Enhedslisten,,20
Jan Kristoffersen,Alternativet,,20
Bjarke Bisgaard Yolal,SF,,19
Anders Fausbøll,Venstre,,18
Eva Bechmann,Danmarksdemokraterne,,17
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,,16
Charlotte Nellemann,Liberal Alliance,,16
Lasse Vogel Andersen,Konservative,,15
Thomas Markmann,Radikale,,15
Catharina Næsby Malkki,Alternativet,,15
Marianne Mortensen,Radikale,,15
Maria Sofie Petersen,Enhedslisten,,14
Paw Karslund,Dansk Folkeparti,,14
Nikolai Eskild Jensen,Alternativet,,13
Erik Jensen,Socialdemokratiet,,13
Roger Courage Matthisen,Alternativet,,13
Emilla Møller,Socialdemokratiet,,12
Rasmus Paludan,Udenfor parti,,10
Reinout Bosch,Enhedslisten,,10
Stig Ekman,Socialdemokratiet,,10
Kim Larsen,Enhedslisten,,10
Per Nørgaard Andersen,Liberal Alliance,,9
Flemming Steenlykke,Borgernes Parti,,9
Benny Bindslev,Danmarksdemokraterne,,8
Line Østergaard Olsen,Liberal Alliance,,8
Noah Sturis,Alternativet,,8
Zeynep Bardakci,Venstre,,6
Jarl Feyling,Socialdemokratiet,,6
Torben Guldbæk,Liberal Alliance,,5
Martin Sibast,Danmarksdemokraterne,,5
David Rønne,Enhedslisten,,4
Vibeke Frost,Alternativet,,4
Mette Bloch Hansen,Enhedslisten,,4
Morten Bering,SF,,4
Jakob Ravn Karlsen,Alternativet,,3
John Erik Wagner,Udenfor parti,,3
Peter Martin Jakobsen,Alternativet,,3
Rashid Ali,Udenfor parti,,3
Jan Schumann,Alternativet,,1
Mikkel Bahl,Alternativet,,1
