kandidat,parti,valgt,stemmer
Pelle Dragsted,Enhedslisten,,1208
Ida Auken,Socialdemokratiet,,623
Samira Nawa,Radikale,,573
Jakob Engel-Schmidt,Moderaterne,,437
Franciska Rosenkilde,Alternativet,,422
Anders Storgaard,Konservative,,401
Peter Hummelgaard,Socialdemokratiet,,324
Jan E. Jørgensen,Venstre,,304
Rosa Lund,Enhedslisten,,288
Magnus Georg Jensen,Radikale,,227
Nikolaj Bøgh,Konservative,,212
Mads Strange,Liberal Alliance,,209
Thomas Rohden,Radikale,,208
Lisbeth Bech-Nielsen,SF,,204
Nanna Bonde,SF,,188
Pil Christensen,Enhedslisten,,175
Lise Coermann,Alternativet,,142
Ole Birk Olesen,Liberal Alliance,,138
Carina Høedt,Konservative,,113
Carl Valentin,SF,,106
Theresa Scavenius,Udenfor parti,,102
Helle Bonnesen,Konservative,,92
Linea Søgaard-Lidell,Venstre,,92
Merete Riisager,Liberal Alliance,,83
Anne-Sofie Sadolin,Radikale,,80
Maria Georgi Sloth,Radikale,,80
Sophie Hæstorp Andersen,Socialdemokratiet,,77
Helene Fagerhøj,Konservative,,75
Alexander Ryle,Liberal Alliance,,74
Leila Stockmarr,Enhedslisten,,62
Mette Reissmann,Socialdemokratiet,,57
Halime Oguz,SF,,57
Frederik Rosberg,Radikale,,54
Nanna W. Gotfredsen,Moderaterne,,53
Allan Feldt,Dansk Folkeparti,,51
Helene Langager,Radikale,,49
Mathilde Vinther,Enhedslisten,,46
Cecilie Louise Balbay Holdt,SF,,43
Emil Moselund,Radikale,,43
Jiesper Tristan Pedersen,Alternativet,,39
Yildiz Akdogan,Socialdemokratiet,,38
Pil Yildiz,Enhedslisten,,38
Ellen Emilie,Moderaterne,,37
Sadek Al-Amood,SF,,35
Mia Tang,Konservative,,34
Kasper Nordborg Kiær,SF,,34
Rasmus Bjergegaard,Konservative,,32
Rune Palm,SF,,32
Line Ervolder,Konservative,,31
Malene Sandfeld,Venstre,,31
Pernille Birch,Konservative,,30
Julie Herdal,Radikale,,30
Qasam Nazir Ahmad,Alternativet,,26
Ali Qais,Moderaterne,,25
Merete Dea Larsen,Dansk Folkeparti,,23
Asbjørn Reissmann,Socialdemokratiet,,22
Anders Sørensen,Alternativet,,21
Mette Bram,Alternativet,,21
Charlotte Lund,Enhedslisten,,21
Mads Sebbelov,Moderaterne,,20
Mikkel Senna Odoom,Radikale,,19
Bjarke Bisgaard Yolal,SF,,18
Anders Fausbøll,Venstre,,18
Mikkel Sammy Christensen,SF,,16
Camilla Hoffmann,Socialdemokratiet,,15
Natascha Remvig,Venstre,,15
Roger Courage Matthisen,Alternativet,,15
Marcus Vesterager,Socialdemokratiet,,14
Jan Kristoffersen,Alternativet,,14
Emilla Møller,Socialdemokratiet,,13
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,,13
Marianne Mortensen,Radikale,,13
Anders Havelund Krøyer,Konservative,,12
Claus Buch,Venstre,,12
Denise Rostgaard,Dansk Folkeparti,,10
Niels Peder Ravn,Konservative,,10
Rasmus Paludan,Udenfor parti,,10
Paw Karslund,Dansk Folkeparti,,9
Line Østergaard Olsen,Liberal Alliance,,9
Maria Sofie Petersen,Enhedslisten,,8
Eva Bechmann,Danmarksdemokraterne,,8
Lasse Vogel Andersen,Konservative,,8
Nikolai Eskild Jensen,Alternativet,,8
Rikke Hansen,Borgernes Parti,,7
Catharina Næsby Malkki,Alternativet,,7
Reinout Bosch,Enhedslisten,,5
Thomas Markmann,Radikale,,5
Flemming Steenlykke,Borgernes Parti,,5
Lisbeth Dam Larsen,Moderaterne,,5
Per Nørgaard Andersen,Liberal Alliance,,5
David Rønne,Enhedslisten,,4
Rashid Ali,Udenfor parti,,4
Jakob Ravn Karlsen,Alternativet,,4
Erik Jensen,Socialdemokratiet,,4
Mette Bloch Hansen,Enhedslisten,,3
Peter Martin Jakobsen,Alternativet,,3
Charlotte Nellemann,Liberal Alliance,,3
Benny Bindslev,Danmarksdemokraterne,,3
Zeynep Bardakci,Venstre,,3
Vibeke Frost,Alternativet,,3
Stig Ekman,Socialdemokratiet,,3
Jarl Feyling,Socialdemokratiet,,2
Mikkel Bahl,Alternativet,,2
Morten Bering,SF,,2
Noah Sturis,Alternativet,,2
Jan Schumann,Alternativet,,1
John Erik Wagner,Udenfor parti,,1
Torben Guldbæk,Liberal Alliance,,1
Kim Larsen,Enhedslisten,,0
Martin Sibast,Danmarksdemokraterne,,0
