kandidat,parti,valgt,stemmer
Pelle Dragsted,Enhedslisten,✓,3042
Ida Auken,Socialdemokratiet,✓,1283
Franciska Rosenkilde,Alternativet,✓,1005
Samira Nawa,Radikale,✓,924
Rosa Lund,Enhedslisten,✓,783
Peter Hummelgaard,Socialdemokratiet,✓,749
Jakob Engel-Schmidt,Moderaterne,✓,617
Lisbeth Bech-Nielsen,SF,✓,601
Sophie Hæstorp Andersen,Socialdemokratiet,✓,507
Nanna Bonde,SF,✓,445
Pil Christensen,Enhedslisten,,363
Carl Valentin,SF,✓,347
Thomas Rohden,Radikale,✓,333
Jan E. Jørgensen,Venstre,,330
Helle Bonnesen,Konservative,✓,277
Mads Strange,Liberal Alliance,✓,264
Magnus Georg Jensen,Radikale,✓,260
Lise Coermann,Alternativet,,248
Ole Birk Olesen,Liberal Alliance,✓,241
Qasam Nazir Ahmad,Alternativet,,225
Yildiz Akdogan,Socialdemokratiet,,217
Halime Oguz,SF,,208
Anders Storgaard,Konservative,✓,200
Cecilie Louise Balbay Holdt,SF,,180
Allan Feldt,Dansk Folkeparti,✓,178
Leila Stockmarr,Enhedslisten,✓,169
Mette Reissmann,Socialdemokratiet,,168
Theresa Scavenius,Udenfor parti,,161
Sadek Al-Amood,SF,,158
Charlotte Lund,Enhedslisten,,152
Helene Fagerhøj,Konservative,,147
Merete Dea Larsen,Dansk Folkeparti,,146
Merete Riisager,Liberal Alliance,,137
Maria Georgi Sloth,Radikale,,136
Anne-Sofie Sadolin,Radikale,,135
Linea Søgaard-Lidell,Venstre,,130
Alexander Ryle,Liberal Alliance,,122
Kasper Nordborg Kiær,SF,,112
Anders Sørensen,Alternativet,,101
Nanna W. Gotfredsen,Moderaterne,,101
Line Ervolder,Konservative,,98
Helene Langager,Radikale,,92
Nikolaj Bøgh,Konservative,,91
Thomas Markmann,Radikale,,90
Mathilde Vinther,Enhedslisten,,90
Rune Palm,SF,,86
Niels Peder Ravn,Konservative,,86
Ellen Emilie,Moderaterne,✓,85
Jiesper Tristan Pedersen,Alternativet,,82
Pernille Birch,Konservative,,78
Ali Qais,Moderaterne,,76
Carina Høedt,Konservative,,75
Emil Moselund,Radikale,,74
Rasmus Bjergegaard,Konservative,,71
Pil Yildiz,Enhedslisten,,69
Denise Rostgaard,Dansk Folkeparti,,68
Mads Sebbelov,Moderaterne,,64
Mikkel Senna Odoom,Radikale,,60
Mia Tang,Konservative,,56
Jan Kristoffersen,Alternativet,,55
Frederik Rosberg,Radikale,,55
Reinout Bosch,Enhedslisten,,53
Maria Sofie Petersen,Enhedslisten,,52
Asbjørn Reissmann,Socialdemokratiet,,50
Paw Karslund,Dansk Folkeparti,,47
Claus Buch,Venstre,,42
Camilla Hoffmann,Socialdemokratiet,,42
Marcus Vesterager,Socialdemokratiet,,41
Lisbeth Dam Larsen,Moderaterne,,37
Mikkel Sammy Christensen,SF,,37
Roger Courage Matthisen,Alternativet,,33
Julie Herdal,Radikale,,33
Catharina Næsby Malkki,Alternativet,,32
Rikke Hansen,Borgernes Parti,,29
Rashid Ali,Udenfor parti,,29
Emilla Møller,Socialdemokratiet,,29
Natascha Remvig,Venstre,,28
Laura Emilie Fabricius-Lauritzen,Liberal Alliance,,28
Noah Sturis,Alternativet,,23
Anders Fausbøll,Venstre,,23
Mette Bram,Alternativet,,23
Anders Havelund Krøyer,Konservative,,22
Erik Jensen,Socialdemokratiet,,21
Nikolai Eskild Jensen,Alternativet,,21
Stig Ekman,Socialdemokratiet,,20
Kim Larsen,Enhedslisten,,20
Jarl Feyling,Socialdemokratiet,,20
David Rønne,Enhedslisten,,19
Eva Bechmann,Danmarksdemokraterne,,19
Malene Sandfeld,Venstre,,19
Flemming Steenlykke,Borgernes Parti,,18
Lasse Vogel Andersen,Konservative,,18
Zeynep Bardakci,Venstre,,17
Marianne Mortensen,Radikale,,16
Peter Martin Jakobsen,Alternativet,,14
Benny Bindslev,Danmarksdemokraterne,,14
Rasmus Paludan,Udenfor parti,,13
Vibeke Frost,Alternativet,,13
Bjarke Bisgaard Yolal,SF,,13
Mette Bloch Hansen,Enhedslisten,,12
Line Østergaard Olsen,Liberal Alliance,,12
Morten Bering,SF,,11
Martin Sibast,Danmarksdemokraterne,,9
Per Nørgaard Andersen,Liberal Alliance,,9
Jakob Ravn Karlsen,Alternativet,,9
Mikkel Bahl,Alternativet,,7
Torben Guldbæk,Liberal Alliance,,6
Charlotte Nellemann,Liberal Alliance,,6
John Erik Wagner,Udenfor parti,,5
Jan Schumann,Alternativet,,4
