kandidat,parti,valgt,stemmer
Alex Vanopslagh,Liberal Alliance,,4619
Thomas Monberg,Socialdemokratiet,,3807
Mona Juul,Konservative,,2960
Troels Lund Poulsen,Venstre,,2417
Michael Nedersøe,Dansk Folkeparti,,1172
Lars Boje Mathiesen,Borgernes Parti,,1100
Karina Aamann,Venstre,,1038
Nicolai Wammen,Socialdemokratiet,,892
Paw Hedegaard Amdisen,SF,,697
Kirsten Normann Andersen,SF,,528
Hans Kristian Skibby,Danmarksdemokraterne,,486
Lisbeth Ivanhoe,Enhedslisten,,444
Caroline Stage,Moderaterne,,435
Rikke Christensen,Radikale,,362
Camilla Fabricius,Socialdemokratiet,,357
Nick Zimmermann,Dansk Folkeparti,,344
Christina Egelund,Moderaterne,,315
Louise Louring,Venstre,,308
Anders Kühnau,Socialdemokratiet,,277
Sofie Lippert,SF,,199
Anders Krojgaard Lund,Konservative,,181
Katrine Robsøe,Radikale,,169
Charlotte Vindeløv,SF,,168
Anne Sophie Callesen,Radikale,,155
Carina Sarkkinen,SF,,146
Leif Lahn Jensen,Socialdemokratiet,,142
Charlotte Broman Mølbæk,SF,,141
Torsten Gejl,Alternativet,,138
Nana Harring,Dansk Folkeparti,,126
Trine Mach,Enhedslisten,,123
Louise Brown,Liberal Alliance,,117
Line Rasmussen,Radikale,,113
Kim Møller-Nielsen,Liberal Alliance,,110
Anna Brændemose,SF,,88
Erik Veje Rasmussen,Venstre,,87
Søren Vanting,Moderaterne,,81
Malte Larsen,Socialdemokratiet,,78
Sten Larsen,Moderaterne,,71
Lone Glarbo,Danmarksdemokraterne,,71
Pia Halkjær,Socialdemokratiet,,70
Rune Mikkelsen,Danmarksdemokraterne,,67
Edith Vels,Enhedslisten,,62
Susan Kronborg,Moderaterne,,62
Rabih Azad-Ahmad,Radikale,,61
Nikoline Erbs Hillers-Bendtsen,Alternativet,,58
Dorthe Hindborg,Socialdemokratiet,,56
Mathilde Hjort Bressum,Venstre,,55
Louise Høeg,Venstre,,55
Viktor Thyregod Sivertsen,Konservative,,50
Jens Kannegaard Lundager,Dansk Folkeparti,,45
Rune Christiansen,Radikale,,45
Charlotte Green,Konservative,,44
Hanne Roed,Radikale,,43
Jacob Skjærris,Konservative,,42
Magnus Bigum,Danmarksdemokraterne,,40
Erik Poulsen,Danmarksdemokraterne,,40
Mathias Thybo,Socialdemokratiet,,39
Viviane Ellasofie Karlsen,Borgernes Parti,,36
Peter Have,Moderaterne,,35
Mathias Sikora,Radikale,,34
Søren Skjold Andersen,Udenfor parti,,34
Maria Sørensen,Enhedslisten,,31
Louise Stenmann,Socialdemokratiet,,31
Maria Temponeras,Enhedslisten,,30
Rasmus T. Mortensen,SF,,30
Sara Pernille Jespersen,Moderaterne,,29
Steffen Hedegaard Attermann Brinch,Alternativet,,29
Jakob Jensen,Enhedslisten,,25
Bjørn Jensen,Konservative,,24
Søren Lahn Sloth,SF,,24
Jens Meilvang,Liberal Alliance,,23
Gitte Dreier Jacobsen,Alternativet,,22
Martin Laursen,Enhedslisten,,21
Peter Sporleder,Konservative,,20
Sebastian Støckler,Venstre,,20
Christina Hedegaard Hansen,Enhedslisten,,20
Niels Povlsgaard,Liberal Alliance,,19
Gert Bjerregaard,Venstre,,18
Chris Hvidberg,Liberal Alliance,,17
Lars Abildskov,Liberal Alliance,,15
Pernille Skærsø,Alternativet,,15
Søren Jensen,Liberal Alliance,,14
Louise Svenstrup,Liberal Alliance,,14
Caroline Svejsø,Konservative,,14
Bjørn Olsen,Alternativet,,14
Morten Siig Henriksen,SF,,14
Mercedes Czank,Dansk Folkeparti,,12
Hanne K. Mortensen,Alternativet,,11
Tina Kjær,Alternativet,,11
Karina Konrad,Alternativet,,11
Henrik Rejnholt Andersen,Venstre,,11
Dennis Munk,Enhedslisten,,11
Kristjar Skajaa,Enhedslisten,,11
Hans Skou,Venstre,,10
Emil M. D. Christensen,Venstre,,10
Michael Faust Horsbøl,Konservative,,10
Bjarke Jensen,Radikale,,9
Michael Klausen,Liberal Alliance,,9
Mads Damgaard Mortensen,Alternativet,,8
Erik Særkjær,Socialdemokratiet,,8
Thomas Quist Mortensen,Alternativet,,6
Morten Sørensen,Konservative,,6
Anna Calero,Alternativet,,6
Bia Ndamukunda,Konservative,,6
Thor Clasen Jonasen,Alternativet,,6
Sasja Elkjær Krogsdal,Alternativet,,4
Thomas Due Nielsen,Alternativet,,4
Tenna Duch Schaldemose,Alternativet,,4
Michael Bang Pedersen,Borgernes Parti,,3
Marcus Bech Pedersen,Alternativet,,2
Lissi Bagge,Alternativet,,1
Kim Sørensen,Alternativet,,1
Juma Nellemann Kruse,Alternativet,,1
