kandidat,parti,valgt,stemmer
Troels Lund Poulsen,Venstre,✓,2564
Alex Vanopslagh,Liberal Alliance,,1747
Mona Juul,Konservative,✓,841
Hans Kristian Skibby,Danmarksdemokraterne,,500
Lars Boje Mathiesen,Borgernes Parti,✓,499
Thomas Monberg,Socialdemokratiet,,440
Nicolai Wammen,Socialdemokratiet,✓,378
Rune Mikkelsen,Danmarksdemokraterne,,199
Nick Zimmermann,Dansk Folkeparti,,189
Michael Nedersøe,Dansk Folkeparti,,183
Kirsten Normann Andersen,SF,✓,157
Camilla Fabricius,Socialdemokratiet,,140
Anders Kühnau,Socialdemokratiet,,124
Christina Egelund,Moderaterne,,114
Karina Aamann,Venstre,,98
Louise Louring,Venstre,,96
Søren Vanting,Moderaterne,,95
Louise Stenmann,Socialdemokratiet,,88
Caroline Stage,Moderaterne,,74
Carina Sarkkinen,SF,,69
Rikke Christensen,Radikale,,67
Leif Lahn Jensen,Socialdemokratiet,✓,55
Nana Harring,Dansk Folkeparti,,53
Anne Sophie Callesen,Radikale,,52
Charlotte Vindeløv,SF,,52
Erik Veje Rasmussen,Venstre,,48
Paw Hedegaard Amdisen,SF,,48
Jacob Skjærris,Konservative,,42
Sofie Lippert,SF,,41
Louise Brown,Liberal Alliance,,41
Charlotte Broman Mølbæk,SF,,39
Katrine Robsøe,Radikale,,36
Line Rasmussen,Radikale,,32
Torsten Gejl,Alternativet,,30
Lone Glarbo,Danmarksdemokraterne,,30
Malte Larsen,Socialdemokratiet,,29
Christina Hedegaard Hansen,Enhedslisten,,27
Jens Kannegaard Lundager,Dansk Folkeparti,,26
Louise Høeg,Venstre,,24
Anna Brændemose,SF,,22
Kim Møller-Nielsen,Liberal Alliance,,21
Susan Kronborg,Moderaterne,,21
Søren Lahn Sloth,SF,,20
Charlotte Green,Konservative,,19
Mathias Sikora,Radikale,,18
Erik Poulsen,Danmarksdemokraterne,,18
Trine Mach,Enhedslisten,✓,17
Lisbeth Ivanhoe,Enhedslisten,,16
Mathilde Hjort Bressum,Venstre,,15
Sten Larsen,Moderaterne,,15
Pia Halkjær,Socialdemokratiet,,15
Hanne Roed,Radikale,,14
Sara Pernille Jespersen,Moderaterne,,14
Anders Krojgaard Lund,Konservative,,14
Edith Vels,Enhedslisten,,14
Peter Have,Moderaterne,,13
Dorthe Hindborg,Socialdemokratiet,,13
Mathias Thybo,Socialdemokratiet,,12
Søren Skjold Andersen,Udenfor parti,,12
Viviane Ellasofie Karlsen,Borgernes Parti,,11
Peter Sporleder,Konservative,,11
Maria Temponeras,Enhedslisten,,11
Jens Meilvang,Liberal Alliance,,10
Rune Christiansen,Radikale,,10
Louise Svenstrup,Liberal Alliance,,10
Magnus Bigum,Danmarksdemokraterne,,8
Michael Faust Horsbøl,Konservative,,8
Steffen Hedegaard Attermann Brinch,Alternativet,,8
Gert Bjerregaard,Venstre,,7
Bjørn Jensen,Konservative,,7
Henrik Rejnholt Andersen,Venstre,,6
Emil M. D. Christensen,Venstre,,6
Martin Laursen,Enhedslisten,,6
Mads Damgaard Mortensen,Alternativet,,6
Bia Ndamukunda,Konservative,,6
Caroline Svejsø,Konservative,,5
Maria Sørensen,Enhedslisten,,5
Viktor Thyregod Sivertsen,Konservative,,5
Nikoline Erbs Hillers-Bendtsen,Alternativet,,5
Mercedes Czank,Dansk Folkeparti,,5
Erik Særkjær,Socialdemokratiet,,4
Lars Abildskov,Liberal Alliance,,4
Niels Povlsgaard,Liberal Alliance,,4
Hans Skou,Venstre,,4
Anna Calero,Alternativet,,3
Sebastian Støckler,Venstre,,3
Søren Jensen,Liberal Alliance,,3
Morten Siig Henriksen,SF,,3
Chris Hvidberg,Liberal Alliance,,3
Bjørn Olsen,Alternativet,,3
Rasmus T. Mortensen,SF,,3
Morten Sørensen,Konservative,,3
Dennis Munk,Enhedslisten,,2
Gitte Dreier Jacobsen,Alternativet,,2
Tina Kjær,Alternativet,,2
Pernille Skærsø,Alternativet,,2
Rabih Azad-Ahmad,Radikale,,2
Hanne K. Mortensen,Alternativet,,2
Thomas Quist Mortensen,Alternativet,,1
Michael Bang Pedersen,Borgernes Parti,,1
Jakob Jensen,Enhedslisten,,1
Bjarke Jensen,Radikale,,1
Tenna Duch Schaldemose,Alternativet,,1
Sasja Elkjær Krogsdal,Alternativet,,1
Kristjar Skajaa,Enhedslisten,,1
Juma Nellemann Kruse,Alternativet,,1
Thor Clasen Jonasen,Alternativet,,0
Lissi Bagge,Alternativet,,0
Kim Sørensen,Alternativet,,0
Michael Klausen,Liberal Alliance,,0
Thomas Due Nielsen,Alternativet,,0
Marcus Bech Pedersen,Alternativet,,0
Karina Konrad,Alternativet,,0
