kandidat,parti,valgt,stemmer
Anne Paulin,Socialdemokratiet,,2546
Signe Munk,SF,✓,1064
Ralf Høgedal,Venstre,,662
Søren Gade,Venstre,✓,559
Anders Bøge,SF,,251
Morten Vehl Revsbeck,Danmarksdemokraterne,,200
Thomas Danielsen,Venstre,,168
Dennis Flydtkjær,Danmarksdemokraterne,,150
Lise Bertelsen,Konservative,,139
Mads Fuglede,Danmarksdemokraterne,,128
Søren Boel Olesen,Dansk Folkeparti,,114
Betina Kastbjerg,Danmarksdemokraterne,,110
Morten E.G. Brautsch,Moderaterne,,107
Mogens Jensen,Socialdemokratiet,,97
Dina Andersen-Raabjerg,Konservative,,95
Helle Jensen,Liberal Alliance,,92
Carsten Bach,Liberal Alliance,,86
Frederik Houmann Thuesen,Venstre,,80
Jørgen Christian Pedersen,Konservative,,67
Katrine Evelyn Jensen,Socialdemokratiet,,63
Trine Jepsen,Venstre,,63
Lone Langballe,Dansk Folkeparti,,61
Thorbjørn Jacobsen,Liberal Alliance,,58
Nils Brøgger,SF,,55
Helge K. Frandsen,Borgernes Parti,,44
Michelle Sundahl,Dansk Folkeparti,,43
Erik Flyvholm,Venstre,,40
Marianne Karlsmose,Konservative,,35
Jes Halfdan,Borgernes Parti,,34
Martin Sanderhoff,Moderaterne,,32
Anders Andreasen,Socialdemokratiet,,29
Michael Nielsen,Moderaterne,,28
Stine Ry Andersen,Enhedslisten,,26
Johan Brødsgaard,Radikale,,25
Maria Enemark,Borgernes Parti,,25
Philip Vivet,Radikale,,23
Peter Bilgrav,Alternativet,,21
Peter Vestergaard,Radikale,,20
Lisbeth Torfing,Enhedslisten,✓,19
Jacob Abildgaard,Enhedslisten,,16
Kasper B.G. Lauritsen,Socialdemokratiet,,15
Emma Thorup Jacobsen,SF,,15
Mikael Würtz,Dansk Folkeparti,,15
Eva Borchorst Mejnertz,Socialdemokratiet,,15
Knud Nielsen,Dansk Folkeparti,,14
Lone Kjær Hein,Radikale,,13
Lina Sikora Christiansen,Alternativet,,13
Michael Valbjørn,Liberal Alliance,,13
Michael Grove,Konservative,,12
Morten Høgh,Venstre,,12
Siff Tang Lassen,Konservative,,12
Henning Lindberg,Enhedslisten,,11
Hanne Frølund,Radikale,,11
Jeppe von Berg,Moderaterne,,11
Signe Sofie Larsen,Alternativet,,10
Marcus Juul Grønbæk,Danmarksdemokraterne,,10
Lise Jørgensen,Socialdemokratiet,,9
Bente Refslund,SF,,9
Christian Juhl,Enhedslisten,,9
Keld Lorenzen,Liberal Alliance,,9
Casper Hindkjær,Radikale,,9
Knud Gaarn-Larsen,Udenfor parti,,9
Gorm Hoff Lauridsen,Konservative,,9
Vinnie Borbjerg,Socialdemokratiet,,8
Niels Kristian Larsen,SF,,8
Simon Højer,Konservative,,7
Nicklas Verne,Konservative,,7
Ragnar Dixen,Liberal Alliance,,7
Vivi Altenburg,Danmarksdemokraterne,,7
Majbrit Nørgaard,Venstre,,6
Lau Sørensen,Konservative,,6
Lennart Qvist,Konservative,,5
Jarl Matthiesen,Venstre,,5
Annette Sofia Skotte,Liberal Alliance,,5
Nicklas Stampe Raabjerg,Alternativet,,5
Steffen Troldtoft,Liberal Alliance,,4
Lars Fibæk,Socialdemokratiet,,4
Gert Bækgaard,Venstre,,4
Svend Stein Olsen,Liberal Alliance,,4
Henning Bo Madsen,Enhedslisten,,3
Kim Pagels,Radikale,,3
Didde Krabbe Johannesen,Alternativet,,3
Aksel Rosager Johansen,Enhedslisten,,3
Iben Forum Jeppesen,Liberal Alliance,,3
Kevin Possekel,Liberal Alliance,,2
Peter Kempf Pedersen,Socialdemokratiet,,2
Lars Dohn,Enhedslisten,,1
Steffen Tolstrup,Alternativet,,1
Damian Hartvig Mathiesen,Enhedslisten,,1
Kasper Thomassen,Venstre,,1
Per Kamp Stefansen,Socialdemokratiet,,1
