kandidat,parti,valgt,stemmer
Inger Støjberg,Danmarksdemokraterne,,190
Per Husted,Socialdemokratiet,,87
Mette Frederiksen,Socialdemokratiet,,32
Bo Ritterbusch,Liberal Alliance,,27
Mikkel Bisgaard,Venstre,,19
Laura Holm,Konservative,,14
Marie Bjerre,Venstre,,10
Preben Bang Henriksen,Venstre,,9
Anders Vistisen,Dansk Folkeparti,,6
Jørgen Hammer Sørensen,Dansk Folkeparti,,6
Flemming Møller Mortensen,Socialdemokratiet,,6
Ane Halsboe-Jørgensen,Socialdemokratiet,,6
Anne Honoré Østergaard,Venstre,,4
Sólbjørg Jakobsen,Liberal Alliance,,4
Peder Larsen,SF,,3
Kim Edberg Andersen,Danmarksdemokraterne,,3
Stine Thier-Andersen,Konservative,,3
John Bjerg,Borgernes Parti,,2
Runa Friis Hansen,Enhedslisten,,2
Steffen Holme Helledie,Radikale,,2
Simon Kollerup,Socialdemokratiet,,2
Danny Rosenkilde,Dansk Folkeparti,,2
Thomas Hjort,Dansk Folkeparti,,2
Anette Jensen Smith,Alternativet,,2
Theresa Berg Andersen,SF,,2
Christina Lykke,SF,,2
Melina Andersen,SF,,1
Lasse Mejer Petersen,Enhedslisten,,1
Carsten Bedsted,Radikale,,1
Lene Burchardt,Konservative,,1
Emma Biørn Tretow-Fish,Radikale,,1
Berit Raldin,Enhedslisten,,1
Benjamin Christensen,SF,,1
Kristian Bøgsted,Danmarksdemokraterne,,1
Morten Ryom,Socialdemokratiet,,1
Line Randa,Moderaterne,,1
Filippa Emilie Vittrup,Enhedslisten,,1
Per Larsen,Konservative,,1
Anne-Marie Hemmeth,Alternativet,,1
Mohammad Rona,Moderaterne,,1
Dorte M. Nielsen,SF,,1
Niels Christensen,Borgernes Parti,,1
Anna Bjerre,Alternativet,,1
Kim Gaarsdahl,Liberal Alliance,,1
Peder Hvelplund,Enhedslisten,,1
Dorthe Pedersen,Konservative,,0
Sara Tvilling,Liberal Alliance,,0
Arne Hyldgaard,Borgernes Parti,,0
Steen Asgeir Petersen,Radikale,,0
Dorthe Kerschus,Radikale,,0
Gorm Simonsen,Radikale,,0
Ulrik Appel,Enhedslisten,,0
Torsten Schack Pedersen,Venstre,,0
Rikke Olssen,Liberal Alliance,,0
Anders Peter Hansen,Liberal Alliance,,0
Liselotte Lynge,Danmarksdemokraterne,,0
Dan Gaardboe Rueskov,Liberal Alliance,,0
Susanne Krebs,Radikale,,0
Morten Bo Bertelsen,SF,,0
René Flou,Konservative,,0
Phillip Sperling,Venstre,,0
Jacob Robsøe,Radikale,,0
Ditte Ravn Kaagaard,Moderaterne,,0
Emil Sloth,Alternativet,,0
Thomas Christiansen,Liberal Alliance,,0
Pia Elberg,Radikale,,0
Claus Skovmose,Danmarksdemokraterne,,0
Peder Key Kristiansen,Socialdemokratiet,,0
Lasse Olsen,Enhedslisten,,0
Christina Eilers,Enhedslisten,,0
Mark Hellerup,Liberal Alliance,,0
Hans Jensen,Enhedslisten,,0
Torsten Wetche,Radikale,,0
Thomas Heuniche,Liberal Alliance,,0
Sofie Therese Svendsen,Konservative,,0
Thomas Skovgaard,Moderaterne,,0
Thomas Kjeldsen,SF,,0
Henning Jørgensen,SF,,0
Michael Portefee P. Lex,Radikale,,0
Niels H. Bünemann,Venstre,,0
Jimmy Abel Nielsen,Liberal Alliance,,0
Søren Homann,Konservative,,0
Ib Poulsen,Borgernes Parti,,0
Frederik Storm,Danmarksdemokraterne,,0
Kenneth Skatka Hammer,Liberal Alliance,,0
Gabriel Aaen,Konservative,,0
Nikolaj C. Andersen,Moderaterne,,0
Kresten Solvang Larsen,Liberal Alliance,,0
Peter Larsen,Liberal Alliance,,0
Frederik Blicher Pedersen,Liberal Alliance,,0
Hans Jørgen Adamsen,Venstre,,0
Claus Beck,Liberal Alliance,,0
Paulina Laparil,Borgernes Parti,,0
Kiki Bille Bach,Socialdemokratiet,,0
Anita Vivi Lilholt,Venstre,,0
Emma Houe Mølgaard,Dansk Folkeparti,,0
HP Beck,Liberal Alliance,,0
Lukas Vestergaard,Liberal Alliance,,0
Marie Wandel,Radikale,,0
Morten Arvidsson,Moderaterne,,0
Thomas Klimek,Socialdemokratiet,,0
