kandidat,parti,valgt,stemmer
Alex Vanopslagh,Liberal Alliance,,2033
Mona Juul,Konservative,,1394
Troels Lund Poulsen,Venstre,,1175
Nicolai Wammen,Socialdemokratiet,✓,1130
Kirsten Normann Andersen,SF,,732
Charlotte Vindeløv,SF,,676
Dorthe Hindborg,Socialdemokratiet,,585
Anne Sophie Callesen,Radikale,,518
Lars Boje Mathiesen,Borgernes Parti,✓,475
Katrine Robsøe,Radikale,,334
Caroline Stage,Moderaterne,,277
Sebastian Støckler,Venstre,,258
Anders Kühnau,Socialdemokratiet,,242
Louise Louring,Venstre,,233
Camilla Fabricius,Socialdemokratiet,,217
Nick Zimmermann,Dansk Folkeparti,,208
Christina Egelund,Moderaterne,,186
Torsten Gejl,Alternativet,,169
Sofie Lippert,SF,,153
Peter Have,Moderaterne,,144
Maria Temponeras,Enhedslisten,,132
Erik Veje Rasmussen,Venstre,,131
Susan Kronborg,Moderaterne,,126
Leif Lahn Jensen,Socialdemokratiet,,95
Charlotte Broman Mølbæk,SF,,94
Trine Mach,Enhedslisten,,88
Søren Lahn Sloth,SF,,81
Line Rasmussen,Radikale,,77
Anna Brændemose,SF,,75
Kim Møller-Nielsen,Liberal Alliance,,72
Hans Kristian Skibby,Danmarksdemokraterne,,71
Nana Harring,Dansk Folkeparti,,71
Nikoline Erbs Hillers-Bendtsen,Alternativet,,71
Rune Mikkelsen,Danmarksdemokraterne,,69
Charlotte Green,Konservative,,68
Louise Brown,Liberal Alliance,,67
Michael Nedersøe,Dansk Folkeparti,,66
Mathilde Hjort Bressum,Venstre,,63
Karina Aamann,Venstre,,61
Michael Faust Horsbøl,Konservative,,60
Lone Glarbo,Danmarksdemokraterne,,59
Edith Vels,Enhedslisten,,55
Mathias Sikora,Radikale,,44
Sten Larsen,Moderaterne,,44
Louise Høeg,Venstre,,42
Paw Hedegaard Amdisen,SF,,42
Carina Sarkkinen,SF,,42
Hanne Roed,Radikale,,40
Rabih Azad-Ahmad,Radikale,,37
Thomas Monberg,Socialdemokratiet,,36
Sara Pernille Jespersen,Moderaterne,,36
Gert Bjerregaard,Venstre,,36
Rikke Christensen,Radikale,,33
Kristjar Skajaa,Enhedslisten,,32
Peter Sporleder,Konservative,,31
Jacob Skjærris,Konservative,,28
Rune Christiansen,Radikale,,27
Søren Vanting,Moderaterne,,25
Steffen Hedegaard Attermann Brinch,Alternativet,,25
Tina Kjær,Alternativet,,24
Jens Kannegaard Lundager,Dansk Folkeparti,,23
Bjarke Jensen,Radikale,,23
Malte Larsen,Socialdemokratiet,,22
Erik Poulsen,Danmarksdemokraterne,,22
Pia Halkjær,Socialdemokratiet,,21
Maria Sørensen,Enhedslisten,,19
Chris Hvidberg,Liberal Alliance,,17
Viviane Ellasofie Karlsen,Borgernes Parti,,15
Niels Povlsgaard,Liberal Alliance,,15
Lisbeth Ivanhoe,Enhedslisten,,15
Hans Skou,Venstre,,14
Søren Skjold Andersen,Udenfor parti,,13
Christina Hedegaard Hansen,Enhedslisten,,13
Gitte Dreier Jacobsen,Alternativet,,13
Erik Særkjær,Socialdemokratiet,,13
Rasmus T. Mortensen,SF,,12
Mathias Thybo,Socialdemokratiet,,12
Jens Meilvang,Liberal Alliance,,11
Bjørn Olsen,Alternativet,,11
Louise Stenmann,Socialdemokratiet,,10
Lars Abildskov,Liberal Alliance,,10
Bjørn Jensen,Konservative,,10
Morten Siig Henriksen,SF,,10
Magnus Bigum,Danmarksdemokraterne,,9
Caroline Svejsø,Konservative,,9
Viktor Thyregod Sivertsen,Konservative,,8
Anders Krojgaard Lund,Konservative,,8
Louise Svenstrup,Liberal Alliance,,8
Dennis Munk,Enhedslisten,,7
Bia Ndamukunda,Konservative,,7
Martin Laursen,Enhedslisten,,6
Emil M. D. Christensen,Venstre,,6
Søren Jensen,Liberal Alliance,,6
Henrik Rejnholt Andersen,Venstre,,5
Morten Sørensen,Konservative,,5
Jakob Jensen,Enhedslisten,,5
Mercedes Czank,Dansk Folkeparti,,5
Thor Clasen Jonasen,Alternativet,,5
Michael Klausen,Liberal Alliance,,5
Pernille Skærsø,Alternativet,,4
Anna Calero,Alternativet,,4
Karina Konrad,Alternativet,,4
Juma Nellemann Kruse,Alternativet,,4
Thomas Quist Mortensen,Alternativet,,3
Tenna Duch Schaldemose,Alternativet,,2
Sasja Elkjær Krogsdal,Alternativet,,2
Kim Sørensen,Alternativet,,2
Mads Damgaard Mortensen,Alternativet,,2
Lissi Bagge,Alternativet,,2
Marcus Bech Pedersen,Alternativet,,2
Michael Bang Pedersen,Borgernes Parti,,1
Hanne K. Mortensen,Alternativet,,1
Thomas Due Nielsen,Alternativet,,0
