kandidat,parti,valgt,stemmer
Alex Vanopslagh,Liberal Alliance,,1747
Nicolai Wammen,Socialdemokratiet,✓,1377
Mona Juul,Konservative,,1224
Katrine Robsøe,Radikale,,596
Kirsten Normann Andersen,SF,,586
Troels Lund Poulsen,Venstre,,579
Camilla Fabricius,Socialdemokratiet,,346
Anne Sophie Callesen,Radikale,,342
Sofie Lippert,SF,,334
Torsten Gejl,Alternativet,,305
Trine Mach,Enhedslisten,,295
Caroline Stage,Moderaterne,,270
Edith Vels,Enhedslisten,,208
Mathilde Hjort Bressum,Venstre,,192
Anna Brændemose,SF,,172
Peter Sporleder,Konservative,,171
Anders Kühnau,Socialdemokratiet,,170
Lars Boje Mathiesen,Borgernes Parti,✓,170
Christina Egelund,Moderaterne,,156
Louise Louring,Venstre,,151
Charlotte Broman Mølbæk,SF,,138
Nikoline Erbs Hillers-Bendtsen,Alternativet,,115
Line Rasmussen,Radikale,,113
Maria Temponeras,Enhedslisten,,99
Nick Zimmermann,Dansk Folkeparti,,88
Erik Veje Rasmussen,Venstre,,77
Charlotte Vindeløv,SF,,75
Rune Christiansen,Radikale,,60
Leif Lahn Jensen,Socialdemokratiet,,56
Mathias Sikora,Radikale,,54
Karina Aamann,Venstre,,51
Susan Kronborg,Moderaterne,,48
Sten Larsen,Moderaterne,,42
Paw Hedegaard Amdisen,SF,,38
Søren Lahn Sloth,SF,,36
Rabih Azad-Ahmad,Radikale,,34
Charlotte Green,Konservative,,34
Hanne Roed,Radikale,,31
Nana Harring,Dansk Folkeparti,,31
Malte Larsen,Socialdemokratiet,,30
Bjørn Olsen,Alternativet,,29
Gert Bjerregaard,Venstre,,29
Sara Pernille Jespersen,Moderaterne,,29
Jacob Skjærris,Konservative,,27
Hans Skou,Venstre,,26
Kristjar Skajaa,Enhedslisten,,25
Rikke Christensen,Radikale,,25
Chris Hvidberg,Liberal Alliance,,25
Maria Sørensen,Enhedslisten,,24
Rasmus T. Mortensen,SF,,24
Carina Sarkkinen,SF,,24
Morten Siig Henriksen,SF,,23
Louise Høeg,Venstre,,22
Tina Kjær,Alternativet,,21
Steffen Hedegaard Attermann Brinch,Alternativet,,20
Peter Have,Moderaterne,,20
Gitte Dreier Jacobsen,Alternativet,,19
Jens Meilvang,Liberal Alliance,,19
Anders Krojgaard Lund,Konservative,,18
Lisbeth Ivanhoe,Enhedslisten,,18
Søren Vanting,Moderaterne,,18
Louise Brown,Liberal Alliance,,18
Dorthe Hindborg,Socialdemokratiet,,17
Lone Glarbo,Danmarksdemokraterne,,15
Caroline Svejsø,Konservative,,14
Bjørn Jensen,Konservative,,14
Emil M. D. Christensen,Venstre,,13
Michael Nedersøe,Dansk Folkeparti,,13
Bjarke Jensen,Radikale,,12
Louise Stenmann,Socialdemokratiet,,12
Erik Poulsen,Danmarksdemokraterne,,11
Hans Kristian Skibby,Danmarksdemokraterne,,11
Pia Halkjær,Socialdemokratiet,,11
Mathias Thybo,Socialdemokratiet,,11
Søren Jensen,Liberal Alliance,,10
Sebastian Støckler,Venstre,,10
Dennis Munk,Enhedslisten,,10
Jens Kannegaard Lundager,Dansk Folkeparti,,10
Viktor Thyregod Sivertsen,Konservative,,10
Søren Skjold Andersen,Udenfor parti,,10
Kim Møller-Nielsen,Liberal Alliance,,10
Karina Konrad,Alternativet,,9
Viviane Ellasofie Karlsen,Borgernes Parti,,9
Thomas Monberg,Socialdemokratiet,,9
Pernille Skærsø,Alternativet,,9
Thor Clasen Jonasen,Alternativet,,8
Anna Calero,Alternativet,,8
Martin Laursen,Enhedslisten,,7
Louise Svenstrup,Liberal Alliance,,7
Christina Hedegaard Hansen,Enhedslisten,,6
Lars Abildskov,Liberal Alliance,,6
Bia Ndamukunda,Konservative,,5
Morten Sørensen,Konservative,,5
Lissi Bagge,Alternativet,,4
Niels Povlsgaard,Liberal Alliance,,3
Jakob Jensen,Enhedslisten,,3
Magnus Bigum,Danmarksdemokraterne,,3
Michael Faust Horsbøl,Konservative,,3
Thomas Quist Mortensen,Alternativet,,2
Mercedes Czank,Dansk Folkeparti,,2
Erik Særkjær,Socialdemokratiet,,2
Juma Nellemann Kruse,Alternativet,,2
Michael Klausen,Liberal Alliance,,2
Sasja Elkjær Krogsdal,Alternativet,,2
Hanne K. Mortensen,Alternativet,,2
Marcus Bech Pedersen,Alternativet,,1
Tenna Duch Schaldemose,Alternativet,,1
Mads Damgaard Mortensen,Alternativet,,1
Rune Mikkelsen,Danmarksdemokraterne,,1
Henrik Rejnholt Andersen,Venstre,,1
Michael Bang Pedersen,Borgernes Parti,,0
Kim Sørensen,Alternativet,,0
Thomas Due Nielsen,Alternativet,,0
