kandidat,parti,valgt,stemmer
Trine Jepsen,Venstre,,512
Søren Gade,Venstre,,454
Mogens Jensen,Socialdemokratiet,,427
Signe Munk,SF,,267
Betina Kastbjerg,Danmarksdemokraterne,,150
Dennis Flydtkjær,Danmarksdemokraterne,,143
Dina Andersen-Raabjerg,Konservative,,129
Gorm Hoff Lauridsen,Konservative,,128
Philip Vivet,Radikale,,123
Carsten Bach,Liberal Alliance,,98
Thomas Danielsen,Venstre,,83
Lise Bertelsen,Konservative,,75
Marianne Karlsmose,Konservative,,68
Anne Paulin,Socialdemokratiet,,66
Mads Fuglede,Danmarksdemokraterne,,55
Morten E.G. Brautsch,Moderaterne,,51
Katrine Evelyn Jensen,Socialdemokratiet,,44
Søren Boel Olesen,Dansk Folkeparti,,41
Thorbjørn Jacobsen,Liberal Alliance,,34
Knud Nielsen,Dansk Folkeparti,,30
Vinnie Borbjerg,Socialdemokratiet,,30
Michelle Sundahl,Dansk Folkeparti,,30
Knud Gaarn-Larsen,Udenfor parti,,29
Emma Thorup Jacobsen,SF,,26
Helge K. Frandsen,Borgernes Parti,,24
Ralf Høgedal,Venstre,,24
Helle Jensen,Liberal Alliance,,24
Eva Borchorst Mejnertz,Socialdemokratiet,,23
Erik Flyvholm,Venstre,,22
Lone Langballe,Dansk Folkeparti,,21
Nils Brøgger,SF,,21
Stine Ry Andersen,Enhedslisten,,19
Anders Andreasen,Socialdemokratiet,,19
Jes Halfdan,Borgernes Parti,,19
Michael Nielsen,Moderaterne,,18
Michael Valbjørn,Liberal Alliance,,16
Martin Sanderhoff,Moderaterne,,16
Mikael Würtz,Dansk Folkeparti,,14
Casper Hindkjær,Radikale,,13
Keld Lorenzen,Liberal Alliance,,13
Lennart Qvist,Konservative,,13
Frederik Houmann Thuesen,Venstre,,12
Johan Brødsgaard,Radikale,,10
Jarl Matthiesen,Venstre,,9
Jeppe von Berg,Moderaterne,,9
Niels Kristian Larsen,SF,,8
Lone Kjær Hein,Radikale,,8
Siff Tang Lassen,Konservative,,8
Michael Grove,Konservative,,7
Kasper B.G. Lauritsen,Socialdemokratiet,,7
Morten Vehl Revsbeck,Danmarksdemokraterne,,7
Kevin Possekel,Liberal Alliance,,6
Morten Høgh,Venstre,,6
Signe Sofie Larsen,Alternativet,,6
Nicklas Verne,Konservative,,6
Peter Bilgrav,Alternativet,,5
Lars Dohn,Enhedslisten,,5
Marcus Juul Grønbæk,Danmarksdemokraterne,,5
Lise Jørgensen,Socialdemokratiet,,5
Maria Enemark,Borgernes Parti,,4
Christian Juhl,Enhedslisten,,4
Gert Bækgaard,Venstre,,4
Vivi Altenburg,Danmarksdemokraterne,,4
Svend Stein Olsen,Liberal Alliance,,4
Kim Pagels,Radikale,,4
Anders Bøge,SF,,4
Steffen Troldtoft,Liberal Alliance,,3
Lisbeth Torfing,Enhedslisten,,3
Bente Refslund,SF,,3
Hanne Frølund,Radikale,,3
Nicklas Stampe Raabjerg,Alternativet,,3
Simon Højer,Konservative,,3
Iben Forum Jeppesen,Liberal Alliance,,3
Peter Kempf Pedersen,Socialdemokratiet,,2
Annette Sofia Skotte,Liberal Alliance,,2
Henning Bo Madsen,Enhedslisten,,2
Peter Vestergaard,Radikale,,1
Damian Hartvig Mathiesen,Enhedslisten,,1
Jørgen Christian Pedersen,Konservative,,1
Aksel Rosager Johansen,Enhedslisten,,1
Didde Krabbe Johannesen,Alternativet,,1
Lars Fibæk,Socialdemokratiet,,1
Kasper Thomassen,Venstre,,1
Per Kamp Stefansen,Socialdemokratiet,,1
Majbrit Nørgaard,Venstre,,0
Lau Sørensen,Konservative,,0
Lina Sikora Christiansen,Alternativet,,0
Jacob Abildgaard,Enhedslisten,,0
Henning Lindberg,Enhedslisten,,0
Steffen Tolstrup,Alternativet,,0
Ragnar Dixen,Liberal Alliance,,0
