kandidat,parti,valgt,stemmer
Mette Frederiksen,Socialdemokratiet,,111
Inger Støjberg,Danmarksdemokraterne,,84
Christina Lykke,SF,,57
Preben Bang Henriksen,Venstre,,39
Marie Bjerre,Venstre,,27
Peder Key Kristiansen,Socialdemokratiet,,26
Per Larsen,Konservative,,19
Anders Vistisen,Dansk Folkeparti,,17
Thomas Klimek,Socialdemokratiet,,13
Kristian Bøgsted,Danmarksdemokraterne,,11
Ane Halsboe-Jørgensen,Socialdemokratiet,,11
Sólbjørg Jakobsen,Liberal Alliance,,10
Anne Honoré Østergaard,Venstre,,8
Kim Edberg Andersen,Danmarksdemokraterne,,8
Simon Kollerup,Socialdemokratiet,,6
Morten Arvidsson,Moderaterne,,5
Niels H. Bünemann,Venstre,,5
Melina Andersen,SF,,4
Sara Tvilling,Liberal Alliance,,4
Peder Hvelplund,Enhedslisten,,4
Lene Burchardt,Konservative,,4
Danny Rosenkilde,Dansk Folkeparti,,4
Mohammad Rona,Moderaterne,,3
Torsten Schack Pedersen,Venstre,,3
Thomas Hjort,Dansk Folkeparti,,3
Emma Houe Mølgaard,Dansk Folkeparti,,3
HP Beck,Liberal Alliance,,3
Sofie Therese Svendsen,Konservative,,3
Carsten Bedsted,Radikale,,2
Kenneth Skatka Hammer,Liberal Alliance,,2
Søren Homann,Konservative,,2
Paulina Laparil,Borgernes Parti,,2
Ib Poulsen,Borgernes Parti,,2
Dorthe Pedersen,Konservative,,2
Flemming Møller Mortensen,Socialdemokratiet,,2
Anna Bjerre,Alternativet,,2
Kiki Bille Bach,Socialdemokratiet,,2
Marie Wandel,Radikale,,2
Per Husted,Socialdemokratiet,,2
Theresa Berg Andersen,SF,,2
Frederik Storm,Danmarksdemokraterne,,1
Morten Ryom,Socialdemokratiet,,1
Stine Thier-Andersen,Konservative,,1
Mikkel Bisgaard,Venstre,,1
John Bjerg,Borgernes Parti,,1
Runa Friis Hansen,Enhedslisten,,1
Susanne Krebs,Radikale,,1
Peter Larsen,Liberal Alliance,,1
Niels Christensen,Borgernes Parti,,1
Arne Hyldgaard,Borgernes Parti,,1
Jørgen Hammer Sørensen,Dansk Folkeparti,,1
Filippa Emilie Vittrup,Enhedslisten,,1
René Flou,Konservative,,0
Emil Sloth,Alternativet,,0
Rikke Olssen,Liberal Alliance,,0
Liselotte Lynge,Danmarksdemokraterne,,0
Dan Gaardboe Rueskov,Liberal Alliance,,0
Jacob Robsøe,Radikale,,0
Morten Bo Bertelsen,SF,,0
Berit Raldin,Enhedslisten,,0
Phillip Sperling,Venstre,,0
Anders Peter Hansen,Liberal Alliance,,0
Ditte Ravn Kaagaard,Moderaterne,,0
Thomas Christiansen,Liberal Alliance,,0
Gorm Simonsen,Radikale,,0
Steffen Holme Helledie,Radikale,,0
Pia Elberg,Radikale,,0
Ulrik Appel,Enhedslisten,,0
Emma Biørn Tretow-Fish,Radikale,,0
Steen Asgeir Petersen,Radikale,,0
Dorthe Kerschus,Radikale,,0
Lasse Mejer Petersen,Enhedslisten,,0
Christina Eilers,Enhedslisten,,0
Thomas Heuniche,Liberal Alliance,,0
Thomas Skovgaard,Moderaterne,,0
Laura Holm,Konservative,,0
Thomas Kjeldsen,SF,,0
Bo Ritterbusch,Liberal Alliance,,0
Henning Jørgensen,SF,,0
Anne-Marie Hemmeth,Alternativet,,0
Dorte M. Nielsen,SF,,0
Lasse Olsen,Enhedslisten,,0
Claus Skovmose,Danmarksdemokraterne,,0
Anette Jensen Smith,Alternativet,,0
Michael Portefee P. Lex,Radikale,,0
Jimmy Abel Nielsen,Liberal Alliance,,0
Mark Hellerup,Liberal Alliance,,0
Hans Jensen,Enhedslisten,,0
Torsten Wetche,Radikale,,0
Hans Jørgen Adamsen,Venstre,,0
Frederik Blicher Pedersen,Liberal Alliance,,0
Claus Beck,Liberal Alliance,,0
Line Randa,Moderaterne,,0
Gabriel Aaen,Konservative,,0
Nikolaj C. Andersen,Moderaterne,,0
Kresten Solvang Larsen,Liberal Alliance,,0
Kim Gaarsdahl,Liberal Alliance,,0
Peder Larsen,SF,,0
Benjamin Christensen,SF,,0
Anita Vivi Lilholt,Venstre,,0
Lukas Vestergaard,Liberal Alliance,,0
