kandidat,parti,valgt,stemmer
Mette Frederiksen,Socialdemokratiet,✓,4921
Inger Støjberg,Danmarksdemokraterne,,4625
Ane Halsboe-Jørgensen,Socialdemokratiet,✓,3120
Preben Bang Henriksen,Venstre,✓,2462
Marie Bjerre,Venstre,✓,1811
Kiki Bille Bach,Socialdemokratiet,,1095
Sólbjørg Jakobsen,Liberal Alliance,✓,1086
Theresa Berg Andersen,SF,✓,544
Anders Vistisen,Dansk Folkeparti,✓,468
Per Larsen,Konservative,,407
Danny Rosenkilde,Dansk Folkeparti,,330
Flemming Møller Mortensen,Socialdemokratiet,✓,321
Simon Kollerup,Socialdemokratiet,✓,307
Kim Edberg Andersen,Danmarksdemokraterne,,260
Anne Honoré Østergaard,Venstre,,213
Sofie Therese Svendsen,Konservative,✓,212
Anita Vivi Lilholt,Venstre,,207
Peder Hvelplund,Enhedslisten,✓,205
Christina Lykke,SF,✓,191
Torsten Schack Pedersen,Venstre,,187
John Bjerg,Borgernes Parti,,186
Thomas Klimek,Socialdemokratiet,✓,154
Lene Burchardt,Konservative,,153
Melina Andersen,SF,,146
Kristian Bøgsted,Danmarksdemokraterne,,145
Mohammad Rona,Moderaterne,✓,133
Henning Jørgensen,SF,,132
Liselotte Lynge,Danmarksdemokraterne,,127
HP Beck,Liberal Alliance,,111
Per Husted,Socialdemokratiet,,109
Emma Houe Mølgaard,Dansk Folkeparti,,107
Line Randa,Moderaterne,,101
Frederik Storm,Danmarksdemokraterne,,99
Lukas Vestergaard,Liberal Alliance,,98
Laura Holm,Konservative,,93
Morten Ryom,Socialdemokratiet,,90
Benjamin Christensen,SF,,89
Anna Bjerre,Alternativet,,87
Carsten Bedsted,Radikale,,76
Bo Ritterbusch,Liberal Alliance,,74
Dorthe Kerschus,Radikale,,72
Thomas Skovgaard,Moderaterne,,71
Thomas Hjort,Dansk Folkeparti,,69
Christina Eilers,Enhedslisten,,61
Søren Homann,Konservative,,57
Mikkel Bisgaard,Venstre,,54
Filippa Emilie Vittrup,Enhedslisten,,53
Morten Arvidsson,Moderaterne,,53
Steffen Holme Helledie,Radikale,,51
Emma Biørn Tretow-Fish,Radikale,,47
Torsten Wetche,Radikale,,47
Paulina Laparil,Borgernes Parti,,42
Ditte Ravn Kaagaard,Moderaterne,,42
Runa Friis Hansen,Enhedslisten,,42
Arne Hyldgaard,Borgernes Parti,,41
Niels Christensen,Borgernes Parti,,40
Dorte M. Nielsen,SF,,38
Stine Thier-Andersen,Konservative,,36
Rikke Olssen,Liberal Alliance,,35
Peder Key Kristiansen,Socialdemokratiet,,35
Morten Bo Bertelsen,SF,,32
Claus Beck,Liberal Alliance,,32
Sara Tvilling,Liberal Alliance,,32
Jacob Robsøe,Radikale,,31
Emil Sloth,Alternativet,,29
René Flou,Konservative,,26
Peder Larsen,SF,,26
Lasse Olsen,Enhedslisten,,23
Susanne Krebs,Radikale,,23
Marie Wandel,Radikale,,23
Claus Skovmose,Danmarksdemokraterne,,23
Kresten Solvang Larsen,Liberal Alliance,,23
Jørgen Hammer Sørensen,Dansk Folkeparti,,23
Kenneth Skatka Hammer,Liberal Alliance,,22
Dorthe Pedersen,Konservative,,21
Niels H. Bünemann,Venstre,,19
Berit Raldin,Enhedslisten,,19
Anders Peter Hansen,Liberal Alliance,,18
Peter Larsen,Liberal Alliance,✓,18
Gabriel Aaen,Konservative,,17
Mark Hellerup,Liberal Alliance,,17
Anette Jensen Smith,Alternativet,,17
Nikolaj C. Andersen,Moderaterne,,16
Ib Poulsen,Borgernes Parti,,14
Thomas Kjeldsen,SF,,14
Anne-Marie Hemmeth,Alternativet,,12
Lasse Mejer Petersen,Enhedslisten,,12
Pia Elberg,Radikale,,11
Michael Portefee P. Lex,Radikale,,11
Hans Jørgen Adamsen,Venstre,,10
Thomas Heuniche,Liberal Alliance,,9
Kim Gaarsdahl,Liberal Alliance,,9
Thomas Christiansen,Liberal Alliance,,8
Gorm Simonsen,Radikale,,8
Jimmy Abel Nielsen,Liberal Alliance,,7
Dan Gaardboe Rueskov,Liberal Alliance,,6
Ulrik Appel,Enhedslisten,,5
Hans Jensen,Enhedslisten,,5
Steen Asgeir Petersen,Radikale,,5
Phillip Sperling,Venstre,,3
Frederik Blicher Pedersen,Liberal Alliance,,2
