kandidat,parti,valgt,stemmer
Simon Kollerup,Socialdemokratiet,,2472
Inger Støjberg,Danmarksdemokraterne,,1686
Torsten Schack Pedersen,Venstre,,1436
Mette Frederiksen,Socialdemokratiet,✓,649
Peter Larsen,Liberal Alliance,,505
Claus Skovmose,Danmarksdemokraterne,,312
Morten Bo Bertelsen,SF,,253
Anders Vistisen,Dansk Folkeparti,,236
Marie Bjerre,Venstre,,226
Sólbjørg Jakobsen,Liberal Alliance,,211
Ib Poulsen,Borgernes Parti,,136
Dorthe Pedersen,Konservative,,114
Theresa Berg Andersen,SF,,88
Berit Raldin,Enhedslisten,,84
Kim Edberg Andersen,Danmarksdemokraterne,,77
Ane Halsboe-Jørgensen,Socialdemokratiet,,74
Per Larsen,Konservative,,72
Peder Hvelplund,Enhedslisten,,54
Kristian Bøgsted,Danmarksdemokraterne,,53
Anna Bjerre,Alternativet,,49
Preben Bang Henriksen,Venstre,,44
Line Randa,Moderaterne,,32
Filippa Emilie Vittrup,Enhedslisten,,29
Lene Burchardt,Konservative,,29
Emma Houe Mølgaard,Dansk Folkeparti,,29
Torsten Wetche,Radikale,,29
Steen Asgeir Petersen,Radikale,,25
Liselotte Lynge,Danmarksdemokraterne,,24
Danny Rosenkilde,Dansk Folkeparti,,23
Mohammad Rona,Moderaterne,,22
Melina Andersen,SF,,21
Carsten Bedsted,Radikale,,19
Laura Holm,Konservative,,19
Jacob Robsøe,Radikale,,19
Bo Ritterbusch,Liberal Alliance,,18
Ditte Ravn Kaagaard,Moderaterne,,16
Morten Arvidsson,Moderaterne,,16
Kiki Bille Bach,Socialdemokratiet,,16
Kenneth Skatka Hammer,Liberal Alliance,,16
Sofie Therese Svendsen,Konservative,,14
Thomas Hjort,Dansk Folkeparti,,13
Emma Biørn Tretow-Fish,Radikale,,13
Emil Sloth,Alternativet,,12
John Bjerg,Borgernes Parti,,12
Christina Lykke,SF,,11
Lukas Vestergaard,Liberal Alliance,,11
Paulina Laparil,Borgernes Parti,,11
Flemming Møller Mortensen,Socialdemokratiet,,10
Per Husted,Socialdemokratiet,,10
Benjamin Christensen,SF,,9
Pia Elberg,Radikale,,9
Dorte M. Nielsen,SF,,9
Anette Jensen Smith,Alternativet,,9
Stine Thier-Andersen,Konservative,,8
Thomas Klimek,Socialdemokratiet,,8
Jørgen Hammer Sørensen,Dansk Folkeparti,,8
Frederik Storm,Danmarksdemokraterne,,7
Niels Christensen,Borgernes Parti,,7
Peder Larsen,SF,,7
Steffen Holme Helledie,Radikale,,7
Marie Wandel,Radikale,,6
Thomas Skovgaard,Moderaterne,,6
Anne Honoré Østergaard,Venstre,,6
Runa Friis Hansen,Enhedslisten,,6
Nikolaj C. Andersen,Moderaterne,,5
Mikkel Bisgaard,Venstre,,5
Sara Tvilling,Liberal Alliance,,5
Anne-Marie Hemmeth,Alternativet,,5
Christina Eilers,Enhedslisten,,5
Søren Homann,Konservative,,5
Arne Hyldgaard,Borgernes Parti,,4
Susanne Krebs,Radikale,,4
Anders Peter Hansen,Liberal Alliance,,4
Kresten Solvang Larsen,Liberal Alliance,,4
Hans Jørgen Adamsen,Venstre,,3
Henning Jørgensen,SF,,3
René Flou,Konservative,,3
Dorthe Kerschus,Radikale,,3
Kim Gaarsdahl,Liberal Alliance,,3
Morten Ryom,Socialdemokratiet,,3
Lasse Olsen,Enhedslisten,,3
Anita Vivi Lilholt,Venstre,,2
Ulrik Appel,Enhedslisten,,2
Phillip Sperling,Venstre,,2
Frederik Blicher Pedersen,Liberal Alliance,,2
HP Beck,Liberal Alliance,,2
Claus Beck,Liberal Alliance,,2
Mark Hellerup,Liberal Alliance,,2
Lasse Mejer Petersen,Enhedslisten,,1
Dan Gaardboe Rueskov,Liberal Alliance,,1
Rikke Olssen,Liberal Alliance,,1
Thomas Christiansen,Liberal Alliance,,1
Gorm Simonsen,Radikale,,1
Hans Jensen,Enhedslisten,,1
Thomas Heuniche,Liberal Alliance,,1
Thomas Kjeldsen,SF,,1
Peder Key Kristiansen,Socialdemokratiet,,1
Jimmy Abel Nielsen,Liberal Alliance,,1
Niels H. Bünemann,Venstre,,1
Michael Portefee P. Lex,Radikale,,1
Gabriel Aaen,Konservative,,1
