kandidat,parti,valgt,stemmer
Lise Bertelsen,Konservative,,275
Signe Munk,SF,,241
Katrine Evelyn Jensen,Socialdemokratiet,,198
Søren Gade,Venstre,,144
Anne Paulin,Socialdemokratiet,,115
Frederik Houmann Thuesen,Venstre,,86
Dennis Flydtkjær,Danmarksdemokraterne,,68
Simon Højer,Konservative,,68
Knud Gaarn-Larsen,Udenfor parti,,68
Mads Fuglede,Danmarksdemokraterne,,63
Helle Jensen,Liberal Alliance,,48
Morten Vehl Revsbeck,Danmarksdemokraterne,,45
Lone Langballe,Dansk Folkeparti,,37
Mogens Jensen,Socialdemokratiet,,36
Thomas Danielsen,Venstre,,30
Michelle Sundahl,Dansk Folkeparti,,25
Peter Bilgrav,Alternativet,,24
Carsten Bach,Liberal Alliance,,23
Jes Halfdan,Borgernes Parti,,18
Majbrit Nørgaard,Venstre,,17
Betina Kastbjerg,Danmarksdemokraterne,,17
Dina Andersen-Raabjerg,Konservative,,15
Thorbjørn Jacobsen,Liberal Alliance,,14
Trine Jepsen,Venstre,,14
Ralf Høgedal,Venstre,,14
Helge K. Frandsen,Borgernes Parti,,14
Anders Andreasen,Socialdemokratiet,,13
Michael Grove,Konservative,,13
Morten E.G. Brautsch,Moderaterne,,13
Søren Boel Olesen,Dansk Folkeparti,,12
Martin Sanderhoff,Moderaterne,,12
Michael Nielsen,Moderaterne,,11
Philip Vivet,Radikale,,10
Mikael Würtz,Dansk Folkeparti,,9
Aksel Rosager Johansen,Enhedslisten,,9
Jeppe von Berg,Moderaterne,,9
Anders Bøge,SF,,8
Keld Lorenzen,Liberal Alliance,,8
Lisbeth Torfing,Enhedslisten,,8
Maria Enemark,Borgernes Parti,,7
Ragnar Dixen,Liberal Alliance,,6
Marianne Karlsmose,Konservative,,6
Michael Valbjørn,Liberal Alliance,,6
Jarl Matthiesen,Venstre,,6
Vivi Altenburg,Danmarksdemokraterne,,6
Nils Brøgger,SF,,5
Eva Borchorst Mejnertz,Socialdemokratiet,,5
Erik Flyvholm,Venstre,,5
Knud Nielsen,Dansk Folkeparti,,5
Casper Hindkjær,Radikale,,4
Lise Jørgensen,Socialdemokratiet,,4
Gorm Hoff Lauridsen,Konservative,,4
Stine Ry Andersen,Enhedslisten,,4
Signe Sofie Larsen,Alternativet,,3
Nicklas Verne,Konservative,,3
Lennart Qvist,Konservative,,3
Kim Pagels,Radikale,,3
Lone Kjær Hein,Radikale,,3
Siff Tang Lassen,Konservative,,2
Emma Thorup Jacobsen,SF,,2
Niels Kristian Larsen,SF,,2
Vinnie Borbjerg,Socialdemokratiet,,2
Gert Bækgaard,Venstre,,2
Bente Refslund,SF,,2
Marcus Juul Grønbæk,Danmarksdemokraterne,,2
Svend Stein Olsen,Liberal Alliance,,2
Peter Vestergaard,Radikale,,2
Didde Krabbe Johannesen,Alternativet,,2
Kasper B.G. Lauritsen,Socialdemokratiet,,1
Nicklas Stampe Raabjerg,Alternativet,,1
Henning Bo Madsen,Enhedslisten,,1
Hanne Frølund,Radikale,,1
Iben Forum Jeppesen,Liberal Alliance,,1
Lars Fibæk,Socialdemokratiet,,1
Lars Dohn,Enhedslisten,,1
Christian Juhl,Enhedslisten,,1
Kasper Thomassen,Venstre,,1
Morten Høgh,Venstre,,0
Kevin Possekel,Liberal Alliance,,0
Steffen Troldtoft,Liberal Alliance,,0
Jacob Abildgaard,Enhedslisten,,0
Lau Sørensen,Konservative,,0
Lina Sikora Christiansen,Alternativet,,0
Johan Brødsgaard,Radikale,,0
Henning Lindberg,Enhedslisten,,0
Damian Hartvig Mathiesen,Enhedslisten,,0
Jørgen Christian Pedersen,Konservative,,0
Steffen Tolstrup,Alternativet,,0
Annette Sofia Skotte,Liberal Alliance,,0
Peter Kempf Pedersen,Socialdemokratiet,,0
Per Kamp Stefansen,Socialdemokratiet,,0
