kandidat,parti,valgt,stemmer
Mette Frederiksen,Socialdemokratiet,✓,5855
Inger Støjberg,Danmarksdemokraterne,,2396
Preben Bang Henriksen,Venstre,✓,1987
Marie Bjerre,Venstre,✓,1338
Sólbjørg Jakobsen,Liberal Alliance,✓,1122
Flemming Møller Mortensen,Socialdemokratiet,✓,760
Ane Halsboe-Jørgensen,Socialdemokratiet,✓,713
Kiki Bille Bach,Socialdemokratiet,,575
Sofie Therese Svendsen,Konservative,✓,562
Melina Andersen,SF,,448
Anders Vistisen,Dansk Folkeparti,✓,408
Theresa Berg Andersen,SF,✓,396
Filippa Emilie Vittrup,Enhedslisten,,365
Peder Hvelplund,Enhedslisten,✓,290
Simon Kollerup,Socialdemokratiet,✓,254
Mohammad Rona,Moderaterne,✓,250
HP Beck,Liberal Alliance,,239
Steffen Holme Helledie,Radikale,,230
Anne Honoré Østergaard,Venstre,,218
Morten Ryom,Socialdemokratiet,,206
Anna Bjerre,Alternativet,,198
Christina Lykke,SF,✓,193
Per Larsen,Konservative,,175
Emma Biørn Tretow-Fish,Radikale,,161
Jacob Robsøe,Radikale,,154
Benjamin Christensen,SF,,148
Line Randa,Moderaterne,,144
Lene Burchardt,Konservative,,137
Emma Houe Mølgaard,Dansk Folkeparti,,132
Carsten Bedsted,Radikale,,119
Per Husted,Socialdemokratiet,,117
Thomas Klimek,Socialdemokratiet,✓,108
Danny Rosenkilde,Dansk Folkeparti,,103
Kim Edberg Andersen,Danmarksdemokraterne,,95
Lasse Olsen,Enhedslisten,,92
Sara Tvilling,Liberal Alliance,,81
Morten Arvidsson,Moderaterne,,75
Thomas Hjort,Dansk Folkeparti,,70
Laura Holm,Konservative,,69
Runa Friis Hansen,Enhedslisten,,65
Søren Homann,Konservative,,64
John Bjerg,Borgernes Parti,,58
Torsten Wetche,Radikale,,57
Torsten Schack Pedersen,Venstre,,56
Frederik Storm,Danmarksdemokraterne,,56
Thomas Kjeldsen,SF,,55
Emil Sloth,Alternativet,,54
Ditte Ravn Kaagaard,Moderaterne,,45
Kristian Bøgsted,Danmarksdemokraterne,,45
Dorte M. Nielsen,SF,,44
Anita Vivi Lilholt,Venstre,,44
Claus Beck,Liberal Alliance,,42
Peder Larsen,SF,,39
Pia Elberg,Radikale,,38
Susanne Krebs,Radikale,,38
Kenneth Skatka Hammer,Liberal Alliance,,37
Mikkel Bisgaard,Venstre,,36
Marie Wandel,Radikale,,35
Anders Peter Hansen,Liberal Alliance,,33
Anette Jensen Smith,Alternativet,,32
Niels Christensen,Borgernes Parti,,31
Thomas Skovgaard,Moderaterne,,29
Peder Key Kristiansen,Socialdemokratiet,,29
Niels H. Bünemann,Venstre,,29
Morten Bo Bertelsen,SF,,29
Berit Raldin,Enhedslisten,,28
Phillip Sperling,Venstre,,28
Liselotte Lynge,Danmarksdemokraterne,,26
René Flou,Konservative,,26
Paulina Laparil,Borgernes Parti,,26
Lukas Vestergaard,Liberal Alliance,,26
Stine Thier-Andersen,Konservative,,24
Mark Hellerup,Liberal Alliance,,24
Bo Ritterbusch,Liberal Alliance,,23
Michael Portefee P. Lex,Radikale,,23
Claus Skovmose,Danmarksdemokraterne,,22
Peter Larsen,Liberal Alliance,✓,21
Christina Eilers,Enhedslisten,,21
Arne Hyldgaard,Borgernes Parti,,21
Jørgen Hammer Sørensen,Dansk Folkeparti,,21
Anne-Marie Hemmeth,Alternativet,,19
Rikke Olssen,Liberal Alliance,,17
Dorthe Pedersen,Konservative,,16
Lasse Mejer Petersen,Enhedslisten,,16
Dorthe Kerschus,Radikale,,15
Nikolaj C. Andersen,Moderaterne,,15
Henning Jørgensen,SF,,14
Ib Poulsen,Borgernes Parti,,13
Jimmy Abel Nielsen,Liberal Alliance,,13
Steen Asgeir Petersen,Radikale,,13
Thomas Heuniche,Liberal Alliance,,12
Gorm Simonsen,Radikale,,11
Ulrik Appel,Enhedslisten,,11
Gabriel Aaen,Konservative,,11
Thomas Christiansen,Liberal Alliance,,8
Hans Jensen,Enhedslisten,,8
Hans Jørgen Adamsen,Venstre,,6
Kim Gaarsdahl,Liberal Alliance,,6
Frederik Blicher Pedersen,Liberal Alliance,,5
Kresten Solvang Larsen,Liberal Alliance,,2
Dan Gaardboe Rueskov,Liberal Alliance,,1
