kandidat,parti,valgt,stemmer
Leif Lahn Jensen,Socialdemokratiet,,3988
Alex Vanopslagh,Liberal Alliance,,2270
Troels Lund Poulsen,Venstre,,1945
Jens Meilvang,Liberal Alliance,,1436
Mona Juul,Konservative,,1387
Lars Boje Mathiesen,Borgernes Parti,✓,1086
Nicolai Wammen,Socialdemokratiet,✓,874
Nick Zimmermann,Dansk Folkeparti,,778
Kirsten Normann Andersen,SF,,748
Erik Poulsen,Danmarksdemokraterne,,454
Christina Egelund,Moderaterne,,354
Morten Siig Henriksen,SF,,337
Torsten Gejl,Alternativet,,331
Camilla Fabricius,Socialdemokratiet,,312
Anders Kühnau,Socialdemokratiet,,223
Charlotte Broman Mølbæk,SF,,213
Bjørn Jensen,Konservative,,209
Katrine Robsøe,Radikale,,207
Caroline Stage,Moderaterne,,207
Louise Høeg,Venstre,,199
Trine Mach,Enhedslisten,,172
Henrik Rejnholt Andersen,Venstre,,170
Sofie Lippert,SF,,162
Louise Louring,Venstre,,155
Malte Larsen,Socialdemokratiet,,145
Anne Sophie Callesen,Radikale,,144
Erik Veje Rasmussen,Venstre,,135
Jens Kannegaard Lundager,Dansk Folkeparti,,134
Gert Bjerregaard,Venstre,,121
Lone Glarbo,Danmarksdemokraterne,,120
Bjarke Jensen,Radikale,,104
Jakob Jensen,Enhedslisten,,96
Nana Harring,Dansk Folkeparti,,94
Mathilde Hjort Bressum,Venstre,,89
Hans Kristian Skibby,Danmarksdemokraterne,,75
Nikoline Erbs Hillers-Bendtsen,Alternativet,,74
Anna Brændemose,SF,,71
Maria Temponeras,Enhedslisten,,71
Michael Nedersøe,Dansk Folkeparti,,68
Charlotte Green,Konservative,,67
Charlotte Vindeløv,SF,,66
Carina Sarkkinen,SF,,65
Magnus Bigum,Danmarksdemokraterne,,65
Line Rasmussen,Radikale,,64
Edith Vels,Enhedslisten,,59
Sten Larsen,Moderaterne,,55
Karina Aamann,Venstre,,51
Peter Have,Moderaterne,,49
Pernille Skærsø,Alternativet,,41
Søren Lahn Sloth,SF,,40
Rasmus T. Mortensen,SF,,40
Rune Mikkelsen,Danmarksdemokraterne,,38
Viviane Ellasofie Karlsen,Borgernes Parti,,35
Pia Halkjær,Socialdemokratiet,,35
Susan Kronborg,Moderaterne,,33
Dorthe Hindborg,Socialdemokratiet,,32
Hanne Roed,Radikale,,32
Sara Pernille Jespersen,Moderaterne,,31
Peter Sporleder,Konservative,,30
Maria Sørensen,Enhedslisten,,29
Louise Brown,Liberal Alliance,,28
Louise Stenmann,Socialdemokratiet,,28
Paw Hedegaard Amdisen,SF,,27
Lisbeth Ivanhoe,Enhedslisten,,26
Erik Særkjær,Socialdemokratiet,,25
Tina Kjær,Alternativet,,24
Rabih Azad-Ahmad,Radikale,,23
Rikke Christensen,Radikale,,22
Mathias Sikora,Radikale,,21
Rune Christiansen,Radikale,,21
Søren Vanting,Moderaterne,,20
Søren Skjold Andersen,Udenfor parti,,19
Mathias Thybo,Socialdemokratiet,,19
Gitte Dreier Jacobsen,Alternativet,,18
Kristjar Skajaa,Enhedslisten,,18
Caroline Svejsø,Konservative,,18
Anders Krojgaard Lund,Konservative,,16
Bjørn Olsen,Alternativet,,16
Steffen Hedegaard Attermann Brinch,Alternativet,,15
Christina Hedegaard Hansen,Enhedslisten,,15
Thomas Monberg,Socialdemokratiet,,14
Martin Laursen,Enhedslisten,,13
Jacob Skjærris,Konservative,,13
Viktor Thyregod Sivertsen,Konservative,,12
Anna Calero,Alternativet,,12
Emil M. D. Christensen,Venstre,,12
Morten Sørensen,Konservative,,12
Kim Sørensen,Alternativet,,11
Chris Hvidberg,Liberal Alliance,,11
Sebastian Støckler,Venstre,,10
Louise Svenstrup,Liberal Alliance,,10
Michael Faust Horsbøl,Konservative,,10
Mercedes Czank,Dansk Folkeparti,,7
Dennis Munk,Enhedslisten,,6
Hans Skou,Venstre,,6
Thomas Quist Mortensen,Alternativet,,5
Juma Nellemann Kruse,Alternativet,,5
Michael Klausen,Liberal Alliance,,4
Karina Konrad,Alternativet,,4
Kim Møller-Nielsen,Liberal Alliance,,4
Michael Bang Pedersen,Borgernes Parti,,4
Bia Ndamukunda,Konservative,,4
Tenna Duch Schaldemose,Alternativet,,4
Thor Clasen Jonasen,Alternativet,,4
Hanne K. Mortensen,Alternativet,,4
Søren Jensen,Liberal Alliance,,3
Lars Abildskov,Liberal Alliance,,3
Niels Povlsgaard,Liberal Alliance,,2
Mads Damgaard Mortensen,Alternativet,,2
Marcus Bech Pedersen,Alternativet,,2
Thomas Due Nielsen,Alternativet,,2
Sasja Elkjær Krogsdal,Alternativet,,2
Lissi Bagge,Alternativet,,0
