kandidat,parti,valgt,stemmer
Alex Vanopslagh,Liberal Alliance,,678
Nicolai Wammen,Socialdemokratiet,,362
Mona Juul,Konservative,,276
Kirsten Normann Andersen,SF,,242
Sofie Lippert,SF,,217
Katrine Robsøe,Radikale,,202
Camilla Fabricius,Socialdemokratiet,,151
Troels Lund Poulsen,Venstre,,140
Trine Mach,Enhedslisten,,128
Edith Vels,Enhedslisten,,118
Anders Kühnau,Socialdemokratiet,,112
Anne Sophie Callesen,Radikale,,107
Torsten Gejl,Alternativet,,105
Lars Boje Mathiesen,Borgernes Parti,,70
Anna Brændemose,SF,,70
Mathilde Hjort Bressum,Venstre,,67
Mathias Sikora,Radikale,,56
Line Rasmussen,Radikale,,56
Louise Louring,Venstre,,49
Rabih Azad-Ahmad,Radikale,,44
Nick Zimmermann,Dansk Folkeparti,,44
Maria Temponeras,Enhedslisten,,42
Charlotte Broman Mølbæk,SF,,42
Leif Lahn Jensen,Socialdemokratiet,,39
Christina Egelund,Moderaterne,,39
Caroline Stage,Moderaterne,,36
Charlotte Vindeløv,SF,,33
Rasmus T. Mortensen,SF,,32
Charlotte Green,Konservative,,29
Nana Harring,Dansk Folkeparti,,28
Søren Lahn Sloth,SF,,27
Rune Christiansen,Radikale,,23
Hanne Roed,Radikale,,23
Maria Sørensen,Enhedslisten,,23
Paw Hedegaard Amdisen,SF,,19
Sten Larsen,Moderaterne,,19
Gert Bjerregaard,Venstre,,19
Erik Veje Rasmussen,Venstre,,17
Caroline Svejsø,Konservative,,17
Viktor Thyregod Sivertsen,Konservative,,16
Søren Skjold Andersen,Udenfor parti,,16
Peter Sporleder,Konservative,,15
Karina Aamann,Venstre,,14
Nikoline Erbs Hillers-Bendtsen,Alternativet,,14
Kristjar Skajaa,Enhedslisten,,14
Susan Kronborg,Moderaterne,,14
Carina Sarkkinen,SF,,13
Morten Siig Henriksen,SF,,13
Mathias Thybo,Socialdemokratiet,,13
Dorthe Hindborg,Socialdemokratiet,,13
Michael Nedersøe,Dansk Folkeparti,,13
Malte Larsen,Socialdemokratiet,,12
Bjørn Olsen,Alternativet,,12
Hans Kristian Skibby,Danmarksdemokraterne,,12
Thor Clasen Jonasen,Alternativet,,11
Bjarke Jensen,Radikale,,11
Emil M. D. Christensen,Venstre,,11
Steffen Hedegaard Attermann Brinch,Alternativet,,10
Anders Krojgaard Lund,Konservative,,10
Lisbeth Ivanhoe,Enhedslisten,,9
Martin Laursen,Enhedslisten,,9
Søren Jensen,Liberal Alliance,,8
Bjørn Jensen,Konservative,,8
Jakob Jensen,Enhedslisten,,8
Jens Kannegaard Lundager,Dansk Folkeparti,,8
Christina Hedegaard Hansen,Enhedslisten,,8
Tina Kjær,Alternativet,,8
Hans Skou,Venstre,,7
Louise Høeg,Venstre,,7
Chris Hvidberg,Liberal Alliance,,7
Rikke Christensen,Radikale,,7
Dennis Munk,Enhedslisten,,7
Karina Konrad,Alternativet,,6
Peter Have,Moderaterne,,6
Gitte Dreier Jacobsen,Alternativet,,6
Lone Glarbo,Danmarksdemokraterne,,5
Anna Calero,Alternativet,,5
Jens Meilvang,Liberal Alliance,,5
Søren Vanting,Moderaterne,,5
Morten Sørensen,Konservative,,5
Viviane Ellasofie Karlsen,Borgernes Parti,,4
Pernille Skærsø,Alternativet,,4
Louise Stenmann,Socialdemokratiet,,4
Louise Brown,Liberal Alliance,,4
Lars Abildskov,Liberal Alliance,,4
Jacob Skjærris,Konservative,,4
Sebastian Støckler,Venstre,,4
Sara Pernille Jespersen,Moderaterne,,4
Michael Klausen,Liberal Alliance,,3
Erik Særkjær,Socialdemokratiet,,3
Pia Halkjær,Socialdemokratiet,,3
Louise Svenstrup,Liberal Alliance,,3
Magnus Bigum,Danmarksdemokraterne,,3
Thomas Monberg,Socialdemokratiet,,3
Kim Møller-Nielsen,Liberal Alliance,,2
Henrik Rejnholt Andersen,Venstre,,2
Marcus Bech Pedersen,Alternativet,,2
Hanne K. Mortensen,Alternativet,,2
Mads Damgaard Mortensen,Alternativet,,2
Thomas Due Nielsen,Alternativet,,2
Rune Mikkelsen,Danmarksdemokraterne,,1
Erik Poulsen,Danmarksdemokraterne,,1
Michael Faust Horsbøl,Konservative,,1
Mercedes Czank,Dansk Folkeparti,,1
Thomas Quist Mortensen,Alternativet,,1
Sasja Elkjær Krogsdal,Alternativet,,1
Tenna Duch Schaldemose,Alternativet,,1
Bia Ndamukunda,Konservative,,1
Lissi Bagge,Alternativet,,1
Niels Povlsgaard,Liberal Alliance,,0
Michael Bang Pedersen,Borgernes Parti,,0
Kim Sørensen,Alternativet,,0
Juma Nellemann Kruse,Alternativet,,0
