kandidat,parti,valgt,stemmer
Eva Borchorst Mejnertz,Socialdemokratiet,,154
Signe Munk,SF,,152
Søren Gade,Venstre,,130
Morten Vehl Revsbeck,Danmarksdemokraterne,,118
Morten Høgh,Venstre,,77
Michael Valbjørn,Liberal Alliance,,56
Mogens Jensen,Socialdemokratiet,,45
Ragnar Dixen,Liberal Alliance,,39
Marianne Karlsmose,Konservative,,35
Thomas Danielsen,Venstre,,31
Johan Brødsgaard,Radikale,,30
Mads Fuglede,Danmarksdemokraterne,,28
Bente Refslund,SF,,28
Signe Sofie Larsen,Alternativet,,26
Morten E.G. Brautsch,Moderaterne,,24
Lone Langballe,Dansk Folkeparti,,24
Dina Andersen-Raabjerg,Konservative,,23
Katrine Evelyn Jensen,Socialdemokratiet,,22
Vivi Altenburg,Danmarksdemokraterne,,21
Lise Bertelsen,Konservative,,21
Lisbeth Torfing,Enhedslisten,,20
Knud Gaarn-Larsen,Udenfor parti,,19
Trine Jepsen,Venstre,,19
Philip Vivet,Radikale,,17
Helge K. Frandsen,Borgernes Parti,,17
Helle Jensen,Liberal Alliance,,16
Søren Boel Olesen,Dansk Folkeparti,,16
Jes Halfdan,Borgernes Parti,,16
Christian Juhl,Enhedslisten,,15
Carsten Bach,Liberal Alliance,,15
Michelle Sundahl,Dansk Folkeparti,,13
Betina Kastbjerg,Danmarksdemokraterne,,13
Nicklas Verne,Konservative,,12
Nils Brøgger,SF,,12
Mikael Würtz,Dansk Folkeparti,,12
Thorbjørn Jacobsen,Liberal Alliance,,10
Anne Paulin,Socialdemokratiet,,10
Stine Ry Andersen,Enhedslisten,,10
Lone Kjær Hein,Radikale,,9
Emma Thorup Jacobsen,SF,,9
Anders Andreasen,Socialdemokratiet,,9
Dennis Flydtkjær,Danmarksdemokraterne,,8
Martin Sanderhoff,Moderaterne,,8
Siff Tang Lassen,Konservative,,7
Maria Enemark,Borgernes Parti,,7
Ralf Høgedal,Venstre,,6
Jeppe von Berg,Moderaterne,,6
Peter Bilgrav,Alternativet,,6
Knud Nielsen,Dansk Folkeparti,,5
Kasper B.G. Lauritsen,Socialdemokratiet,,5
Vinnie Borbjerg,Socialdemokratiet,,5
Niels Kristian Larsen,SF,,4
Erik Flyvholm,Venstre,,4
Aksel Rosager Johansen,Enhedslisten,,3
Didde Krabbe Johannesen,Alternativet,,3
Michael Nielsen,Moderaterne,,3
Simon Højer,Konservative,,3
Gorm Hoff Lauridsen,Konservative,,3
Frederik Houmann Thuesen,Venstre,,3
Per Kamp Stefansen,Socialdemokratiet,,2
Casper Hindkjær,Radikale,,2
Henning Bo Madsen,Enhedslisten,,2
Jarl Matthiesen,Venstre,,2
Annette Sofia Skotte,Liberal Alliance,,2
Nicklas Stampe Raabjerg,Alternativet,,2
Lina Sikora Christiansen,Alternativet,,2
Steffen Troldtoft,Liberal Alliance,,2
Iben Forum Jeppesen,Liberal Alliance,,2
Keld Lorenzen,Liberal Alliance,,2
Michael Grove,Konservative,,2
Lars Fibæk,Socialdemokratiet,,2
Kim Pagels,Radikale,,2
Hanne Frølund,Radikale,,2
Marcus Juul Grønbæk,Danmarksdemokraterne,,2
Lars Dohn,Enhedslisten,,1
Peter Kempf Pedersen,Socialdemokratiet,,1
Lise Jørgensen,Socialdemokratiet,,1
Kasper Thomassen,Venstre,,1
Anders Bøge,SF,,1
Lau Sørensen,Konservative,,1
Henning Lindberg,Enhedslisten,,1
Lennart Qvist,Konservative,,1
Jacob Abildgaard,Enhedslisten,,0
Kevin Possekel,Liberal Alliance,,0
Majbrit Nørgaard,Venstre,,0
Damian Hartvig Mathiesen,Enhedslisten,,0
Gert Bækgaard,Venstre,,0
Steffen Tolstrup,Alternativet,,0
Jørgen Christian Pedersen,Konservative,,0
Peter Vestergaard,Radikale,,0
Svend Stein Olsen,Liberal Alliance,,0
