kandidat,parti,valgt,stemmer
Eva Borchorst Mejnertz,Socialdemokratiet,,386
Signe Munk,SF,,359
Søren Gade,Venstre,,161
Morten Høgh,Venstre,,84
Mogens Jensen,Socialdemokratiet,,77
Johan Brødsgaard,Radikale,,68
Ragnar Dixen,Liberal Alliance,,57
Dina Andersen-Raabjerg,Konservative,,48
Søren Boel Olesen,Dansk Folkeparti,,46
Bente Refslund,SF,,45
Marianne Karlsmose,Konservative,,44
Carsten Bach,Liberal Alliance,,43
Morten E.G. Brautsch,Moderaterne,,41
Philip Vivet,Radikale,,36
Morten Vehl Revsbeck,Danmarksdemokraterne,,34
Trine Jepsen,Venstre,,33
Lisbeth Torfing,Enhedslisten,,33
Lise Bertelsen,Konservative,,31
Stine Ry Andersen,Enhedslisten,,30
Michelle Sundahl,Dansk Folkeparti,,30
Dennis Flydtkjær,Danmarksdemokraterne,,26
Kasper Thomassen,Venstre,,25
Signe Sofie Larsen,Alternativet,,24
Betina Kastbjerg,Danmarksdemokraterne,,24
Katrine Evelyn Jensen,Socialdemokratiet,,22
Mikael Würtz,Dansk Folkeparti,,21
Anders Andreasen,Socialdemokratiet,,20
Nils Brøgger,SF,,20
Helle Jensen,Liberal Alliance,,20
Mads Fuglede,Danmarksdemokraterne,,20
Lone Kjær Hein,Radikale,,19
Anne Paulin,Socialdemokratiet,,19
Lone Langballe,Dansk Folkeparti,,19
Thomas Danielsen,Venstre,,18
Christian Juhl,Enhedslisten,,17
Helge K. Frandsen,Borgernes Parti,,16
Michael Valbjørn,Liberal Alliance,,15
Peter Bilgrav,Alternativet,,14
Vinnie Borbjerg,Socialdemokratiet,,12
Michael Nielsen,Moderaterne,,11
Michael Grove,Konservative,,11
Jes Halfdan,Borgernes Parti,,11
Emma Thorup Jacobsen,SF,,11
Ralf Høgedal,Venstre,,10
Jeppe von Berg,Moderaterne,,9
Knud Gaarn-Larsen,Udenfor parti,,9
Maria Enemark,Borgernes Parti,,9
Nicklas Verne,Konservative,,8
Hanne Frølund,Radikale,,8
Martin Sanderhoff,Moderaterne,,7
Frederik Houmann Thuesen,Venstre,,7
Knud Nielsen,Dansk Folkeparti,,6
Siff Tang Lassen,Konservative,,6
Keld Lorenzen,Liberal Alliance,,6
Thorbjørn Jacobsen,Liberal Alliance,,5
Niels Kristian Larsen,SF,,5
Gorm Hoff Lauridsen,Konservative,,5
Jørgen Christian Pedersen,Konservative,,5
Marcus Juul Grønbæk,Danmarksdemokraterne,,5
Lise Jørgensen,Socialdemokratiet,,5
Lars Fibæk,Socialdemokratiet,,5
Henning Bo Madsen,Enhedslisten,,4
Casper Hindkjær,Radikale,,4
Jarl Matthiesen,Venstre,,4
Kasper B.G. Lauritsen,Socialdemokratiet,,4
Vivi Altenburg,Danmarksdemokraterne,,4
Gert Bækgaard,Venstre,,4
Kevin Possekel,Liberal Alliance,,4
Aksel Rosager Johansen,Enhedslisten,,4
Steffen Troldtoft,Liberal Alliance,,3
Nicklas Stampe Raabjerg,Alternativet,,3
Annette Sofia Skotte,Liberal Alliance,,3
Erik Flyvholm,Venstre,,3
Anders Bøge,SF,,3
Lina Sikora Christiansen,Alternativet,,2
Lau Sørensen,Konservative,,2
Lennart Qvist,Konservative,,2
Per Kamp Stefansen,Socialdemokratiet,,2
Peter Vestergaard,Radikale,,2
Henning Lindberg,Enhedslisten,,1
Jacob Abildgaard,Enhedslisten,,1
Majbrit Nørgaard,Venstre,,1
Didde Krabbe Johannesen,Alternativet,,1
Iben Forum Jeppesen,Liberal Alliance,,1
Kim Pagels,Radikale,,1
Steffen Tolstrup,Alternativet,,1
Lars Dohn,Enhedslisten,,0
Damian Hartvig Mathiesen,Enhedslisten,,0
Simon Højer,Konservative,,0
Peter Kempf Pedersen,Socialdemokratiet,,0
Svend Stein Olsen,Liberal Alliance,,0
