kandidat,parti,valgt,stemmer
Alex Vanopslagh,Liberal Alliance,,3650
Nicolai Wammen,Socialdemokratiet,✓,2490
Mona Juul,Konservative,✓,1781
Katrine Robsøe,Radikale,,1185
Kirsten Normann Andersen,SF,✓,1094
Troels Lund Poulsen,Venstre,✓,954
Sofie Lippert,SF,,920
Camilla Fabricius,Socialdemokratiet,,664
Edith Vels,Enhedslisten,,645
Anne Sophie Callesen,Radikale,,595
Trine Mach,Enhedslisten,✓,552
Torsten Gejl,Alternativet,,455
Lars Boje Mathiesen,Borgernes Parti,✓,451
Anders Kühnau,Socialdemokratiet,,414
Anna Brændemose,SF,,401
Mathilde Hjort Bressum,Venstre,,400
Caroline Stage,Moderaterne,,397
Nick Zimmermann,Dansk Folkeparti,,333
Christina Egelund,Moderaterne,,308
Nikoline Erbs Hillers-Bendtsen,Alternativet,,286
Charlotte Broman Mølbæk,SF,,266
Line Rasmussen,Radikale,,265
Rabih Azad-Ahmad,Radikale,,264
Maria Temponeras,Enhedslisten,,238
Louise Louring,Venstre,,230
Mathias Sikora,Radikale,,227
Gert Bjerregaard,Venstre,,175
Leif Lahn Jensen,Socialdemokratiet,✓,168
Charlotte Vindeløv,SF,,166
Hanne Roed,Radikale,,157
Rune Christiansen,Radikale,,130
Erik Veje Rasmussen,Venstre,,127
Peter Sporleder,Konservative,,119
Søren Lahn Sloth,SF,,112
Charlotte Green,Konservative,,111
Karina Aamann,Venstre,,105
Caroline Svejsø,Konservative,,105
Paw Hedegaard Amdisen,SF,,105
Nana Harring,Dansk Folkeparti,,104
Maria Sørensen,Enhedslisten,,86
Rasmus T. Mortensen,SF,,86
Bjørn Olsen,Alternativet,,78
Sten Larsen,Moderaterne,,71
Steffen Hedegaard Attermann Brinch,Alternativet,,70
Carina Sarkkinen,SF,,69
Michael Nedersøe,Dansk Folkeparti,,68
Susan Kronborg,Moderaterne,,67
Malte Larsen,Socialdemokratiet,,67
Louise Høeg,Venstre,,61
Morten Siig Henriksen,SF,,57
Gitte Dreier Jacobsen,Alternativet,,53
Sara Pernille Jespersen,Moderaterne,,52
Mathias Thybo,Socialdemokratiet,,52
Rikke Christensen,Radikale,,51
Hans Kristian Skibby,Danmarksdemokraterne,,51
Dorthe Hindborg,Socialdemokratiet,,50
Kristjar Skajaa,Enhedslisten,,49
Søren Vanting,Moderaterne,,47
Louise Brown,Liberal Alliance,,46
Lisbeth Ivanhoe,Enhedslisten,,45
Hans Skou,Venstre,,45
Emil M. D. Christensen,Venstre,,44
Anders Krojgaard Lund,Konservative,,44
Magnus Bigum,Danmarksdemokraterne,,43
Lone Glarbo,Danmarksdemokraterne,,42
Peter Have,Moderaterne,,41
Martin Laursen,Enhedslisten,,37
Erik Poulsen,Danmarksdemokraterne,,37
Chris Hvidberg,Liberal Alliance,,36
Tina Kjær,Alternativet,,36
Bjarke Jensen,Radikale,,36
Bjørn Jensen,Konservative,,36
Jens Meilvang,Liberal Alliance,,33
Christina Hedegaard Hansen,Enhedslisten,,32
Louise Svenstrup,Liberal Alliance,,30
Thor Clasen Jonasen,Alternativet,,29
Pernille Skærsø,Alternativet,,28
Erik Særkjær,Socialdemokratiet,,28
Viktor Thyregod Sivertsen,Konservative,,27
Jakob Jensen,Enhedslisten,,27
Karina Konrad,Alternativet,,26
Sebastian Støckler,Venstre,,26
Pia Halkjær,Socialdemokratiet,,25
Jacob Skjærris,Konservative,,24
Lars Abildskov,Liberal Alliance,,23
Søren Jensen,Liberal Alliance,,23
Jens Kannegaard Lundager,Dansk Folkeparti,,23
Anna Calero,Alternativet,,22
Thomas Monberg,Socialdemokratiet,,19
Dennis Munk,Enhedslisten,,18
Kim Møller-Nielsen,Liberal Alliance,,18
Rune Mikkelsen,Danmarksdemokraterne,,16
Michael Klausen,Liberal Alliance,,16
Viviane Ellasofie Karlsen,Borgernes Parti,,15
Søren Skjold Andersen,Udenfor parti,,13
Mercedes Czank,Dansk Folkeparti,,12
Morten Sørensen,Konservative,,12
Louise Stenmann,Socialdemokratiet,,11
Sasja Elkjær Krogsdal,Alternativet,,10
Henrik Rejnholt Andersen,Venstre,,9
Michael Faust Horsbøl,Konservative,,9
Thomas Due Nielsen,Alternativet,,8
Niels Povlsgaard,Liberal Alliance,,7
Juma Nellemann Kruse,Alternativet,,6
Thomas Quist Mortensen,Alternativet,,6
Marcus Bech Pedersen,Alternativet,,5
Bia Ndamukunda,Konservative,,4
Hanne K. Mortensen,Alternativet,,4
Michael Bang Pedersen,Borgernes Parti,,3
Mads Damgaard Mortensen,Alternativet,,3
Tenna Duch Schaldemose,Alternativet,,3
Kim Sørensen,Alternativet,,2
Lissi Bagge,Alternativet,,2
