kandidat,parti,valgt,stemmer
Alex Vanopslagh,Liberal Alliance,,722
Nicolai Wammen,Socialdemokratiet,✓,514
Mona Juul,Konservative,,373
Camilla Fabricius,Socialdemokratiet,,295
Troels Lund Poulsen,Venstre,,244
Kirsten Normann Andersen,SF,,238
Lars Boje Mathiesen,Borgernes Parti,✓,162
Katrine Robsøe,Radikale,,131
Nick Zimmermann,Dansk Folkeparti,,110
Anders Kühnau,Socialdemokratiet,,108
Rabih Azad-Ahmad,Radikale,,103
Torsten Gejl,Alternativet,,85
Trine Mach,Enhedslisten,,85
Sofie Lippert,SF,,84
Rasmus T. Mortensen,SF,,82
Anne Sophie Callesen,Radikale,,73
Edith Vels,Enhedslisten,,64
Maria Temponeras,Enhedslisten,,61
Christina Egelund,Moderaterne,,55
Caroline Stage,Moderaterne,,51
Peter Sporleder,Konservative,,50
Anna Brændemose,SF,,45
Mathilde Hjort Bressum,Venstre,,45
Louise Louring,Venstre,,44
Line Rasmussen,Radikale,,39
Charlotte Broman Mølbæk,SF,,34
Erik Veje Rasmussen,Venstre,,34
Leif Lahn Jensen,Socialdemokratiet,,33
Mathias Sikora,Radikale,,29
Gert Bjerregaard,Venstre,,28
Nana Harring,Dansk Folkeparti,,25
Nikoline Erbs Hillers-Bendtsen,Alternativet,,23
Michael Nedersøe,Dansk Folkeparti,,23
Charlotte Vindeløv,SF,,22
Carina Sarkkinen,SF,,21
Hanne Roed,Radikale,,20
Paw Hedegaard Amdisen,SF,,20
Rune Christiansen,Radikale,,18
Søren Lahn Sloth,SF,,17
Emil M. D. Christensen,Venstre,,15
Lone Glarbo,Danmarksdemokraterne,,15
Maria Sørensen,Enhedslisten,,15
Louise Høeg,Venstre,,13
Hans Kristian Skibby,Danmarksdemokraterne,,13
Charlotte Green,Konservative,,13
Susan Kronborg,Moderaterne,,13
Søren Skjold Andersen,Udenfor parti,,12
Rikke Christensen,Radikale,,11
Steffen Hedegaard Attermann Brinch,Alternativet,,11
Bjørn Jensen,Konservative,,11
Peter Have,Moderaterne,,11
Sten Larsen,Moderaterne,,11
Karina Aamann,Venstre,,10
Pia Halkjær,Socialdemokratiet,,9
Anders Krojgaard Lund,Konservative,,9
Mathias Thybo,Socialdemokratiet,,9
Lars Abildskov,Liberal Alliance,,9
Lisbeth Ivanhoe,Enhedslisten,,9
Gitte Dreier Jacobsen,Alternativet,,9
Søren Vanting,Moderaterne,,8
Dorthe Hindborg,Socialdemokratiet,,8
Magnus Bigum,Danmarksdemokraterne,,8
Christina Hedegaard Hansen,Enhedslisten,,8
Sebastian Støckler,Venstre,,7
Karina Konrad,Alternativet,,7
Jens Meilvang,Liberal Alliance,,7
Jens Kannegaard Lundager,Dansk Folkeparti,,7
Louise Brown,Liberal Alliance,,7
Bjarke Jensen,Radikale,,7
Kristjar Skajaa,Enhedslisten,,7
Caroline Svejsø,Konservative,,7
Chris Hvidberg,Liberal Alliance,,7
Thomas Monberg,Socialdemokratiet,,7
Erik Poulsen,Danmarksdemokraterne,,6
Kim Møller-Nielsen,Liberal Alliance,,6
Malte Larsen,Socialdemokratiet,,6
Bia Ndamukunda,Konservative,,6
Sara Pernille Jespersen,Moderaterne,,5
Tina Kjær,Alternativet,,5
Hans Skou,Venstre,,5
Morten Siig Henriksen,SF,,5
Martin Laursen,Enhedslisten,,5
Rune Mikkelsen,Danmarksdemokraterne,,5
Dennis Munk,Enhedslisten,,5
Louise Stenmann,Socialdemokratiet,,4
Louise Svenstrup,Liberal Alliance,,4
Jacob Skjærris,Konservative,,4
Bjørn Olsen,Alternativet,,4
Mercedes Czank,Dansk Folkeparti,,4
Henrik Rejnholt Andersen,Venstre,,3
Tenna Duch Schaldemose,Alternativet,,3
Michael Faust Horsbøl,Konservative,,3
Thor Clasen Jonasen,Alternativet,,3
Viktor Thyregod Sivertsen,Konservative,,3
Viviane Ellasofie Karlsen,Borgernes Parti,,3
Jakob Jensen,Enhedslisten,,3
Erik Særkjær,Socialdemokratiet,,2
Hanne K. Mortensen,Alternativet,,2
Anna Calero,Alternativet,,2
Pernille Skærsø,Alternativet,,2
Søren Jensen,Liberal Alliance,,2
Juma Nellemann Kruse,Alternativet,,1
Michael Klausen,Liberal Alliance,,1
Thomas Due Nielsen,Alternativet,,1
Michael Bang Pedersen,Borgernes Parti,,0
Thomas Quist Mortensen,Alternativet,,0
Niels Povlsgaard,Liberal Alliance,,0
Mads Damgaard Mortensen,Alternativet,,0
Lissi Bagge,Alternativet,,0
Kim Sørensen,Alternativet,,0
Morten Sørensen,Konservative,,0
Marcus Bech Pedersen,Alternativet,,0
Sasja Elkjær Krogsdal,Alternativet,,0
