kandidat,parti,valgt,stemmer
Sara Emil Baaring,Socialdemokratiet,,1859
Anja Lund,Venstre,,797
Pia Offer Madsen,Liberal Alliance,,638
Lise Müller,SF,✓,496
Mai Mercado,Konservative,✓,409
Lars Aagaard,Moderaterne,✓,384
Karsten Hønge,SF,✓,379
Trine Bramsen,Socialdemokratiet,✓,365
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,✓,341
Bjørn Brandenborg,Socialdemokratiet,✓,294
Marlene Ambo-Rasmussen,Venstre,✓,277
Alex Ahrendtsen,Dansk Folkeparti,✓,272
Jeppe Bruus,Socialdemokratiet,✓,243
Torben Povlsen,Venstre,,226
Nikolaj Leed Henriksen,Venstre,,198
Victoria Velásquez,Enhedslisten,✓,194
Amanda Heitmann,Venstre,✓,193
Rosa Eriksen,Moderaterne,,157
Thomas Skriver Jensen,Socialdemokratiet,✓,123
Simon Meyer Off,SF,,114
Tobias Weische,Dansk Folkeparti,,113
Joachim Hoffmann-Petersen,Konservative,,112
Natasja Bruun Knudsen,Konservative,,101
Katrine Daugaard,Liberal Alliance,✓,97
Anastasia Milthers,Radikale,✓,93
Jakob Larsen,Radikale,,89
Claus Oxfeldt,Venstre,,88
Nikolaj Vang,Danmarksdemokraterne,,87
Vivian Lindberg Larsen,Danmarksdemokraterne,,84
Anne Møllegaard Mortensen,Dansk Folkeparti,,83
Allan Holm,Borgernes Parti,,75
Jan Werner Mathiasen,Radikale,,57
Linda Frølund,Alternativet,,54
Linda Bollerup,SF,,54
Malte Jäger,Liberal Alliance,,52
Tobias Bennedsen,Konservative,,43
Charlotte Møller-Madsen,Borgernes Parti,,43
Kim Aas,Socialdemokratiet,,42
Anna Katrine Leth Rehn,SF,,41
Niels Bolding,Dansk Folkeparti,,40
Araz Khan,Liberal Alliance,,39
Lasse Haugaard Pedersen,Socialdemokratiet,,39
Ole Dupont Kofod,Alternativet,,38
Sofie Mosgaard,Venstre,,37
Stine Øllegaard,Enhedslisten,,37
Suzette Frovin,SF,,33
Kaj Alstrup,Enhedslisten,,32
Klavs Norup Lauridsen,Konservative,,32
Maria Gudme,Socialdemokratiet,,31
Maria Dalum,Alternativet,,31
Laura Elise Andersen-Mühl,SF,,30
Camilla Schuster Nygaard,Moderaterne,,29
Daniel Juhl,Borgernes Parti,,26
Kim Lei-Jensen,Radikale,,24
Stine Larsen,Alternativet,,22
Romeo Troelsgaard,Dansk Folkeparti,,21
Charlotte Ellenberger,SF,,19
Anja Busch,Borgernes Parti,,18
Nynne Printz,SF,,17
Jesper Kiel,Enhedslisten,,17
Anne Fiber,Konservative,,17
John Hoppe,Konservative,,16
Andreas Fjord Larsen,Venstre,,16
Andreas Lausen,Moderaterne,,13
Mette Skaarup,Enhedslisten,,12
Vibeke Syppli Enrum,Enhedslisten,,10
Martin Lissner,Liberal Alliance,,10
Johannes Skov Pedersen,SF,,10
Reza Javid,Enhedslisten,,10
Lars Nissen,SF,,9
Thomas Estrup,Liberal Alliance,,8
Matilde Skov-Hansen,Alternativet,,8
Gustav Wilde,Liberal Alliance,,8
Torsten Ringgaard,Enhedslisten,,7
Johan Emil Sevelsted,Konservative,,6
Bodil Helbo,Alternativet,,6
Martin Kjærulff,Alternativet,,5
Jacob Holm,Alternativet,,4
Tonny Vest,Liberal Alliance,,3
Bo Tønnesen,Alternativet,,0
