kandidat,parti,valgt,stemmer
Victoria Velásquez,Enhedslisten,,1643
Trine Bramsen,Socialdemokratiet,,1160
Karsten Hønge,SF,,829
Thomas Skriver Jensen,Socialdemokratiet,,748
Lise Müller,SF,,734
Mai Mercado,Konservative,,599
Lars Aagaard,Moderaterne,,572
Anastasia Milthers,Radikale,,528
Jeppe Bruus,Socialdemokratiet,,525
Marlene Ambo-Rasmussen,Venstre,,524
Bjørn Brandenborg,Socialdemokratiet,,478
Alex Ahrendtsen,Dansk Folkeparti,,449
Maria Gudme,Socialdemokratiet,,372
Araz Khan,Liberal Alliance,,289
Joachim Hoffmann-Petersen,Konservative,,281
Katrine Daugaard,Liberal Alliance,,266
Sofie Mosgaard,Venstre,,242
Rosa Eriksen,Moderaterne,,240
Reza Javid,Enhedslisten,,231
Claus Oxfeldt,Venstre,,219
Sara Emil Baaring,Socialdemokratiet,,216
Laura Elise Andersen-Mühl,SF,,208
Jakob Larsen,Radikale,,206
Malte Jäger,Liberal Alliance,,200
Jan Werner Mathiasen,Radikale,,172
Tobias Weische,Dansk Folkeparti,,170
Klavs Norup Lauridsen,Konservative,,150
Anna Katrine Leth Rehn,SF,,146
Kim Aas,Socialdemokratiet,,134
Kim Lei-Jensen,Radikale,,130
Amanda Heitmann,Venstre,,123
Simon Meyer Off,SF,,121
Anja Lund,Venstre,,108
Anne Møllegaard Mortensen,Dansk Folkeparti,,100
Pia Offer Madsen,Liberal Alliance,,98
Linda Frølund,Alternativet,,94
Mette Skaarup,Enhedslisten,,92
Suzette Frovin,SF,,86
Lasse Haugaard Pedersen,Socialdemokratiet,,81
Torben Povlsen,Venstre,,78
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,,73
Linda Bollerup,SF,,72
John Hoppe,Konservative,,66
Stine Larsen,Alternativet,,58
Charlotte Ellenberger,SF,,58
Romeo Troelsgaard,Dansk Folkeparti,,58
Jesper Kiel,Enhedslisten,,56
Johannes Skov Pedersen,SF,,53
Torsten Ringgaard,Enhedslisten,,50
Maria Dalum,Alternativet,,49
Anne Fiber,Konservative,,49
Nikolaj Vang,Danmarksdemokraterne,,46
Allan Holm,Borgernes Parti,,45
Matilde Skov-Hansen,Alternativet,,44
Natasja Bruun Knudsen,Konservative,,44
Stine Øllegaard,Enhedslisten,,43
Camilla Schuster Nygaard,Moderaterne,,42
Lars Nissen,SF,,41
Charlotte Møller-Madsen,Borgernes Parti,,38
Nikolaj Leed Henriksen,Venstre,,37
Vivian Lindberg Larsen,Danmarksdemokraterne,,36
Andreas Fjord Larsen,Venstre,,32
Andreas Lausen,Moderaterne,,30
Niels Bolding,Dansk Folkeparti,,28
Nynne Printz,SF,,26
Jacob Holm,Alternativet,,25
Tobias Bennedsen,Konservative,,24
Anja Busch,Borgernes Parti,,21
Vibeke Syppli Enrum,Enhedslisten,,21
Kaj Alstrup,Enhedslisten,,21
Thomas Estrup,Liberal Alliance,,20
Martin Lissner,Liberal Alliance,,19
Johan Emil Sevelsted,Konservative,,18
Daniel Juhl,Borgernes Parti,,18
Tonny Vest,Liberal Alliance,,16
Martin Kjærulff,Alternativet,,10
Ole Dupont Kofod,Alternativet,,9
Gustav Wilde,Liberal Alliance,,9
Bodil Helbo,Alternativet,,7
Bo Tønnesen,Alternativet,,3
