kandidat,parti,valgt,stemmer
Mai Mercado,Konservative,,1293
Trine Bramsen,Socialdemokratiet,,1256
Thomas Skriver Jensen,Socialdemokratiet,,1137
Lars Aagaard,Moderaterne,,1052
Marlene Ambo-Rasmussen,Venstre,,908
Lise Müller,SF,,762
Joachim Hoffmann-Petersen,Konservative,,758
Karsten Hønge,SF,,744
Victoria Velásquez,Enhedslisten,,715
Jeppe Bruus,Socialdemokratiet,,675
Bjørn Brandenborg,Socialdemokratiet,,526
Anastasia Milthers,Radikale,,492
Alex Ahrendtsen,Dansk Folkeparti,,469
Katrine Daugaard,Liberal Alliance,,425
Rosa Eriksen,Moderaterne,,409
Sofie Mosgaard,Venstre,,363
Claus Oxfeldt,Venstre,,362
Sara Emil Baaring,Socialdemokratiet,,300
Araz Khan,Liberal Alliance,,278
Jakob Larsen,Radikale,,226
Pia Offer Madsen,Liberal Alliance,,224
Jan Werner Mathiasen,Radikale,,224
Maria Gudme,Socialdemokratiet,,201
Amanda Heitmann,Venstre,,200
Kim Lei-Jensen,Radikale,,195
Laura Elise Andersen-Mühl,SF,,192
Anja Lund,Venstre,,184
Malte Jäger,Liberal Alliance,,177
Klavs Norup Lauridsen,Konservative,,155
Kim Aas,Socialdemokratiet,,146
Torben Povlsen,Venstre,,136
John Hoppe,Konservative,,136
Reza Javid,Enhedslisten,,135
Simon Meyer Off,SF,,124
Suzette Frovin,SF,,118
Anna Katrine Leth Rehn,SF,,110
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,,106
Linda Frølund,Alternativet,,96
Tobias Weische,Dansk Folkeparti,,95
Anne Møllegaard Mortensen,Dansk Folkeparti,,87
Stine Larsen,Alternativet,,83
Camilla Schuster Nygaard,Moderaterne,,82
Linda Bollerup,SF,,76
Mette Skaarup,Enhedslisten,,76
Charlotte Ellenberger,SF,,70
Andreas Lausen,Moderaterne,,69
Natasja Bruun Knudsen,Konservative,,66
Lasse Haugaard Pedersen,Socialdemokratiet,,64
Nikolaj Leed Henriksen,Venstre,,55
Torsten Ringgaard,Enhedslisten,,52
Maria Dalum,Alternativet,,51
Nikolaj Vang,Danmarksdemokraterne,,46
Allan Holm,Borgernes Parti,,46
Andreas Fjord Larsen,Venstre,,44
Romeo Troelsgaard,Dansk Folkeparti,,42
Anne Fiber,Konservative,,41
Charlotte Møller-Madsen,Borgernes Parti,,40
Johannes Skov Pedersen,SF,,40
Matilde Skov-Hansen,Alternativet,,38
Jesper Kiel,Enhedslisten,,38
Niels Bolding,Dansk Folkeparti,,33
Tobias Bennedsen,Konservative,,31
Stine Øllegaard,Enhedslisten,,29
Jacob Holm,Alternativet,,28
Vivian Lindberg Larsen,Danmarksdemokraterne,,27
Lars Nissen,SF,,25
Johan Emil Sevelsted,Konservative,,24
Thomas Estrup,Liberal Alliance,,20
Nynne Printz,SF,,20
Kaj Alstrup,Enhedslisten,,19
Tonny Vest,Liberal Alliance,,16
Gustav Wilde,Liberal Alliance,,14
Vibeke Syppli Enrum,Enhedslisten,,14
Daniel Juhl,Borgernes Parti,,13
Martin Kjærulff,Alternativet,,13
Bodil Helbo,Alternativet,,12
Martin Lissner,Liberal Alliance,,10
Anja Busch,Borgernes Parti,,8
Ole Dupont Kofod,Alternativet,,7
Bo Tønnesen,Alternativet,,0
