kandidat,parti,valgt,stemmer
Trine Bramsen,Socialdemokratiet,,687
Victoria Velásquez,Enhedslisten,,410
Karsten Hønge,SF,,355
Lise Müller,SF,,348
Anastasia Milthers,Radikale,,306
Mai Mercado,Konservative,,298
Marlene Ambo-Rasmussen,Venstre,,281
Jeppe Bruus,Socialdemokratiet,,241
Thomas Skriver Jensen,Socialdemokratiet,,236
Lars Aagaard,Moderaterne,,222
Bjørn Brandenborg,Socialdemokratiet,,197
Katrine Daugaard,Liberal Alliance,,193
Sofie Mosgaard,Venstre,,174
Alex Ahrendtsen,Dansk Folkeparti,,141
Joachim Hoffmann-Petersen,Konservative,,140
Jakob Larsen,Radikale,,128
Sara Emil Baaring,Socialdemokratiet,,115
Araz Khan,Liberal Alliance,,101
Laura Elise Andersen-Mühl,SF,,99
Malte Jäger,Liberal Alliance,,99
Claus Oxfeldt,Venstre,,96
Maria Gudme,Socialdemokratiet,,93
Rosa Eriksen,Moderaterne,,85
Anna Katrine Leth Rehn,SF,,80
Klavs Norup Lauridsen,Konservative,,80
Kim Aas,Socialdemokratiet,,78
Anja Lund,Venstre,,78
Reza Javid,Enhedslisten,,71
Amanda Heitmann,Venstre,,71
Jan Werner Mathiasen,Radikale,,70
Simon Meyer Off,SF,,58
Tobias Weische,Dansk Folkeparti,,58
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,,54
John Hoppe,Konservative,,54
Mette Skaarup,Enhedslisten,,49
Kim Lei-Jensen,Radikale,,48
Pia Offer Madsen,Liberal Alliance,,48
Suzette Frovin,SF,,45
Lasse Haugaard Pedersen,Socialdemokratiet,,44
Charlotte Ellenberger,SF,,42
Stine Larsen,Alternativet,,41
Torsten Ringgaard,Enhedslisten,,36
Linda Bollerup,SF,,34
Linda Frølund,Alternativet,,33
Anne Møllegaard Mortensen,Dansk Folkeparti,,32
Natasja Bruun Knudsen,Konservative,,32
Torben Povlsen,Venstre,,32
Johannes Skov Pedersen,SF,,28
Maria Dalum,Alternativet,,26
Matilde Skov-Hansen,Alternativet,,25
Camilla Schuster Nygaard,Moderaterne,,23
Romeo Troelsgaard,Dansk Folkeparti,,23
Allan Holm,Borgernes Parti,,23
Anne Fiber,Konservative,,22
Jesper Kiel,Enhedslisten,,21
Lars Nissen,SF,,21
Nikolaj Vang,Danmarksdemokraterne,,20
Andreas Lausen,Moderaterne,,20
Niels Bolding,Dansk Folkeparti,,19
Andreas Fjord Larsen,Venstre,,18
Vivian Lindberg Larsen,Danmarksdemokraterne,,17
Nynne Printz,SF,,17
Nikolaj Leed Henriksen,Venstre,,16
Stine Øllegaard,Enhedslisten,,16
Charlotte Møller-Madsen,Borgernes Parti,,15
Kaj Alstrup,Enhedslisten,,13
Johan Emil Sevelsted,Konservative,,13
Jacob Holm,Alternativet,,11
Thomas Estrup,Liberal Alliance,,10
Vibeke Syppli Enrum,Enhedslisten,,9
Tobias Bennedsen,Konservative,,9
Bodil Helbo,Alternativet,,8
Gustav Wilde,Liberal Alliance,,8
Anja Busch,Borgernes Parti,,8
Martin Kjærulff,Alternativet,,7
Tonny Vest,Liberal Alliance,,7
Martin Lissner,Liberal Alliance,,6
Ole Dupont Kofod,Alternativet,,5
Daniel Juhl,Borgernes Parti,,4
Bo Tønnesen,Alternativet,,0
