kandidat,parti,valgt,stemmer
Jeppe Bruus,Socialdemokratiet,,1584
Anja Lund,Venstre,,1157
Trine Bramsen,Socialdemokratiet,,676
Mai Mercado,Konservative,,654
Lars Aagaard,Moderaterne,,615
Torben Povlsen,Venstre,,572
Nikolaj Vang,Danmarksdemokraterne,,450
Karsten Hønge,SF,,444
Lise Müller,SF,,433
Alex Ahrendtsen,Dansk Folkeparti,,300
Thomas Skriver Jensen,Socialdemokratiet,,300
Marlene Ambo-Rasmussen,Venstre,,284
Bjørn Brandenborg,Socialdemokratiet,,263
Lasse Haugaard Pedersen,Socialdemokratiet,,235
Katrine Daugaard,Liberal Alliance,,226
Amanda Heitmann,Venstre,,223
Sara Emil Baaring,Socialdemokratiet,,209
Anastasia Milthers,Radikale,,197
Rosa Eriksen,Moderaterne,,170
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,,156
Victoria Velásquez,Enhedslisten,,154
Tobias Weische,Dansk Folkeparti,,134
Joachim Hoffmann-Petersen,Konservative,,128
Malte Jäger,Liberal Alliance,,128
Pia Offer Madsen,Liberal Alliance,,124
Linda Frølund,Alternativet,,112
Claus Oxfeldt,Venstre,,106
Tobias Bennedsen,Konservative,,102
Anne Møllegaard Mortensen,Dansk Folkeparti,,76
Vivian Lindberg Larsen,Danmarksdemokraterne,,75
Maria Gudme,Socialdemokratiet,,70
Jakob Larsen,Radikale,,67
Sofie Mosgaard,Venstre,,63
Allan Holm,Borgernes Parti,,58
Jan Werner Mathiasen,Radikale,,57
Klavs Norup Lauridsen,Konservative,,54
Kim Aas,Socialdemokratiet,,51
Araz Khan,Liberal Alliance,,48
Suzette Frovin,SF,,46
Laura Elise Andersen-Mühl,SF,,46
Anna Katrine Leth Rehn,SF,,43
Simon Meyer Off,SF,,43
Natasja Bruun Knudsen,Konservative,,39
Andreas Lausen,Moderaterne,,37
Linda Bollerup,SF,,36
Kim Lei-Jensen,Radikale,,36
Stine Øllegaard,Enhedslisten,,34
Niels Bolding,Dansk Folkeparti,,34
Charlotte Møller-Madsen,Borgernes Parti,,33
Nikolaj Leed Henriksen,Venstre,,32
John Hoppe,Konservative,,28
Romeo Troelsgaard,Dansk Folkeparti,,27
Charlotte Ellenberger,SF,,26
Andreas Fjord Larsen,Venstre,,25
Camilla Schuster Nygaard,Moderaterne,,23
Anne Fiber,Konservative,,22
Anja Busch,Borgernes Parti,,21
Lars Nissen,SF,,18
Maria Dalum,Alternativet,,18
Mette Skaarup,Enhedslisten,,17
Stine Larsen,Alternativet,,17
Reza Javid,Enhedslisten,,16
Thomas Estrup,Liberal Alliance,,15
Martin Lissner,Liberal Alliance,,14
Matilde Skov-Hansen,Alternativet,,14
Torsten Ringgaard,Enhedslisten,,12
Jesper Kiel,Enhedslisten,,12
Nynne Printz,SF,,11
Daniel Juhl,Borgernes Parti,,11
Vibeke Syppli Enrum,Enhedslisten,,9
Kaj Alstrup,Enhedslisten,,9
Martin Kjærulff,Alternativet,,9
Johannes Skov Pedersen,SF,,8
Gustav Wilde,Liberal Alliance,,6
Jacob Holm,Alternativet,,6
Tonny Vest,Liberal Alliance,,6
Bodil Helbo,Alternativet,,5
Ole Dupont Kofod,Alternativet,,4
Johan Emil Sevelsted,Konservative,,4
Bo Tønnesen,Alternativet,,0
