kandidat,parti,valgt,stemmer
Klavs Norup Lauridsen,Konservative,,1116
Thomas Skriver Jensen,Socialdemokratiet,✓,993
Trine Bramsen,Socialdemokratiet,✓,921
Suzette Frovin,SF,,902
Lars Aagaard,Moderaterne,,737
Bjørn Brandenborg,Socialdemokratiet,✓,643
Marlene Ambo-Rasmussen,Venstre,,622
Mai Mercado,Konservative,,602
Karsten Hønge,SF,✓,594
Malte Jäger,Liberal Alliance,,535
Torben Povlsen,Venstre,,516
Lasse Haugaard Pedersen,Socialdemokratiet,,513
Jeppe Bruus,Socialdemokratiet,✓,437
Victoria Velásquez,Enhedslisten,,399
Alex Ahrendtsen,Dansk Folkeparti,,396
Lise Müller,SF,✓,354
Amanda Heitmann,Venstre,,303
Katrine Daugaard,Liberal Alliance,,209
Joachim Hoffmann-Petersen,Konservative,,194
Rosa Eriksen,Moderaterne,,176
Nikolaj Vang,Danmarksdemokraterne,,171
Tobias Weische,Dansk Folkeparti,,162
Sara Emil Baaring,Socialdemokratiet,,158
Anastasia Milthers,Radikale,,157
Jan Werner Mathiasen,Radikale,,147
Anne Fiber,Konservative,,146
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,,142
Anja Lund,Venstre,,134
Allan Holm,Borgernes Parti,,128
Anne Møllegaard Mortensen,Dansk Folkeparti,,118
Maria Gudme,Socialdemokratiet,,118
Claus Oxfeldt,Venstre,,117
Pia Offer Madsen,Liberal Alliance,,98
Kim Aas,Socialdemokratiet,,86
Mette Skaarup,Enhedslisten,,83
Jakob Larsen,Radikale,,79
Linda Bollerup,SF,,59
Linda Frølund,Alternativet,,56
Vivian Lindberg Larsen,Danmarksdemokraterne,,55
Sofie Mosgaard,Venstre,,54
Araz Khan,Liberal Alliance,,51
Charlotte Møller-Madsen,Borgernes Parti,,49
Niels Bolding,Dansk Folkeparti,,43
Laura Elise Andersen-Mühl,SF,,41
Simon Meyer Off,SF,,41
Stine Larsen,Alternativet,,40
Romeo Troelsgaard,Dansk Folkeparti,,33
Charlotte Ellenberger,SF,,31
Kim Lei-Jensen,Radikale,,30
Maria Dalum,Alternativet,,28
Anna Katrine Leth Rehn,SF,,28
Stine Øllegaard,Enhedslisten,,26
Camilla Schuster Nygaard,Moderaterne,,25
Anja Busch,Borgernes Parti,,25
Andreas Lausen,Moderaterne,,25
Natasja Bruun Knudsen,Konservative,,25
Daniel Juhl,Borgernes Parti,,23
Thomas Estrup,Liberal Alliance,,22
Jesper Kiel,Enhedslisten,,22
John Hoppe,Konservative,,20
Johan Emil Sevelsted,Konservative,,20
Reza Javid,Enhedslisten,,18
Matilde Skov-Hansen,Alternativet,,17
Lars Nissen,SF,,16
Andreas Fjord Larsen,Venstre,,15
Tobias Bennedsen,Konservative,,15
Nikolaj Leed Henriksen,Venstre,,15
Jacob Holm,Alternativet,,11
Vibeke Syppli Enrum,Enhedslisten,,11
Torsten Ringgaard,Enhedslisten,,10
Martin Lissner,Liberal Alliance,,10
Johannes Skov Pedersen,SF,,9
Tonny Vest,Liberal Alliance,,9
Nynne Printz,SF,,9
Kaj Alstrup,Enhedslisten,,7
Ole Dupont Kofod,Alternativet,,5
Gustav Wilde,Liberal Alliance,,5
Martin Kjærulff,Alternativet,,4
Bodil Helbo,Alternativet,,3
Bo Tønnesen,Alternativet,,2
