kandidat,parti,valgt,stemmer
Kim Aas,Socialdemokratiet,,1162
Bjørn Brandenborg,Socialdemokratiet,,1081
Amanda Heitmann,Venstre,,680
Trine Bramsen,Socialdemokratiet,,658
Mai Mercado,Konservative,✓,651
Lars Aagaard,Moderaterne,,557
Karsten Hønge,SF,,487
Lise Müller,SF,,439
Marlene Ambo-Rasmussen,Venstre,,396
Jeppe Bruus,Socialdemokratiet,,337
Sara Emil Baaring,Socialdemokratiet,,290
Alex Ahrendtsen,Dansk Folkeparti,,285
Anne Møllegaard Mortensen,Dansk Folkeparti,,280
Victoria Velásquez,Enhedslisten,✓,250
Rosa Eriksen,Moderaterne,,239
Torben Povlsen,Venstre,,234
Katrine Daugaard,Liberal Alliance,,215
Thomas Skriver Jensen,Socialdemokratiet,,196
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,,191
Nikolaj Leed Henriksen,Venstre,,180
Anastasia Milthers,Radikale,,164
Joachim Hoffmann-Petersen,Konservative,,150
Malte Jäger,Liberal Alliance,,131
Anja Lund,Venstre,,117
Vivian Lindberg Larsen,Danmarksdemokraterne,,117
Pia Offer Madsen,Liberal Alliance,,104
Claus Oxfeldt,Venstre,,102
Nikolaj Vang,Danmarksdemokraterne,,97
Anne Fiber,Konservative,,92
Linda Bollerup,SF,,89
Maria Gudme,Socialdemokratiet,,85
Kim Lei-Jensen,Radikale,,81
Tobias Weische,Dansk Folkeparti,,75
Jakob Larsen,Radikale,,75
Suzette Frovin,SF,,71
Linda Frølund,Alternativet,,70
Jan Werner Mathiasen,Radikale,,69
Klavs Norup Lauridsen,Konservative,,67
Stine Larsen,Alternativet,,67
Vibeke Syppli Enrum,Enhedslisten,,64
Sofie Mosgaard,Venstre,,53
Allan Holm,Borgernes Parti,,51
Laura Elise Andersen-Mühl,SF,,50
Lasse Haugaard Pedersen,Socialdemokratiet,,50
Camilla Schuster Nygaard,Moderaterne,,45
Jesper Kiel,Enhedslisten,,45
Charlotte Møller-Madsen,Borgernes Parti,,42
Charlotte Ellenberger,SF,,40
Natasja Bruun Knudsen,Konservative,,38
Araz Khan,Liberal Alliance,,36
Simon Meyer Off,SF,,35
Niels Bolding,Dansk Folkeparti,,34
Romeo Troelsgaard,Dansk Folkeparti,,31
Anja Busch,Borgernes Parti,,31
Maria Dalum,Alternativet,,30
Anna Katrine Leth Rehn,SF,,30
Lars Nissen,SF,,29
Andreas Fjord Larsen,Venstre,,29
John Hoppe,Konservative,,29
Tobias Bennedsen,Konservative,,28
Andreas Lausen,Moderaterne,,23
Thomas Estrup,Liberal Alliance,,23
Reza Javid,Enhedslisten,,23
Nynne Printz,SF,,22
Stine Øllegaard,Enhedslisten,,20
Martin Kjærulff,Alternativet,,16
Daniel Juhl,Borgernes Parti,,16
Johan Emil Sevelsted,Konservative,,14
Matilde Skov-Hansen,Alternativet,,13
Mette Skaarup,Enhedslisten,,13
Jacob Holm,Alternativet,,12
Torsten Ringgaard,Enhedslisten,,12
Kaj Alstrup,Enhedslisten,,9
Gustav Wilde,Liberal Alliance,,8
Martin Lissner,Liberal Alliance,,7
Johannes Skov Pedersen,SF,,6
Ole Dupont Kofod,Alternativet,,6
Bodil Helbo,Alternativet,,4
Tonny Vest,Liberal Alliance,,3
Bo Tønnesen,Alternativet,,1
