kandidat,parti,valgt,stemmer
Jesper Petersen,Socialdemokratiet,,2089
Peter Kofod,Dansk Folkeparti,,1795
Stephanie Lose,Venstre,,1570
Jesper Bierbaum,Venstre,,448
Karina Lorentzen Dehnhardt,SF,,351
Henrik Frandsen,Moderaterne,,303
Jannie Boysen Westergaard,Konservative,,297
Ulrik Knudsen,Danmarksdemokraterne,,197
Helena Artmann Andresen,Liberal Alliance,,152
Frederik Klakk,Liberal Alliance,,145
Frida Bruun,Moderaterne,,126
Cecilie Liv Hansen,Liberal Alliance,,110
Tilde Holch Duedahl,Venstre,,110
Benny Engelbrecht,Socialdemokratiet,,105
Nadja Natalie Isaksen,Borgernes Parti,,104
Karina Adsbøl,Danmarksdemokraterne,,101
Lotte Rod,Radikale,,92
Thomas Andresen,Venstre,,84
Christian Rabjerg Madsen,Socialdemokratiet,,84
Anni Matthiesen,Venstre,,83
Helene Hellesøe Appel,Enhedslisten,,74
Carl Andersen,Liberal Alliance,,66
Josephine Alstrup Kofod,Dansk Folkeparti,,65
Steffen Larsen,Liberal Alliance,,57
Frederik Bloch Münster,Konservative,,53
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,46
Birgitte Vind,Socialdemokratiet,,43
Maria Radoor,Socialdemokratiet,,41
Jan Køpke Christensen,Borgernes Parti,,41
Tobias Jørgensen,Venstre,,40
Theis Kylling Hommeltoft,Socialdemokratiet,,37
Milo Gaarde,SF,,36
Rasmus Elkjær Larsen,Konservative,,36
Jørn Dohrmann,Borgernes Parti,,35
Christina Foldager,Konservative,,35
Mathias D. Christiansen,Enhedslisten,,35
Jørgen Kvist,SF,,32
Anne Marie Geisler Andersen,Radikale,,32
Nils Sjøberg,Radikale,,32
Ina Juul Jensen,SF,,31
Morten Hell,Moderaterne,,29
Troels Overgaard,Venstre,,28
Selma Bolø,Enhedslisten,,27
Rasmus Vestergaard Madsen,Enhedslisten,,25
Christian Mutwa Christensen,SF,,23
Niels Henning Bladt,Venstre,,22
Gitte Bjerremand Andersen,Moderaterne,,22
Patrick Bryhl,Danmarksdemokraterne,,19
Lars Rømer Olsen,Socialdemokratiet,,19
Thomas Majgaard Byrsing,Danmarksdemokraterne,,18
Anders Kronborg,Socialdemokratiet,,18
Kenneth Fredslund Petersen,Danmarksdemokraterne,,18
Kim Andkjær Doberck,Dansk Folkeparti,,17
Sofus Teislev,SF,,17
Sune Nørgaard Jakobsen,Dansk Folkeparti,,15
Mikael Winther,Alternativet,,15
Coco Mette Cecilie Kjærgaard,Alternativet,,15
Gitte Eriksen,Konservative,,15
Christian Kirk,Dansk Folkeparti,,15
Mads-Magnus Damm,Dansk Folkeparti,,14
Rune Bønnelykke,Dansk Folkeparti,,14
Troels Simonsen,Liberal Alliance,,14
Rasmus Sandvej,Konservative,,13
Kim Eskesen,Socialdemokratiet,,13
Kris Jensen Skriver,Socialdemokratiet,,13
Magnus Flensborg,SF,,13
Per Knudsen,Dansk Folkeparti,,12
Lone Hansen,Moderaterne,,12
Morten Trillingsgaard Høybye,Konservative,,12
Karsten Byrgesen,Borgernes Parti,,12
Helene Lykke,Liberal Alliance,,12
Kim Alexander Jensen,Liberal Alliance,,12
Tommi Christensen,Socialdemokratiet,,11
Cecilie C. Johannsen,Konservative,,11
Phillip Kjær Luscombe,Venstre,,11
Preben Friis-Hauge,Venstre,,10
Klaus Sandfeld,Venstre,,9
Jakob Venø Heiwald,Danmarksdemokraterne,,9
Timm Bøttger,SF,,8
Holly Marie Turner,Enhedslisten,,8
Christian Jørgensen,Liberal Alliance,,8
Tobias Brus Mikkelsen,Dansk Folkeparti,,7
Allan Svendsen,Dansk Folkeparti,,7
Astrid Fogh,Alternativet,,7
Gunver Birgitte Nielsen,Konservative,,7
Susanne Blegvad Posselt,SF,,6
Rune Højer,Dansk Folkeparti,,6
Lilje Holm,Enhedslisten,,5
Kristian Thomsen,Konservative,,5
Christian Fini Mosegaard,Liberal Alliance,,5
Nicholas Wentworth,Radikale,,5
Christoffer Aagaard Melson,Venstre,,5
Lasse Hildingberg,Venstre,,5
Dan Arnløv,Konservative,,5
John Rasmussen,Liberal Alliance,,5
Jim Zakaria,Dansk Folkeparti,,4
Lasse Skov Ovesen,Radikale,,4
Lars Mogensen,Enhedslisten,,4
Ane Line Søndergaard,Alternativet,,3
Ole Lynggaard Jørgensen,Radikale,,2
Barbara Krarup Hansen,Radikale,,2
Sarah Nørris,Enhedslisten,,2
Jens Langer Schou,Konservative,,2
Johanna-Maria Precht,Enhedslisten,,2
Bodil Nielsen,Alternativet,,2
Finn Hartvig Nielsen,Radikale,,2
Carsten Sohl,Alternativet,,2
Hans Biering Fonsbøl,Alternativet,,1
Lasse Harder Schousboe,Enhedslisten,,1
Bjørn Laursen,Socialdemokratiet,,1
Mikael Hertig,Alternativet,,1
Benny Dall,Enhedslisten,,1
Bo Nielsen,Alternativet,,1
Christian Tarbensen,Konservative,,0
Bjarne Lastein,Radikale,,0
Edvard Korsbæk,Alternativet,,0
