kandidat,parti,valgt,stemmer
Benny Engelbrecht,Socialdemokratiet,,4498
Stephanie Lose,Venstre,,2945
Peter Kofod,Dansk Folkeparti,,1597
Frederik Klakk,Liberal Alliance,,935
Phillip Kjær Luscombe,Venstre,,758
Karina Lorentzen Dehnhardt,SF,,583
Henrik Frandsen,Moderaterne,,423
Lotte Rod,Radikale,,309
Thomas Andresen,Venstre,,272
Jesper Petersen,Socialdemokratiet,,263
Rasmus Elkjær Larsen,Konservative,,223
Frida Bruun,Moderaterne,,212
Cecilie Liv Hansen,Liberal Alliance,,182
Helena Artmann Andresen,Liberal Alliance,,172
Karina Adsbøl,Danmarksdemokraterne,,158
Patrick Bryhl,Danmarksdemokraterne,,155
Nadja Natalie Isaksen,Borgernes Parti,,148
Susanne Blegvad Posselt,SF,,142
Timm Bøttger,SF,,137
Morten Hell,Moderaterne,,132
Christian Rabjerg Madsen,Socialdemokratiet,,125
Selma Bolø,Enhedslisten,,119
Ulrik Knudsen,Danmarksdemokraterne,,112
Johanna-Maria Precht,Enhedslisten,,110
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,90
Christina Foldager,Konservative,,88
Birgitte Vind,Socialdemokratiet,,87
Anni Matthiesen,Venstre,,82
Thomas Majgaard Byrsing,Danmarksdemokraterne,,77
Steffen Larsen,Liberal Alliance,,76
Anne Marie Geisler Andersen,Radikale,,75
Ina Juul Jensen,SF,,72
Theis Kylling Hommeltoft,Socialdemokratiet,,69
Frederik Bloch Münster,Konservative,,68
Tobias Brus Mikkelsen,Dansk Folkeparti,,66
Tilde Holch Duedahl,Venstre,,61
Josephine Alstrup Kofod,Dansk Folkeparti,,61
Niels Henning Bladt,Venstre,,59
Maria Radoor,Socialdemokratiet,,57
Kim Andkjær Doberck,Dansk Folkeparti,,55
Gitte Eriksen,Konservative,,55
Rasmus Vestergaard Madsen,Enhedslisten,,53
Jan Køpke Christensen,Borgernes Parti,,49
Troels Overgaard,Venstre,,48
Tobias Jørgensen,Venstre,,45
Jesper Bierbaum,Venstre,,44
Milo Gaarde,SF,,42
Jørn Dohrmann,Borgernes Parti,,41
Jannie Boysen Westergaard,Konservative,,38
Christian Mutwa Christensen,SF,,37
Rune Bønnelykke,Dansk Folkeparti,,30
Anders Kronborg,Socialdemokratiet,,29
Christian Kirk,Dansk Folkeparti,,29
Troels Simonsen,Liberal Alliance,,25
Lone Hansen,Moderaterne,,25
Coco Mette Cecilie Kjærgaard,Alternativet,,24
Lars Rømer Olsen,Socialdemokratiet,,24
Mads-Magnus Damm,Dansk Folkeparti,,23
Carl Andersen,Liberal Alliance,,23
Sofus Teislev,SF,,22
Kenneth Fredslund Petersen,Danmarksdemokraterne,,22
Cecilie C. Johannsen,Konservative,,22
Kim Eskesen,Socialdemokratiet,,22
Preben Friis-Hauge,Venstre,,22
Lasse Skov Ovesen,Radikale,,21
Nils Sjøberg,Radikale,,21
Karsten Byrgesen,Borgernes Parti,,21
Magnus Flensborg,SF,,21
Gitte Bjerremand Andersen,Moderaterne,,21
Gunver Birgitte Nielsen,Konservative,,18
Mikael Winther,Alternativet,,18
Rasmus Sandvej,Konservative,,18
Per Knudsen,Dansk Folkeparti,,18
Kim Alexander Jensen,Liberal Alliance,,17
Klaus Sandfeld,Venstre,,16
Rune Højer,Dansk Folkeparti,,16
Nicholas Wentworth,Radikale,,16
Tommi Christensen,Socialdemokratiet,,16
Sune Nørgaard Jakobsen,Dansk Folkeparti,,15
Jakob Venø Heiwald,Danmarksdemokraterne,,14
Ane Line Søndergaard,Alternativet,,14
Helene Hellesøe Appel,Enhedslisten,,13
Mikael Hertig,Alternativet,,13
Allan Svendsen,Dansk Folkeparti,,13
Jørgen Kvist,SF,,12
Kris Jensen Skriver,Socialdemokratiet,,12
Lasse Hildingberg,Venstre,,12
Christian Jørgensen,Liberal Alliance,,12
Sarah Nørris,Enhedslisten,,11
Morten Trillingsgaard Høybye,Konservative,,11
Finn Hartvig Nielsen,Radikale,,11
Bjørn Laursen,Socialdemokratiet,,10
Holly Marie Turner,Enhedslisten,,9
Benny Dall,Enhedslisten,,9
Christoffer Aagaard Melson,Venstre,,8
Barbara Krarup Hansen,Radikale,,8
John Rasmussen,Liberal Alliance,,8
Astrid Fogh,Alternativet,,8
Helene Lykke,Liberal Alliance,,8
Lasse Harder Schousboe,Enhedslisten,,7
Mathias D. Christiansen,Enhedslisten,,7
Bo Nielsen,Alternativet,,6
Jim Zakaria,Dansk Folkeparti,,6
Christian Fini Mosegaard,Liberal Alliance,,6
Hans Biering Fonsbøl,Alternativet,,6
Lilje Holm,Enhedslisten,,4
Carsten Sohl,Alternativet,,4
Bodil Nielsen,Alternativet,,4
Jens Langer Schou,Konservative,,3
Ole Lynggaard Jørgensen,Radikale,,3
Dan Arnløv,Konservative,,3
Christian Tarbensen,Konservative,,3
Kristian Thomsen,Konservative,,3
Lars Mogensen,Enhedslisten,,2
Bjarne Lastein,Radikale,,2
Edvard Korsbæk,Alternativet,,1
