kandidat,parti,valgt,stemmer
Stephanie Lose,Venstre,,2820
Preben Friis-Hauge,Venstre,,1677
Christian Rabjerg Madsen,Socialdemokratiet,,1150
Peter Kofod,Dansk Folkeparti,,796
Anni Matthiesen,Venstre,,772
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,734
Ulrik Knudsen,Danmarksdemokraterne,,323
Kim Alexander Jensen,Liberal Alliance,,296
Anders Kronborg,Socialdemokratiet,,256
Karina Lorentzen Dehnhardt,SF,,242
Frida Bruun,Moderaterne,,223
Jørgen Kvist,SF,,220
Karina Adsbøl,Danmarksdemokraterne,,191
Henrik Frandsen,Moderaterne,,163
Kristian Thomsen,Konservative,,147
Cecilie Liv Hansen,Liberal Alliance,,136
Frederik Bloch Münster,Konservative,,125
Benny Engelbrecht,Socialdemokratiet,,117
Lotte Rod,Radikale,,95
Helena Artmann Andresen,Liberal Alliance,,92
Nadja Natalie Isaksen,Borgernes Parti,,78
Jesper Petersen,Socialdemokratiet,,66
Kris Jensen Skriver,Socialdemokratiet,,62
Steffen Larsen,Liberal Alliance,,61
Milo Gaarde,SF,,58
Birgitte Vind,Socialdemokratiet,,56
Anne Marie Geisler Andersen,Radikale,,48
Christian Kirk,Dansk Folkeparti,,47
Kenneth Fredslund Petersen,Danmarksdemokraterne,,45
Josephine Alstrup Kofod,Dansk Folkeparti,,45
Gitte Eriksen,Konservative,,42
Christina Foldager,Konservative,,41
Maria Radoor,Socialdemokratiet,,41
Rasmus Vestergaard Madsen,Enhedslisten,,36
Ina Juul Jensen,SF,,35
Jannie Boysen Westergaard,Konservative,,32
Selma Bolø,Enhedslisten,,31
Tobias Jørgensen,Venstre,,31
Troels Overgaard,Venstre,,30
Niels Henning Bladt,Venstre,,30
Rasmus Sandvej,Konservative,,30
Karsten Byrgesen,Borgernes Parti,,29
Thomas Majgaard Byrsing,Danmarksdemokraterne,,26
Gitte Bjerremand Andersen,Moderaterne,,26
Troels Simonsen,Liberal Alliance,,26
Tilde Holch Duedahl,Venstre,,25
Carl Andersen,Liberal Alliance,,24
Jan Køpke Christensen,Borgernes Parti,,23
Jakob Venø Heiwald,Danmarksdemokraterne,,23
Morten Hell,Moderaterne,,23
Timm Bøttger,SF,,22
Per Knudsen,Dansk Folkeparti,,21
Jørn Dohrmann,Borgernes Parti,,21
Kim Andkjær Doberck,Dansk Folkeparti,,21
Helene Lykke,Liberal Alliance,,20
Kim Eskesen,Socialdemokratiet,,20
Barbara Krarup Hansen,Radikale,,19
Coco Mette Cecilie Kjærgaard,Alternativet,,18
Mads-Magnus Damm,Dansk Folkeparti,,17
Christian Mutwa Christensen,SF,,17
Rune Bønnelykke,Dansk Folkeparti,,17
Rasmus Elkjær Larsen,Konservative,,16
Patrick Bryhl,Danmarksdemokraterne,,15
Magnus Flensborg,SF,,15
Lone Hansen,Moderaterne,,15
Morten Trillingsgaard Høybye,Konservative,,15
Thomas Andresen,Venstre,,14
Frederik Klakk,Liberal Alliance,,14
Cecilie C. Johannsen,Konservative,,13
Lars Mogensen,Enhedslisten,,13
Allan Svendsen,Dansk Folkeparti,,13
Klaus Sandfeld,Venstre,,13
Sofus Teislev,SF,,12
Lasse Hildingberg,Venstre,,12
Christian Jørgensen,Liberal Alliance,,12
Sune Nørgaard Jakobsen,Dansk Folkeparti,,12
Nils Sjøberg,Radikale,,11
Lasse Harder Schousboe,Enhedslisten,,11
Tommi Christensen,Socialdemokratiet,,11
Rune Højer,Dansk Folkeparti,,10
Lars Rømer Olsen,Socialdemokratiet,,10
John Rasmussen,Liberal Alliance,,9
Helene Hellesøe Appel,Enhedslisten,,9
Tobias Brus Mikkelsen,Dansk Folkeparti,,9
Gunver Birgitte Nielsen,Konservative,,9
Holly Marie Turner,Enhedslisten,,9
Jesper Bierbaum,Venstre,,8
Theis Kylling Hommeltoft,Socialdemokratiet,,8
Susanne Blegvad Posselt,SF,,7
Dan Arnløv,Konservative,,6
Jim Zakaria,Dansk Folkeparti,,6
Christian Fini Mosegaard,Liberal Alliance,,6
Christoffer Aagaard Melson,Venstre,,5
Finn Hartvig Nielsen,Radikale,,5
Carsten Sohl,Alternativet,,5
Bjørn Laursen,Socialdemokratiet,,5
Astrid Fogh,Alternativet,,5
Phillip Kjær Luscombe,Venstre,,4
Ane Line Søndergaard,Alternativet,,4
Mathias D. Christiansen,Enhedslisten,,4
Nicholas Wentworth,Radikale,,4
Bo Nielsen,Alternativet,,3
Johanna-Maria Precht,Enhedslisten,,3
Hans Biering Fonsbøl,Alternativet,,3
Mikael Winther,Alternativet,,3
Ole Lynggaard Jørgensen,Radikale,,2
Edvard Korsbæk,Alternativet,,2
Christian Tarbensen,Konservative,,2
Benny Dall,Enhedslisten,,2
Sarah Nørris,Enhedslisten,,2
Lasse Skov Ovesen,Radikale,,2
Lilje Holm,Enhedslisten,,2
Jens Langer Schou,Konservative,,2
Bodil Nielsen,Alternativet,,1
Bjarne Lastein,Radikale,,1
Mikael Hertig,Alternativet,,1
