kandidat,parti,valgt,stemmer
Christian Rabjerg Madsen,Socialdemokratiet,,1003
Karina Lorentzen Dehnhardt,SF,,647
Stephanie Lose,Venstre,,541
Peter Kofod,Dansk Folkeparti,,453
Tobias Jørgensen,Venstre,,319
Helena Artmann Andresen,Liberal Alliance,,225
Christina Foldager,Konservative,,173
Lotte Rod,Radikale,,169
Karina Adsbøl,Danmarksdemokraterne,,149
Cecilie Liv Hansen,Liberal Alliance,,145
Morten Hell,Moderaterne,,112
Maria Radoor,Socialdemokratiet,,106
Selma Bolø,Enhedslisten,,100
Steffen Larsen,Liberal Alliance,,90
Frida Bruun,Moderaterne,,86
Benny Dall,Enhedslisten,,57
Benny Engelbrecht,Socialdemokratiet,,54
Henrik Frandsen,Moderaterne,,52
Jesper Petersen,Socialdemokratiet,,44
Rasmus Vestergaard Madsen,Enhedslisten,,43
Sofus Teislev,SF,,42
Birgitte Vind,Socialdemokratiet,,39
Jørn Dohrmann,Borgernes Parti,,36
Per Knudsen,Dansk Folkeparti,,36
Morten Trillingsgaard Høybye,Konservative,,35
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,34
Niels Henning Bladt,Venstre,,34
Troels Simonsen,Liberal Alliance,,33
Nadja Natalie Isaksen,Borgernes Parti,,31
Frederik Bloch Münster,Konservative,,28
Ina Juul Jensen,SF,,26
Josephine Alstrup Kofod,Dansk Folkeparti,,26
Anne Marie Geisler Andersen,Radikale,,26
Milo Gaarde,SF,,24
Jannie Boysen Westergaard,Konservative,,23
Jørgen Kvist,SF,,22
Anni Matthiesen,Venstre,,21
Magnus Flensborg,SF,,21
Thomas Majgaard Byrsing,Danmarksdemokraterne,,20
Rasmus Elkjær Larsen,Konservative,,18
Kris Jensen Skriver,Socialdemokratiet,,17
Helene Lykke,Liberal Alliance,,17
Rasmus Sandvej,Konservative,,16
Frederik Klakk,Liberal Alliance,,15
Carl Andersen,Liberal Alliance,,15
Rune Bønnelykke,Dansk Folkeparti,,15
Coco Mette Cecilie Kjærgaard,Alternativet,,13
Jan Køpke Christensen,Borgernes Parti,,13
Nils Sjøberg,Radikale,,12
Kim Alexander Jensen,Liberal Alliance,,11
Preben Friis-Hauge,Venstre,,11
Gitte Bjerremand Andersen,Moderaterne,,11
Nicholas Wentworth,Radikale,,11
Troels Overgaard,Venstre,,11
Christoffer Aagaard Melson,Venstre,,11
Astrid Fogh,Alternativet,,10
Lone Hansen,Moderaterne,,10
Tilde Holch Duedahl,Venstre,,10
Jakob Venø Heiwald,Danmarksdemokraterne,,10
Sune Nørgaard Jakobsen,Dansk Folkeparti,,10
Helene Hellesøe Appel,Enhedslisten,,9
Kim Eskesen,Socialdemokratiet,,9
Holly Marie Turner,Enhedslisten,,9
Timm Bøttger,SF,,9
Christian Kirk,Dansk Folkeparti,,9
Anders Kronborg,Socialdemokratiet,,9
Gitte Eriksen,Konservative,,9
Cecilie C. Johannsen,Konservative,,9
Phillip Kjær Luscombe,Venstre,,8
Christian Jørgensen,Liberal Alliance,,8
Christian Mutwa Christensen,SF,,8
Ulrik Knudsen,Danmarksdemokraterne,,8
John Rasmussen,Liberal Alliance,,7
Kim Andkjær Doberck,Dansk Folkeparti,,6
Kenneth Fredslund Petersen,Danmarksdemokraterne,,6
Tommi Christensen,Socialdemokratiet,,6
Mikael Winther,Alternativet,,6
Theis Kylling Hommeltoft,Socialdemokratiet,,5
Lasse Hildingberg,Venstre,,5
Lilje Holm,Enhedslisten,,5
Jesper Bierbaum,Venstre,,5
Lars Rømer Olsen,Socialdemokratiet,,5
Tobias Brus Mikkelsen,Dansk Folkeparti,,4
Patrick Bryhl,Danmarksdemokraterne,,4
Klaus Sandfeld,Venstre,,4
Dan Arnløv,Konservative,,4
Rune Højer,Dansk Folkeparti,,4
Thomas Andresen,Venstre,,4
Mads-Magnus Damm,Dansk Folkeparti,,4
Allan Svendsen,Dansk Folkeparti,,4
Jens Langer Schou,Konservative,,3
Karsten Byrgesen,Borgernes Parti,,3
Hans Biering Fonsbøl,Alternativet,,3
Mathias D. Christiansen,Enhedslisten,,3
Bjørn Laursen,Socialdemokratiet,,3
Kristian Thomsen,Konservative,,2
Johanna-Maria Precht,Enhedslisten,,2
Ane Line Søndergaard,Alternativet,,2
Susanne Blegvad Posselt,SF,,2
Sarah Nørris,Enhedslisten,,2
Lasse Skov Ovesen,Radikale,,2
Bodil Nielsen,Alternativet,,1
Lasse Harder Schousboe,Enhedslisten,,1
Lars Mogensen,Enhedslisten,,1
Ole Lynggaard Jørgensen,Radikale,,1
Jim Zakaria,Dansk Folkeparti,,1
Christian Tarbensen,Konservative,,1
Mikael Hertig,Alternativet,,1
Edvard Korsbæk,Alternativet,,1
Bjarne Lastein,Radikale,,1
Christian Fini Mosegaard,Liberal Alliance,,1
Gunver Birgitte Nielsen,Konservative,,1
Barbara Krarup Hansen,Radikale,,1
Finn Hartvig Nielsen,Radikale,,1
Bo Nielsen,Alternativet,,1
Carsten Sohl,Alternativet,,0
