kandidat,parti,valgt,stemmer
Morten Messerschmidt,Dansk Folkeparti,,667
Lars Løkke Rasmussen,Moderaterne,,548
Pia Olsen Dyhr,SF,,538
Trine Birk Andersen,Socialdemokratiet,,297
Kaare Dybvad Bek,Socialdemokratiet,,251
Jacob Jensen,Venstre,,153
Pernille Vermund,Liberal Alliance,,101
Magnus Heunicke,Socialdemokratiet,,83
Jesper Hartøft,SF,,59
Zenia Stampe,Radikale,,57
Peter Skaarup,Danmarksdemokraterne,,53
Frederik Vad,Socialdemokratiet,,50
Susie Jessen,Danmarksdemokraterne,,48
Tina Mandrup,Venstre,,47
Morten Dahlin,Venstre,,42
Frederik Grünfeld,Liberal Alliance,,38
Jacob Harris,Borgernes Parti,,35
Marcus Knuth,Konservative,,31
Mette Hvid Brockmann,Radikale,,30
Karen Thestrup Clausen,Enhedslisten,,30
Eva Flyvholm,Enhedslisten,,27
Iben Krog,Venstre,,26
Christian Friis Bach,Venstre,,23
Astrid Carøe,SF,,22
Ditte Keidser,Konservative,,21
Brian Perri,Moderaterne,,20
Lars-Christian Brask,Liberal Alliance,,19
Malte Larsen,Dansk Folkeparti,,18
Rasmus Horn Langhoff,Socialdemokratiet,,17
Elise Sydendal,Alternativet,,17
Julie Jacobsen,Dansk Folkeparti,,17
Mads Olsen,SF,,14
Anne Valentina Berthelsen,SF,,14
Sascha Faxe,Alternativet,,13
Kristine Amalie Rostgård,SF,,13
Joachim Riis,Liberal Alliance,,13
Josefine Paaske,Venstre,,12
Louise Elholm,Venstre,,10
Jan Herskov,Dansk Folkeparti,,10
Carl Emil Lind,Socialdemokratiet,,10
Kanishka Dastageer,Socialdemokratiet,,10
Ali Yahya,SF,,9
Barbara Engelstoft,Konservative,,9
Line Krogh Lay,Radikale,,9
Jacob Antvorskov,Alternativet,,8
Claus Jørgensen,SF,,8
Sanne Pilgaard,Borgernes Parti,,8
Charlotte Bagge,Moderaterne,,7
Søren Lund Hansen,Dansk Folkeparti,,7
Mads Brenøe,Liberal Alliance,,6
Victoria Helene Olsen,Konservative,,6
Sofie Holm,Radikale,,6
Ludmila Plenge,Enhedslisten,,6
Filiz Sarah Thunø,Socialdemokratiet,,6
Rasmus Hylleberg,Venstre,,6
Vilhelm Møller,Konservative,,6
Jane Christensen,Konservative,,6
Tanja Larsson,Socialdemokratiet,,6
Julie Kølskov,Socialdemokratiet,,5
Helena Hedegaard Udsen,Enhedslisten,,5
Martin Rahn Johansen,Danmarksdemokraterne,,5
Louis Jacobsen,Enhedslisten,,4
Silas Ipsen,Konservative,,4
Yurdal Cicek,Alternativet,,4
Joan Kragh,SF,,4
Jacob Stryhn,Konservative,,4
Jeanne Bergmansen,SF,,4
Liselotte Katarina Rotfeld,Alternativet,,3
Ida Dyhr,Konservative,,3
Bruno Jerup,Enhedslisten,,3
Kasper Nygaard,Moderaterne,,3
Dina Person,Danmarksdemokraterne,,3
Christian Wibholm,Danmarksdemokraterne,,3
Valdemar Alban,Socialdemokratiet,,3
Tanja Glückstadt,Dansk Folkeparti,,3
Jonas Paludan,Enhedslisten,,3
Rune Kristensen,Konservative,,3
Mads Ramstedt,Konservative,,2
Michael Rosenmark,Danmarksdemokraterne,,2
Michael Rask,Liberal Alliance,,2
Kristian Stokholm,Radikale,,2
Brian Mørch,Danmarksdemokraterne,,2
Frida Qvist Kristensen,Moderaterne,,2
Marcus Danielsson,Venstre,,2
John Bo Hansen,Borgernes Parti,,2
Edris Qasimi,Radikale,,2
Benny Damgaard,Danmarksdemokraterne,,2
Mia Linda Møller,Moderaterne,,2
Mette Friis,Alternativet,,2
Ulrik Lassen,Liberal Alliance,,2
Mogens Haugaard,Moderaterne,,2
Peter Roswall,Enhedslisten,,2
Helena Tjørnelund Christensen,Radikale,,2
Troels Brandt,Radikale,,2
Thorbern Alexander Klingert,Venstre,,2
Birgit Gedionsen,Enhedslisten,,1
Michael Pihl,Dansk Folkeparti,,1
Kasper Roug,Socialdemokratiet,,1
Julie Memborg,Liberal Alliance,,1
John Brill Engkebølle,Danmarksdemokraterne,,1
Jan Carlsen,Moderaterne,,1
Nicolai Sandager,Liberal Alliance,,1
Anders Bork,Dansk Folkeparti,,1
Tim Larsen,Borgernes Parti,,1
Claus Bakke,Venstre,,1
Isabella Apelroth,Alternativet,,1
Martin Mickey Pedersen,Liberal Alliance,,1
Allan Hansen Lindemark,Alternativet,,1
Michael Schjelde,Venstre,,0
Jeppe Fransson,Radikale,,0
Steffen Friis,Liberal Alliance,,0
Henrik B. Dynesen,Liberal Alliance,,0
Elva Bille Klem,Liberal Alliance,,0
Kevin Alex Rasmussen,Enhedslisten,,0
Martin Graff Jørgensen,SF,,0
Simon Hampe,Dansk Folkeparti,,0
Bob Richard Nielsen,Danmarksdemokraterne,,0
Frederik Max Krag,Liberal Alliance,,0
Lars König,Alternativet,,0
Michael Graakjær,SF,,0
Kasper Schneider,Liberal Alliance,,0
Henrik Jacobsen,Konservative,,0
Susan H. Møller,Liberal Alliance,,0
Line Gessø,Alternativet,,0
Valentina Crast,Alternativet,,0
Carsten Abildtrup Ranum,Liberal Alliance,,0
Nikolaj Brink Olsen,Liberal Alliance,,0
Sandra Skalvig,Liberal Alliance,,0
Jacob Bentsen,Dansk Folkeparti,,0
Jeppe Trolle,Radikale,,0
Henrik Brodersen,Dansk Folkeparti,,0
Brian Prehn,Liberal Alliance,,0
