kandidat,parti,valgt,stemmer
Morten Messerschmidt,Dansk Folkeparti,,2632
Magnus Heunicke,Socialdemokratiet,,2579
Lars Løkke Rasmussen,Moderaterne,,1710
Pia Olsen Dyhr,SF,,1306
Rune Kristensen,Konservative,,437
Kasper Schneider,Liberal Alliance,,338
Christian Friis Bach,Venstre,,333
Pernille Vermund,Liberal Alliance,,282
Susie Jessen,Danmarksdemokraterne,,225
Marcus Knuth,Konservative,,215
Anne Valentina Berthelsen,SF,,199
Frederik Vad,Socialdemokratiet,,150
Zenia Stampe,Radikale,,147
Jacob Harris,Borgernes Parti,,129
Louise Elholm,Venstre,,127
Jacob Jensen,Venstre,,120
Eva Flyvholm,Enhedslisten,,113
Iben Krog,Venstre,,109
Josefine Paaske,Venstre,,108
Morten Dahlin,Venstre,,85
Trine Birk Andersen,Socialdemokratiet,,84
Peter Skaarup,Danmarksdemokraterne,,81
Kaare Dybvad Bek,Socialdemokratiet,,81
Tanja Larsson,Socialdemokratiet,,79
Sofie Holm,Radikale,,75
Charlotte Bagge,Moderaterne,,65
Astrid Carøe,SF,,63
Barbara Engelstoft,Konservative,,55
Joachim Riis,Liberal Alliance,,51
Elise Sydendal,Alternativet,,48
Malte Larsen,Dansk Folkeparti,,46
Kristine Amalie Rostgård,SF,,43
Sascha Faxe,Alternativet,,43
Carl Emil Lind,Socialdemokratiet,,42
Lars-Christian Brask,Liberal Alliance,,42
Julie Kølskov,Socialdemokratiet,,40
Mia Linda Møller,Moderaterne,,39
Bruno Jerup,Enhedslisten,,38
Ida Dyhr,Konservative,,38
Sanne Pilgaard,Borgernes Parti,,36
Ludmila Plenge,Enhedslisten,,35
Ali Yahya,SF,,34
Vilhelm Møller,Konservative,,29
Julie Jacobsen,Dansk Folkeparti,,29
Silas Ipsen,Konservative,,27
Helena Hedegaard Udsen,Enhedslisten,,25
Søren Lund Hansen,Dansk Folkeparti,,25
Valdemar Alban,Socialdemokratiet,,25
Mads Olsen,SF,,24
Line Krogh Lay,Radikale,,23
Jan Herskov,Dansk Folkeparti,,21
Yurdal Cicek,Alternativet,,20
Martin Graff Jørgensen,SF,,19
Rasmus Horn Langhoff,Socialdemokratiet,,19
Martin Rahn Johansen,Danmarksdemokraterne,,19
Jeanne Bergmansen,SF,,17
Dina Person,Danmarksdemokraterne,,15
Tim Larsen,Borgernes Parti,,15
Valentina Crast,Alternativet,,15
Helena Tjørnelund Christensen,Radikale,,15
Jane Christensen,Konservative,,14
Tanja Glückstadt,Dansk Folkeparti,,14
Thorbern Alexander Klingert,Venstre,,13
Kanishka Dastageer,Socialdemokratiet,,12
Sandra Skalvig,Liberal Alliance,,12
Ditte Keidser,Konservative,,12
Marcus Danielsson,Venstre,,12
Mette Friis,Alternativet,,12
Troels Brandt,Radikale,,12
Mads Brenøe,Liberal Alliance,,11
Tina Mandrup,Venstre,,11
Jacob Stryhn,Konservative,,11
Claus Bakke,Venstre,,10
Filiz Sarah Thunø,Socialdemokratiet,,10
Henrik Brodersen,Dansk Folkeparti,,10
Henrik Jacobsen,Konservative,,9
Louis Jacobsen,Enhedslisten,,9
Victoria Helene Olsen,Konservative,,9
Mette Hvid Brockmann,Radikale,,9
Joan Kragh,SF,,9
Frida Qvist Kristensen,Moderaterne,,9
Kasper Roug,Socialdemokratiet,,8
Michael Graakjær,SF,,8
Claus Jørgensen,SF,,8
Mogens Haugaard,Moderaterne,,8
Edris Qasimi,Radikale,,8
Jonas Paludan,Enhedslisten,,8
Jacob Antvorskov,Alternativet,,7
Liselotte Katarina Rotfeld,Alternativet,,7
Elva Bille Klem,Liberal Alliance,,7
Kasper Nygaard,Moderaterne,,7
Anders Bork,Dansk Folkeparti,,7
Jeppe Trolle,Radikale,,7
John Bo Hansen,Borgernes Parti,,6
Kevin Alex Rasmussen,Enhedslisten,,6
Ulrik Lassen,Liberal Alliance,,6
Brian Mørch,Danmarksdemokraterne,,6
Peter Roswall,Enhedslisten,,6
Michael Rask,Liberal Alliance,,6
Michael Rosenmark,Danmarksdemokraterne,,6
Birgit Gedionsen,Enhedslisten,,5
Julie Memborg,Liberal Alliance,,5
Jan Carlsen,Moderaterne,,5
Kristian Stokholm,Radikale,,5
Jacob Bentsen,Dansk Folkeparti,,5
Nicolai Sandager,Liberal Alliance,,4
Christian Wibholm,Danmarksdemokraterne,,4
Line Gessø,Alternativet,,4
Jeppe Fransson,Radikale,,4
Henrik B. Dynesen,Liberal Alliance,,4
Bob Richard Nielsen,Danmarksdemokraterne,,4
Martin Mickey Pedersen,Liberal Alliance,,4
Rasmus Hylleberg,Venstre,,3
Benny Damgaard,Danmarksdemokraterne,,3
Simon Hampe,Dansk Folkeparti,,3
Steffen Friis,Liberal Alliance,,3
Frederik Grünfeld,Liberal Alliance,,3
Carsten Abildtrup Ranum,Liberal Alliance,,3
Nikolaj Brink Olsen,Liberal Alliance,,3
Allan Hansen Lindemark,Alternativet,,3
Michael Pihl,Dansk Folkeparti,,2
Susan H. Møller,Liberal Alliance,,2
Isabella Apelroth,Alternativet,,2
Jesper Hartøft,SF,,2
Karen Thestrup Clausen,Enhedslisten,,2
Lars König,Alternativet,,1
Frederik Max Krag,Liberal Alliance,,1
Mads Ramstedt,Konservative,,1
Michael Schjelde,Venstre,,1
John Brill Engkebølle,Danmarksdemokraterne,,1
Brian Perri,Moderaterne,,1
Brian Prehn,Liberal Alliance,,1
