kandidat,parti,valgt,stemmer
Morten Messerschmidt,Dansk Folkeparti,,4249
Lars Løkke Rasmussen,Moderaterne,✓,2083
Pia Olsen Dyhr,SF,✓,1898
Tanja Larsson,Socialdemokratiet,,1582
Magnus Heunicke,Socialdemokratiet,✓,685
Josefine Paaske,Venstre,,682
Pernille Vermund,Liberal Alliance,✓,483
Morten Dahlin,Venstre,,426
Marcus Knuth,Konservative,,249
Line Krogh Lay,Radikale,,224
Mogens Haugaard,Moderaterne,,198
Jacob Harris,Borgernes Parti,,183
Carl Emil Lind,Socialdemokratiet,,152
Frederik Vad,Socialdemokratiet,,149
Silas Ipsen,Konservative,,138
Zenia Stampe,Radikale,,137
Malte Larsen,Dansk Folkeparti,,137
Susie Jessen,Danmarksdemokraterne,,133
Kaare Dybvad Bek,Socialdemokratiet,✓,124
Vilhelm Møller,Konservative,,120
Eva Flyvholm,Enhedslisten,✓,112
Jacob Jensen,Venstre,,109
Sascha Faxe,Alternativet,,107
Peter Skaarup,Danmarksdemokraterne,,103
Ida Dyhr,Konservative,,99
Martin Rahn Johansen,Danmarksdemokraterne,,98
Christian Friis Bach,Venstre,,92
Ali Yahya,SF,,87
Louise Elholm,Venstre,,77
Astrid Carøe,SF,,70
Iben Krog,Venstre,,68
Elise Sydendal,Alternativet,,67
Joachim Riis,Liberal Alliance,,66
Michael Graakjær,SF,,60
Charlotte Bagge,Moderaterne,,60
Anne Valentina Berthelsen,SF,,56
Lars-Christian Brask,Liberal Alliance,,54
Ludmila Plenge,Enhedslisten,,52
Tim Larsen,Borgernes Parti,,48
Kristine Amalie Rostgård,SF,,47
Trine Birk Andersen,Socialdemokratiet,,45
Mads Olsen,SF,,42
Julie Kølskov,Socialdemokratiet,,40
Victoria Helene Olsen,Konservative,,36
Rune Kristensen,Konservative,,35
Sanne Pilgaard,Borgernes Parti,,33
Mads Brenøe,Liberal Alliance,,33
Julie Jacobsen,Dansk Folkeparti,,29
Jacob Stryhn,Konservative,,28
Peter Roswall,Enhedslisten,,27
Valdemar Alban,Socialdemokratiet,,26
Claus Jørgensen,SF,,25
Jan Herskov,Dansk Folkeparti,,24
Louis Jacobsen,Enhedslisten,,23
Helena Hedegaard Udsen,Enhedslisten,,21
Valentina Crast,Alternativet,,20
Jane Christensen,Konservative,,19
Tanja Glückstadt,Dansk Folkeparti,,19
Brian Mørch,Danmarksdemokraterne,,19
Kasper Schneider,Liberal Alliance,,18
Jeanne Bergmansen,SF,,18
Barbara Engelstoft,Konservative,,18
Julie Memborg,Liberal Alliance,,18
Marcus Danielsson,Venstre,,16
Søren Lund Hansen,Dansk Folkeparti,,16
Dina Person,Danmarksdemokraterne,,16
Sandra Skalvig,Liberal Alliance,,16
Sofie Holm,Radikale,,15
Mette Friis,Alternativet,,14
Anders Bork,Dansk Folkeparti,,14
Rasmus Horn Langhoff,Socialdemokratiet,,14
Martin Graff Jørgensen,SF,,13
Henrik Brodersen,Dansk Folkeparti,,13
Helena Tjørnelund Christensen,Radikale,,12
Benny Damgaard,Danmarksdemokraterne,,12
Simon Hampe,Dansk Folkeparti,,11
Frederik Grünfeld,Liberal Alliance,,11
Kasper Roug,Socialdemokratiet,,11
Mads Ramstedt,Konservative,,11
Christian Wibholm,Danmarksdemokraterne,,11
Carsten Abildtrup Ranum,Liberal Alliance,,11
Ditte Keidser,Konservative,,10
Michael Rask,Liberal Alliance,,10
Frida Qvist Kristensen,Moderaterne,,10
Mia Linda Møller,Moderaterne,,10
Tina Mandrup,Venstre,,10
Steffen Friis,Liberal Alliance,,9
Kristian Stokholm,Radikale,,9
Edris Qasimi,Radikale,,9
Yurdal Cicek,Alternativet,,9
Birgit Gedionsen,Enhedslisten,,8
Joan Kragh,SF,,8
Troels Brandt,Radikale,,8
Jacob Bentsen,Dansk Folkeparti,,8
Thorbern Alexander Klingert,Venstre,,8
Mette Hvid Brockmann,Radikale,,8
Rasmus Hylleberg,Venstre,,8
Kanishka Dastageer,Socialdemokratiet,,8
Liselotte Katarina Rotfeld,Alternativet,,7
John Brill Engkebølle,Danmarksdemokraterne,,7
Henrik Jacobsen,Konservative,,7
Claus Bakke,Venstre,,6
Jeppe Trolle,Radikale,,6
Nikolaj Brink Olsen,Liberal Alliance,,6
Michael Rosenmark,Danmarksdemokraterne,,6
Jacob Antvorskov,Alternativet,,6
Brian Perri,Moderaterne,,6
Jeppe Fransson,Radikale,,6
Martin Mickey Pedersen,Liberal Alliance,,6
Filiz Sarah Thunø,Socialdemokratiet,,6
Ulrik Lassen,Liberal Alliance,,6
Jonas Paludan,Enhedslisten,,6
Karen Thestrup Clausen,Enhedslisten,,4
Kevin Alex Rasmussen,Enhedslisten,,4
Jan Carlsen,Moderaterne,,4
Nicolai Sandager,Liberal Alliance,,4
Elva Bille Klem,Liberal Alliance,,3
Bruno Jerup,Enhedslisten,,3
Kasper Nygaard,Moderaterne,,3
Allan Hansen Lindemark,Alternativet,,3
Lars König,Alternativet,,3
John Bo Hansen,Borgernes Parti,,2
Isabella Apelroth,Alternativet,,2
Frederik Max Krag,Liberal Alliance,,2
Bob Richard Nielsen,Danmarksdemokraterne,,1
Michael Pihl,Dansk Folkeparti,,1
Henrik B. Dynesen,Liberal Alliance,,1
Jesper Hartøft,SF,,1
Michael Schjelde,Venstre,,1
Line Gessø,Alternativet,,1
Susan H. Møller,Liberal Alliance,,1
Brian Prehn,Liberal Alliance,,1
