kandidat,parti,valgt,stemmer
Morten Messerschmidt,Dansk Folkeparti,,1578
Lars Løkke Rasmussen,Moderaterne,,811
Pia Olsen Dyhr,SF,,799
Julie Kølskov,Socialdemokratiet,,797
Iben Krog,Venstre,,716
Marcus Knuth,Konservative,,535
Kasper Roug,Socialdemokratiet,,422
Magnus Heunicke,Socialdemokratiet,,393
Joan Kragh,SF,,209
Pernille Vermund,Liberal Alliance,,158
Anne Valentina Berthelsen,SF,,155
Charlotte Bagge,Moderaterne,,138
Benny Damgaard,Danmarksdemokraterne,,111
Christian Wibholm,Danmarksdemokraterne,,100
Jacob Harris,Borgernes Parti,,87
Susie Jessen,Danmarksdemokraterne,,85
Bob Richard Nielsen,Danmarksdemokraterne,,85
Ludmila Plenge,Enhedslisten,,76
Kaare Dybvad Bek,Socialdemokratiet,,73
Zenia Stampe,Radikale,,68
Claus Bakke,Venstre,,68
Mads Brenøe,Liberal Alliance,,59
Peter Skaarup,Danmarksdemokraterne,,59
Simon Hampe,Dansk Folkeparti,,56
Elise Sydendal,Alternativet,,54
Frederik Vad,Socialdemokratiet,,52
Eva Flyvholm,Enhedslisten,,51
John Brill Engkebølle,Danmarksdemokraterne,,49
Kevin Alex Rasmussen,Enhedslisten,,47
Jacob Jensen,Venstre,,36
John Bo Hansen,Borgernes Parti,,35
Morten Dahlin,Venstre,,35
Trine Birk Andersen,Socialdemokratiet,,34
Christian Friis Bach,Venstre,,34
Sascha Faxe,Alternativet,,32
Louise Elholm,Venstre,,32
Carl Emil Lind,Socialdemokratiet,,31
Joachim Riis,Liberal Alliance,,30
Julie Jacobsen,Dansk Folkeparti,,28
Astrid Carøe,SF,,25
Tanja Larsson,Socialdemokratiet,,23
Valdemar Alban,Socialdemokratiet,,21
Edris Qasimi,Radikale,,21
Kristine Amalie Rostgård,SF,,20
Henrik Jacobsen,Konservative,,20
Rasmus Horn Langhoff,Socialdemokratiet,,19
Malte Larsen,Dansk Folkeparti,,19
Rune Kristensen,Konservative,,18
Ali Yahya,SF,,16
Martin Rahn Johansen,Danmarksdemokraterne,,16
Anders Bork,Dansk Folkeparti,,16
Josefine Paaske,Venstre,,15
Ida Dyhr,Konservative,,15
Sofie Holm,Radikale,,14
Sanne Pilgaard,Borgernes Parti,,14
Martin Graff Jørgensen,SF,,13
Henrik Brodersen,Dansk Folkeparti,,13
Julie Memborg,Liberal Alliance,,13
Lars-Christian Brask,Liberal Alliance,,12
Kasper Schneider,Liberal Alliance,,11
Kristian Stokholm,Radikale,,10
Søren Lund Hansen,Dansk Folkeparti,,10
Jan Herskov,Dansk Folkeparti,,10
Valentina Crast,Alternativet,,9
Martin Mickey Pedersen,Liberal Alliance,,9
Yurdal Cicek,Alternativet,,9
Jacob Stryhn,Konservative,,9
Helena Hedegaard Udsen,Enhedslisten,,9
Line Krogh Lay,Radikale,,8
Mogens Haugaard,Moderaterne,,8
Louis Jacobsen,Enhedslisten,,8
Birgit Gedionsen,Enhedslisten,,7
Troels Brandt,Radikale,,7
Mette Friis,Alternativet,,7
Tanja Glückstadt,Dansk Folkeparti,,7
Helena Tjørnelund Christensen,Radikale,,7
Mads Olsen,SF,,7
Vilhelm Møller,Konservative,,7
Kanishka Dastageer,Socialdemokratiet,,6
Ditte Keidser,Konservative,,6
Jane Christensen,Konservative,,6
Michael Rosenmark,Danmarksdemokraterne,,6
Victoria Helene Olsen,Konservative,,5
Claus Jørgensen,SF,,5
Michael Graakjær,SF,,5
Jeppe Fransson,Radikale,,5
Liselotte Katarina Rotfeld,Alternativet,,5
Michael Schjelde,Venstre,,5
Silas Ipsen,Konservative,,5
Kasper Nygaard,Moderaterne,,4
Jacob Bentsen,Dansk Folkeparti,,4
Frida Qvist Kristensen,Moderaterne,,4
Mette Hvid Brockmann,Radikale,,4
Mia Linda Møller,Moderaterne,,4
Michael Pihl,Dansk Folkeparti,,4
Filiz Sarah Thunø,Socialdemokratiet,,4
Jesper Hartøft,SF,,4
Jeanne Bergmansen,SF,,3
Rasmus Hylleberg,Venstre,,3
Jonas Paludan,Enhedslisten,,3
Dina Person,Danmarksdemokraterne,,3
Brian Mørch,Danmarksdemokraterne,,3
Tim Larsen,Borgernes Parti,,3
Jacob Antvorskov,Alternativet,,3
Allan Hansen Lindemark,Alternativet,,2
Jeppe Trolle,Radikale,,2
Bruno Jerup,Enhedslisten,,2
Barbara Engelstoft,Konservative,,2
Steffen Friis,Liberal Alliance,,2
Thorbern Alexander Klingert,Venstre,,2
Lars König,Alternativet,,2
Marcus Danielsson,Venstre,,1
Brian Prehn,Liberal Alliance,,1
Michael Rask,Liberal Alliance,,1
Mads Ramstedt,Konservative,,1
Isabella Apelroth,Alternativet,,1
Line Gessø,Alternativet,,1
Sandra Skalvig,Liberal Alliance,,1
Frederik Max Krag,Liberal Alliance,,0
Peter Roswall,Enhedslisten,,0
Elva Bille Klem,Liberal Alliance,,0
Ulrik Lassen,Liberal Alliance,,0
Brian Perri,Moderaterne,,0
Henrik B. Dynesen,Liberal Alliance,,0
Carsten Abildtrup Ranum,Liberal Alliance,,0
Tina Mandrup,Venstre,,0
Nikolaj Brink Olsen,Liberal Alliance,,0
Jan Carlsen,Moderaterne,,0
Susan H. Møller,Liberal Alliance,,0
Frederik Grünfeld,Liberal Alliance,,0
Nicolai Sandager,Liberal Alliance,,0
Karen Thestrup Clausen,Enhedslisten,,0
