kandidat,parti,valgt,stemmer
Birgitte Vind,Socialdemokratiet,,2483
Christoffer Aagaard Melson,Venstre,,1488
Stephanie Lose,Venstre,✓,1316
Karina Lorentzen Dehnhardt,SF,✓,894
Peter Kofod,Dansk Folkeparti,✓,685
Christian Rabjerg Madsen,Socialdemokratiet,,370
Lotte Rod,Radikale,,368
Dan Arnløv,Konservative,,309
Rune Bønnelykke,Dansk Folkeparti,,283
Frida Bruun,Moderaterne,,273
Cecilie Liv Hansen,Liberal Alliance,,256
Henrik Frandsen,Moderaterne,✓,240
Magnus Flensborg,SF,,181
Benny Engelbrecht,Socialdemokratiet,✓,160
Steffen Larsen,Liberal Alliance,,156
Helena Artmann Andresen,Liberal Alliance,,153
Troels Overgaard,Venstre,,141
Kenneth Fredslund Petersen,Danmarksdemokraterne,,131
Gitte Eriksen,Konservative,,130
Selma Bolø,Enhedslisten,,129
Karina Adsbøl,Danmarksdemokraterne,,121
Jesper Petersen,Socialdemokratiet,,101
Rasmus Vestergaard Madsen,Enhedslisten,,100
Anne Marie Geisler Andersen,Radikale,,92
Anni Matthiesen,Venstre,,89
Ina Juul Jensen,SF,,79
Frederik Bloch Münster,Konservative,,79
Maria Radoor,Socialdemokratiet,,76
Christina Foldager,Konservative,,76
Nadja Natalie Isaksen,Borgernes Parti,,74
Ulrik Knudsen,Danmarksdemokraterne,,72
Morten Hell,Moderaterne,,67
Gitte Bjerremand Andersen,Moderaterne,,66
Tobias Jørgensen,Venstre,,65
Josephine Alstrup Kofod,Dansk Folkeparti,,61
Coco Mette Cecilie Kjærgaard,Alternativet,,59
Jakob Venø Heiwald,Danmarksdemokraterne,,58
Milo Gaarde,SF,,56
Sofus Teislev,SF,,56
Ole Lynggaard Jørgensen,Radikale,,55
Jørgen Kvist,SF,,48
Jannie Boysen Westergaard,Konservative,,45
Sune Nørgaard Jakobsen,Dansk Folkeparti,,44
Kim Alexander Jensen,Liberal Alliance,,41
Kris Jensen Skriver,Socialdemokratiet,,40
Nicholas Wentworth,Radikale,,40
Niels Henning Bladt,Venstre,,37
Christian Mutwa Christensen,SF,,37
Tilde Holch Duedahl,Venstre,,33
Rasmus Elkjær Larsen,Konservative,,33
Per Knudsen,Dansk Folkeparti,,31
Christian Kirk,Dansk Folkeparti,,30
Frederik Klakk,Liberal Alliance,,30
Timm Bøttger,SF,,29
Karsten Byrgesen,Borgernes Parti,,29
Kim Andkjær Doberck,Dansk Folkeparti,,28
Helene Lykke,Liberal Alliance,,28
Anders Kronborg,Socialdemokratiet,,26
Carl Andersen,Liberal Alliance,,26
Lone Hansen,Moderaterne,,25
Holly Marie Turner,Enhedslisten,,25
Theis Kylling Hommeltoft,Socialdemokratiet,,24
Preben Friis-Hauge,Venstre,,23
Troels Simonsen,Liberal Alliance,,23
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,23
Cecilie C. Johannsen,Konservative,,23
Tommi Christensen,Socialdemokratiet,,22
Rasmus Sandvej,Konservative,,22
Lars Rømer Olsen,Socialdemokratiet,,22
Lasse Hildingberg,Venstre,,21
Jan Køpke Christensen,Borgernes Parti,,21
Astrid Fogh,Alternativet,,21
Kim Eskesen,Socialdemokratiet,,21
Thomas Majgaard Byrsing,Danmarksdemokraterne,,21
Nils Sjøberg,Radikale,,21
Mads-Magnus Damm,Dansk Folkeparti,,20
Morten Trillingsgaard Høybye,Konservative,,20
Lilje Holm,Enhedslisten,,19
Christian Jørgensen,Liberal Alliance,,19
Susanne Blegvad Posselt,SF,,18
Jørn Dohrmann,Borgernes Parti,,16
Johanna-Maria Precht,Enhedslisten,,16
Christian Fini Mosegaard,Liberal Alliance,,14
Thomas Andresen,Venstre,,13
Tobias Brus Mikkelsen,Dansk Folkeparti,,13
John Rasmussen,Liberal Alliance,,12
Klaus Sandfeld,Venstre,,12
Jesper Bierbaum,Venstre,,12
Helene Hellesøe Appel,Enhedslisten,,11
Hans Biering Fonsbøl,Alternativet,,11
Finn Hartvig Nielsen,Radikale,,11
Ane Line Søndergaard,Alternativet,,11
Phillip Kjær Luscombe,Venstre,,10
Sarah Nørris,Enhedslisten,,10
Mathias D. Christiansen,Enhedslisten,,9
Patrick Bryhl,Danmarksdemokraterne,,9
Bo Nielsen,Alternativet,,8
Barbara Krarup Hansen,Radikale,,8
Rune Højer,Dansk Folkeparti,,7
Mikael Winther,Alternativet,,7
Gunver Birgitte Nielsen,Konservative,,7
Jens Langer Schou,Konservative,,6
Jim Zakaria,Dansk Folkeparti,,6
Allan Svendsen,Dansk Folkeparti,,6
Lasse Harder Schousboe,Enhedslisten,,5
Lars Mogensen,Enhedslisten,,5
Bjørn Laursen,Socialdemokratiet,,5
Kristian Thomsen,Konservative,,4
Benny Dall,Enhedslisten,,3
Lasse Skov Ovesen,Radikale,,3
Bodil Nielsen,Alternativet,,2
Carsten Sohl,Alternativet,,2
Edvard Korsbæk,Alternativet,,2
Mikael Hertig,Alternativet,,1
Bjarne Lastein,Radikale,,1
Christian Tarbensen,Konservative,,0
