kandidat,parti,valgt,stemmer
Christoffer Aagaard Melson,Venstre,,33
Birgitte Vind,Socialdemokratiet,,14
Lotte Rod,Radikale,,8
Stephanie Lose,Venstre,,8
Anni Matthiesen,Venstre,,8
Peter Kofod,Dansk Folkeparti,,6
Nadja Natalie Isaksen,Borgernes Parti,,5
Ina Juul Jensen,SF,,4
Steffen Larsen,Liberal Alliance,,3
Jakob Venø Heiwald,Danmarksdemokraterne,,2
Dan Arnløv,Konservative,,2
Rasmus Elkjær Larsen,Konservative,,2
Jannie Boysen Westergaard,Konservative,,2
Karina Lorentzen Dehnhardt,SF,,2
Frida Bruun,Moderaterne,,2
Karsten Byrgesen,Borgernes Parti,,2
Karina Adsbøl,Danmarksdemokraterne,,2
Benny Engelbrecht,Socialdemokratiet,,2
Christina Foldager,Konservative,,1
Henrik Frandsen,Moderaterne,,1
Kenneth Fredslund Petersen,Danmarksdemokraterne,,1
Magnus Flensborg,SF,,1
Anne Marie Geisler Andersen,Radikale,,1
Timm Bøttger,SF,,1
Susanne Blegvad Posselt,SF,,1
Cecilie Liv Hansen,Liberal Alliance,,1
Milo Gaarde,SF,,1
Helena Artmann Andresen,Liberal Alliance,,1
Theis Kylling Hommeltoft,Socialdemokratiet,,1
Jesper Petersen,Socialdemokratiet,,1
Troels Simonsen,Liberal Alliance,,1
Patrick Bryhl,Danmarksdemokraterne,,1
Coco Mette Cecilie Kjærgaard,Alternativet,,1
Rune Bønnelykke,Dansk Folkeparti,,1
Christian Rabjerg Madsen,Socialdemokratiet,,1
Sune Nørgaard Jakobsen,Dansk Folkeparti,,1
Christian Fini Mosegaard,Liberal Alliance,,1
Gitte Bjerremand Andersen,Moderaterne,,1
Kim Alexander Jensen,Liberal Alliance,,1
Lasse Hildingberg,Venstre,,0
Christian Jørgensen,Liberal Alliance,,0
Niels Henning Bladt,Venstre,,0
Helene Hellesøe Appel,Enhedslisten,,0
Jan Køpke Christensen,Borgernes Parti,,0
Helene Lykke,Liberal Alliance,,0
Preben Friis-Hauge,Venstre,,0
Thomas Majgaard Byrsing,Danmarksdemokraterne,,0
Hans Biering Fonsbøl,Alternativet,,0
Bjørn Laursen,Socialdemokratiet,,0
Thomas Andresen,Venstre,,0
Nils Sjøberg,Radikale,,0
Klaus Sandfeld,Venstre,,0
Astrid Fogh,Alternativet,,0
Ole Lynggaard Jørgensen,Radikale,,0
Josephine Alstrup Kofod,Dansk Folkeparti,,0
Tommi Christensen,Socialdemokratiet,,0
Bodil Nielsen,Alternativet,,0
Gitte Eriksen,Konservative,,0
Kim Eskesen,Socialdemokratiet,,0
Lars Mogensen,Enhedslisten,,0
Johanna-Maria Precht,Enhedslisten,,0
Morten Trillingsgaard Høybye,Konservative,,0
Lasse Harder Schousboe,Enhedslisten,,0
Lars Rømer Olsen,Socialdemokratiet,,0
Tobias Brus Mikkelsen,Dansk Folkeparti,,0
Ane Line Søndergaard,Alternativet,,0
Phillip Kjær Luscombe,Venstre,,0
Cecilie C. Johannsen,Konservative,,0
Rasmus Sandvej,Konservative,,0
Rune Højer,Dansk Folkeparti,,0
Christian Tarbensen,Konservative,,0
Kim Andkjær Doberck,Dansk Folkeparti,,0
Gunver Birgitte Nielsen,Konservative,,0
Mathias D. Christiansen,Enhedslisten,,0
Frederik Klakk,Liberal Alliance,,0
Rasmus Vestergaard Madsen,Enhedslisten,,0
Lasse Skov Ovesen,Radikale,,0
Selma Bolø,Enhedslisten,,0
Carsten Sohl,Alternativet,,0
Allan Svendsen,Dansk Folkeparti,,0
Tobias Jørgensen,Venstre,,0
Jim Zakaria,Dansk Folkeparti,,0
Christian Kirk,Dansk Folkeparti,,0
Mikael Hertig,Alternativet,,0
Lilje Holm,Enhedslisten,,0
John Rasmussen,Liberal Alliance,,0
Bjarne Lastein,Radikale,,0
Carl Andersen,Liberal Alliance,,0
Anders Kronborg,Socialdemokratiet,,0
Nicholas Wentworth,Radikale,,0
Jesper Bierbaum,Venstre,,0
Jørn Dohrmann,Borgernes Parti,,0
Per Knudsen,Dansk Folkeparti,,0
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,0
Jørgen Kvist,SF,,0
Christian Mutwa Christensen,SF,,0
Edvard Korsbæk,Alternativet,,0
Morten Hell,Moderaterne,,0
Troels Overgaard,Venstre,,0
Finn Hartvig Nielsen,Radikale,,0
Kris Jensen Skriver,Socialdemokratiet,,0
Mikael Winther,Alternativet,,0
Sarah Nørris,Enhedslisten,,0
Kristian Thomsen,Konservative,,0
Benny Dall,Enhedslisten,,0
Holly Marie Turner,Enhedslisten,,0
Tilde Holch Duedahl,Venstre,,0
Ulrik Knudsen,Danmarksdemokraterne,,0
Mads-Magnus Damm,Dansk Folkeparti,,0
Barbara Krarup Hansen,Radikale,,0
Bo Nielsen,Alternativet,,0
Frederik Bloch Münster,Konservative,,0
Jens Langer Schou,Konservative,,0
Maria Radoor,Socialdemokratiet,,0
Sofus Teislev,SF,,0
Lone Hansen,Moderaterne,,0
