parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,9.9,18.8
Radikale Venstre,Radikale Venstre,8.2,
Det Konservative Folkeparti,Det Konservative Folkeparti,13.1,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,6.9,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,2.0,
LA,Liberal Alliance,19.4,12.7
M,Moderaterne,12.9,12.7
DF,Dansk Folkeparti,8.0,2.3
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",12.2,
ALT,Alternativet,2.5,3.0
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,2.1,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,3.0,
