parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,15.4,29.0
Radikale Venstre,Radikale Venstre,1.7,
Det Konservative Folkeparti,Det Konservative Folkeparti,3.6,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,9.2,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,1.9,
LA,Liberal Alliance,7.5,5.9
M,Moderaterne,1.9,5.5
DF,Dansk Folkeparti,8.2,1.8
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",26.8,
ALT,Alternativet,0.7,1.4
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,22.1,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,1.1,
