storkreds_nummer,storkreds,opstillingskreds_dagi_id,opstillingskreds,afstemningsområde_dagi_id,afstemningsområde,frigivelsestidspunkt,godkendelsestidspunkt,resultat_art,total_gyldige_stemmer,total_afgivne_stemmer,parti,parti_id,parti_bogstav,stemmer,listestemmer,difference_forrige_valg
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Liberal Alliance,4d676beb-025b-4d42-ac5d-533d5130a6f3,I,611,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Borgernes Parti - Lars Boje Mathiesen,89ee100e-d4d6-43b5-83c5-edd5dd02c1fd,H,124,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Moderaterne,30375f1d-ff52-4b0d-9964-7147844cd5e7,M,409,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Radikale Venstre,93a1aa01-2897-474b-8604-a1326c9b3948,B,204,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Det Konservative Folkeparti,2e08413e-1c5b-4029-8bce-eac0ebff6527,C,347,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Enhedslisten - De Rød-Grønne,8bb64864-5728-41db-af00-6234795cf340,Ø,183,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Alternativet,c01e1c81-e8eb-4f3d-ac55-de9279740a0e,Å,76,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Socialdemokratiet,2f487db9-0663-429f-a4ec-081ae701723d,A,1336,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,"Venstre, Danmarks Liberale Parti",914ae6fd-98a6-4ed6-afd1-60ab809678ed,V,923,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,SF - Socialistisk Folkeparti,fae32292-ff8f-4f27-8218-a9874603e759,F,494,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Danmarksdemokraterne - Inger Støjberg,ffacb8b3-7f7b-4158-a1ee-c0be84a344c6,Æ,273,0,
7,Sydjylland,403621,Aabenraa,702016,Aabenraa Midt,2026-03-24 20:41:52,,ForeløbigOptælling,5622,5702,Dansk Folkeparti,1df39501-e08d-42e9-9804-eccf7b1f564a,O,642,0,
7,Sydjylland,403621,Aabenraa,700772,Aabenraa Nord,2026-03-24 20:28:49,,ForeløbigOptælling,1682,1698,Radikale Venstre,93a1aa01-2897-474b-8604-a1326c9b3948,B,46,0,
7,Sydjylland,403621,Aabenraa,700772,Aabenraa Nord,2026-03-24 20:28:49,,ForeløbigOptælling,1682,1698,Det Konservative Folkeparti,2e08413e-1c5b-4029-8bce-eac0ebff6527,C,80,0,
7,Sydjylland,403621,Aabenraa,700772,Aabenraa Nord,2026-03-24 20:28:49,,ForeløbigOptælling,1682,1698,SF - Socialistisk Folkeparti,fae32292-ff8f-4f27-8218-a9874603e759,F,163,0,
7,Sydjylland,403621,Aabenraa,700772,Aabenraa Nord,2026-03-24 20:28:49,,ForeløbigOptælling,1682,1698,Borgernes Parti - Lars Boje Mathiesen,89ee100e-d4d6-43b5-83c5-edd5dd02c1fd,H,50,0,
7,Sydjylland,403621,Aabenraa,700772,Aabenraa Nord,2026-03-24 20:28:49,,ForeløbigOptælling,1682,1698,Dansk Folkeparti,1df39501-e08d-42e9-9804-eccf7b1f564a,O,202,0,
7,Sydjylland,403621,Aabenraa,700772,Aabenraa Nord,2026-03-24 20:28:49,,ForeløbigOptælling,1682,1698,Moderaterne,30375f1d-ff52-4b0d-9964-7147844cd5e7,M,131,0,
