kandidat,parti,valgt,stemmer
Inger Støjberg,Danmarksdemokraterne,,7622
Mette Frederiksen,Socialdemokratiet,,5780
Marie Bjerre,Venstre,,5524
Flemming Møller Mortensen,Socialdemokratiet,,2191
Per Husted,Socialdemokratiet,,2104
Theresa Berg Andersen,SF,,2084
Preben Bang Henriksen,Venstre,,1194
Laura Holm,Konservative,,1186
Sólbjørg Jakobsen,Liberal Alliance,,1094
Ane Halsboe-Jørgensen,Socialdemokratiet,,566
Anders Vistisen,Dansk Folkeparti,,549
Kim Edberg Andersen,Danmarksdemokraterne,,493
Liselotte Lynge,Danmarksdemokraterne,,476
Mikkel Bisgaard,Venstre,,428
Peder Larsen,SF,,344
Bo Ritterbusch,Liberal Alliance,,323
Per Larsen,Konservative,,248
Torsten Wetche,Radikale,,245
Simon Kollerup,Socialdemokratiet,,238
Peder Hvelplund,Enhedslisten,,226
Emma Houe Mølgaard,Dansk Folkeparti,,181
Jørgen Hammer Sørensen,Dansk Folkeparti,,179
Mohammad Rona,Moderaterne,,166
Sofie Therese Svendsen,Konservative,,158
Kiki Bille Bach,Socialdemokratiet,,139
Melina Andersen,SF,,131
Line Randa,Moderaterne,,130
Lene Burchardt,Konservative,,123
Anne Honoré Østergaard,Venstre,,122
Niels Christensen,Borgernes Parti,,117
Kenneth Skatka Hammer,Liberal Alliance,,116
Pia Elberg,Radikale,,114
Danny Rosenkilde,Dansk Folkeparti,,110
Morten Ryom,Socialdemokratiet,,101
Anna Bjerre,Alternativet,,96
Torsten Schack Pedersen,Venstre,,89
Filippa Emilie Vittrup,Enhedslisten,,89
Stine Thier-Andersen,Konservative,,83
Morten Arvidsson,Moderaterne,,79
Anette Jensen Smith,Alternativet,,77
Ditte Ravn Kaagaard,Moderaterne,,76
Christina Lykke,SF,,76
Emma Biørn Tretow-Fish,Radikale,,73
Steffen Holme Helledie,Radikale,,72
Benjamin Christensen,SF,,72
John Bjerg,Borgernes Parti,,68
Carsten Bedsted,Radikale,,64
Thomas Hjort,Dansk Folkeparti,,62
Thomas Klimek,Socialdemokratiet,,61
Paulina Laparil,Borgernes Parti,,59
HP Beck,Liberal Alliance,,58
Søren Homann,Konservative,,54
Kristian Bøgsted,Danmarksdemokraterne,,52
Anders Peter Hansen,Liberal Alliance,,49
Michael Portefee P. Lex,Radikale,,45
Thomas Skovgaard,Moderaterne,,44
Arne Hyldgaard,Borgernes Parti,,42
Kim Gaarsdahl,Liberal Alliance,,41
Sara Tvilling,Liberal Alliance,,40
Runa Friis Hansen,Enhedslisten,,37
Jacob Robsøe,Radikale,,35
Emil Sloth,Alternativet,,34
Frederik Storm,Danmarksdemokraterne,,33
Claus Skovmose,Danmarksdemokraterne,,32
Marie Wandel,Radikale,,32
Peder Key Kristiansen,Socialdemokratiet,,32
Dorte M. Nielsen,SF,,30
Niels H. Bünemann,Venstre,,29
René Flou,Konservative,,28
Berit Raldin,Enhedslisten,,28
Claus Beck,Liberal Alliance,,28
Nikolaj C. Andersen,Moderaterne,,28
Susanne Krebs,Radikale,,25
Rikke Olssen,Liberal Alliance,,22
Ib Poulsen,Borgernes Parti,,21
Dorthe Pedersen,Konservative,,20
Morten Bo Bertelsen,SF,,20
Anne-Marie Hemmeth,Alternativet,,19
Peter Larsen,Liberal Alliance,,19
Ulrik Appel,Enhedslisten,,17
Anita Vivi Lilholt,Venstre,,16
Lasse Mejer Petersen,Enhedslisten,,16
Hans Jørgen Adamsen,Venstre,,16
Christina Eilers,Enhedslisten,,13
Mark Hellerup,Liberal Alliance,,12
Lasse Olsen,Enhedslisten,,12
Jimmy Abel Nielsen,Liberal Alliance,,12
Lukas Vestergaard,Liberal Alliance,,11
Dorthe Kerschus,Radikale,,10
Frederik Blicher Pedersen,Liberal Alliance,,8
Phillip Sperling,Venstre,,7
Hans Jensen,Enhedslisten,,7
Gorm Simonsen,Radikale,,7
Thomas Heuniche,Liberal Alliance,,7
Henning Jørgensen,SF,,6
Thomas Christiansen,Liberal Alliance,,6
Steen Asgeir Petersen,Radikale,,6
Gabriel Aaen,Konservative,,4
Dan Gaardboe Rueskov,Liberal Alliance,,3
Kresten Solvang Larsen,Liberal Alliance,,3
Thomas Kjeldsen,SF,,2
