kandidat,parti,valgt,stemmer
Mattias Tesfaye,Socialdemokratiet,,5595
Mikkel Bjørn,Dansk Folkeparti,,1846
Morten Bødskov,Socialdemokratiet,,1737
Maria Durhuus,Socialdemokratiet,,1512
Sofie F. Villadsen,SF,,1294
Ibrahim Benli,Enhedslisten,,1133
Zohair Ali,Radikale,,1127
Vivi Nør Jacobsen,SF,,1029
Esat Senturk,Radikale,,833
Kashif Ahmad,Radikale,,732
Monika Rubin,Moderaterne,,727
Gunvor Wibroe,Socialdemokratiet,,712
Signe Wenneberg,Alternativet,,677
Tina Cartey Hansen,Konservative,,655
Sofie de Bretteville,Socialdemokratiet,,611
Sigurd Agersnap,SF,,586
Fatih Baran,Enhedslisten,,526
Clara Turms,Enhedslisten,,510
Isabella Arendt,Konservative,,498
Christian Vigilius,Konservative,,445
Zishan Ali,Moderaterne,,445
Özkan Kocak,Moderaterne,,417
Mikkel Dencker,Dansk Folkeparti,,400
Hans Blaaberg,Dansk Folkeparti,,371
Stinus Lindgreen,Radikale,,301
Magnus Barsøe,Socialdemokratiet,,265
Caroline Lochow,Enhedslisten,,244
Freja Brandhøj,Liberal Alliance,,238
Kim Valentin,Venstre,,224
Marie Brixtofte,Venstre,,223
Troels Stru Schmidt,SF,,209
Jonas Juhl,Liberal Alliance,,197
Tenna Røberg,Dansk Folkeparti,,190
Trine Dybkjær,Radikale,,190
Christina Falkberg,Radikale,,181
Emil Viskum,Enhedslisten,,170
Bianca Vitting,Enhedslisten,,169
Kim Hammer,Dansk Folkeparti,,166
Taner Genc,SF,,158
Charlotte Munch,Danmarksdemokraterne,,155
Alexander Bruhn Skjøth,SF,,136
Julie Ahlefeldt-Laurvig,Konservative,,124
Jens Anton Tingstrøm,Socialdemokratiet,,119
Zandra Thulstrup Pihl,Dansk Folkeparti,,117
Jette Larsen,Konservative,,109
Frank Clausen,Liberal Alliance,,109
Anders Bo Larsen,Venstre,,107
Betina Asbæk,Moderaterne,,105
Michael Melchert,Liberal Alliance,,103
Helge Bo Jensen,Enhedslisten,,102
Dorte Vilhelmsen,Konservative,,97
Ruben Kidde,Radikale,,97
Magnus Von Dreiager,Konservative,,95
Michael Jensen,Dansk Folkeparti,,93
Helene Brochmann,SF,,93
Christopher Blomsterberg-Thaysen,Venstre,,92
Isabel Havndrup Aackmann,Radikale,,92
Ricki Vejsmose,Venstre,,88
Dorthe Beck-Nyling,Moderaterne,,88
Morten Dehn,Borgernes Parti,,87
Maria Ladegaard,Venstre,,82
Brian Køster,Radikale,,81
Astrid Søborg,Venstre,,78
Mathias Fuglsang,Borgernes Parti,,75
Susanne Damsgaard,Danmarksdemokraterne,,69
Frederik Lau Petersen,Moderaterne,,63
Vibeke Westh,Socialdemokratiet,,62
Nana Løcke Buttenschøn,Alternativet,,60
Sebastian Mylsted,Danmarksdemokraterne,,53
Tim Wodskou,Alternativet,,48
Niels Haxthausen,SF,,47
Luise Hjortebjerg,Venstre,,46
Hanne Bjørn,Liberal Alliance,,45
Thomas Anker,Alternativet,,40
Peter Samir,Alternativet,,39
Thomas Lindqvist,Alternativet,,37
Patrizia Venturelli Christensen,Liberal Alliance,,36
Lars Green Bach,Radikale,,34
Karan Khosla,Moderaterne,,34
Sigurd Hebo Lønholdt,Konservative,,34
Jens Frost,Radikale,,33
Frederik Lundberg,Borgernes Parti,,33
Jacqueline Kristensen,Liberal Alliance,,32
Sune Rastad Bahn,Enhedslisten,,29
Allan Orland,Borgernes Parti,,25
David Ibsen,Liberal Alliance,,15
Jesper Callesen,Alternativet,,15
Søren T. Fugleberg,Borgernes Parti,,4
