kandidat,parti,valgt,stemmer
Jacob Mark,SF,,2031
Mette Abildgaard,Konservative,,1834
Martin Lidegaard,Radikale,,1475
Fie Hækkerup,Socialdemokratiet,,1344
Sophie Løhde,Venstre,,1163
Louise Mehnke,Socialdemokratiet,,1062
Mette Thiesen,Dansk Folkeparti,,815
Rasmus Lund-Nielsen,Moderaterne,,671
Emma Juul Hansen,Konservative,,539
Marianne Bigum,SF,,410
Birgitte Bergman,Konservative,,404
Tue Villebro,Venstre,,393
Rasmus Stoklund,Socialdemokratiet,✓,350
Steffen W. Frølund,Liberal Alliance,,320
Hans Andersen,Venstre,,290
Hediye Temiz,Radikale,,274
Mikkel Hartwich,Dansk Folkeparti,,265
Brian Lyck Jørgensen,Dansk Folkeparti,,233
Emil Nielsen,SF,,229
Christopher Arzrouni,Liberal Alliance,,225
Katarina Ammitzbøll,Venstre,,218
Sinem Dybvad Demir,Enhedslisten,,217
Matilde Powers,Socialdemokratiet,,205
Christina Thorholm,Radikale,,205
Helene Brydensholt,Alternativet,,203
Marianne Lynghøj,Venstre,,180
Freja Eva Lockenwitz,Radikale,,152
Egil Hulgaard,Konservative,,151
Chelle Lilly Albøge,Liberal Alliance,,143
Pernille Christensen,Moderaterne,,143
Henrik Møller,Socialdemokratiet,,136
Lars Høyer Holmqvist,Liberal Alliance,,131
Ayhan Kilic,Moderaterne,,127
Frederik Germann,Konservative,,116
Stina Egedius Miller,SF,,114
Charlotte Haagendrup,Moderaterne,,108
Marlene Harpsøe,Danmarksdemokraterne,,106
Annette Rieva,Venstre,,105
Anja Rosengreen,SF,,104
Carolina Cámara,Enhedslisten,,100
Emilie Schytte,Borgernes Parti,,95
Jette Juul,Dansk Folkeparti,,94
Lars Bregnbak,Danmarksdemokraterne,,79
Emil Andersen,Enhedslisten,,75
Søren Rye,Socialdemokratiet,,72
Annie Hagel,Enhedslisten,,72
Tine Hessner,Radikale,,67
Philip Solberg,Liberal Alliance,,61
Anna Poulsen,SF,,59
Gert Løfgren,Dansk Folkeparti,,57
Andreas Raben,Moderaterne,,51
Daniel Drefeld,Konservative,,51
Mikkel Westh Jepsen,Radikale,,49
Christoffer Emil Jexen,Enhedslisten,,48
Martin Nordstjerne,Borgernes Parti,,47
Peter Faber,Borgernes Parti,,45
Elias Julius Binggeli,SF,,45
Christian Elkjær,Radikale,,42
Pia Adelsteen,Dansk Folkeparti,,40
Nanna Høyrup,Alternativet,,37
Kira Danholm,Liberal Alliance,,35
Salik Anders Rosing,Alternativet,,34
Maibritt Nielsen,Danmarksdemokraterne,,28
Morten Hvidberg Greve,Alternativet,,27
Robert Mørck,Liberal Alliance,,27
Steen Tofteng,Liberal Alliance,,27
Ulla Kokfelt,Dansk Folkeparti,,24
Katrine Schiller,Danmarksdemokraterne,,23
Rasmus Harning,Alternativet,,22
Rasmus Petersen,Enhedslisten,,18
Simon Rigét,Alternativet,,17
Sten Schmidl Søbjærg,Liberal Alliance,,17
Tine Loft Thomsen,Alternativet,,13
Jens Skov,SF,,13
Steffen Sjørslev,Liberal Alliance,,12
Ingrid Heintz,Alternativet,,7
Sofie Faureholm Lundsberg,Alternativet,,6
Mariane Lunden,Alternativet,,3
Johannes Joyce,Liberal Alliance,,3
