kandidat,parti,valgt,stemmer
Morten Messerschmidt,Dansk Folkeparti,,45678
Lars Løkke Rasmussen,Moderaterne,,30474
Pia Olsen Dyhr,SF,,25797
Magnus Heunicke,Socialdemokratiet,,13443
Frederik Vad,Socialdemokratiet,,6474
Kaare Dybvad Bek,Socialdemokratiet,,5435
Morten Dahlin,Venstre,,5326
Pernille Vermund,Liberal Alliance,,5216
Kasper Roug,Socialdemokratiet,,4413
Marcus Knuth,Konservative,,4135
Jacob Jensen,Venstre,,4109
Trine Birk Andersen,Socialdemokratiet,,3844
Zenia Stampe,Radikale,,3715
Iben Krog,Venstre,,3683
Rasmus Horn Langhoff,Socialdemokratiet,,3627
Julie Kølskov,Socialdemokratiet,,2703
Eva Flyvholm,Enhedslisten,,2522
Louise Elholm,Venstre,,2478
Tanja Larsson,Socialdemokratiet,,2474
Jacob Harris,Borgernes Parti,,2156
Christian Friis Bach,Venstre,,1899
Josefine Paaske,Venstre,,1870
Rune Kristensen,Konservative,,1858
Susie Jessen,Danmarksdemokraterne,,1839
Charlotte Bagge,Moderaterne,,1833
Astrid Carøe,SF,,1748
Victoria Helene Olsen,Konservative,,1722
Anne Valentina Berthelsen,SF,,1716
Peter Skaarup,Danmarksdemokraterne,,1691
Valdemar Alban,Socialdemokratiet,,1538
Benny Damgaard,Danmarksdemokraterne,,1459
Lars-Christian Brask,Liberal Alliance,,1422
Mads Olsen,SF,,1162
Elise Sydendal,Alternativet,,1144
Sascha Faxe,Alternativet,,1110
Filiz Sarah Thunø,Socialdemokratiet,,967
Ludmila Plenge,Enhedslisten,,966
Ida Dyhr,Konservative,,960
Malte Larsen,Dansk Folkeparti,,937
Kristine Amalie Rostgård,SF,,915
Carl Emil Lind,Socialdemokratiet,,867
Kasper Schneider,Liberal Alliance,,866
Martin Graff Jørgensen,SF,,807
Joachim Riis,Liberal Alliance,,788
Sofie Holm,Radikale,,760
Julie Jacobsen,Dansk Folkeparti,,720
Ali Yahya,SF,,659
Line Krogh Lay,Radikale,,643
Joan Kragh,SF,,640
Helena Hedegaard Udsen,Enhedslisten,,639
Tina Mandrup,Venstre,,606
Rasmus Hylleberg,Venstre,,596
Jeanne Bergmansen,SF,,594
Mette Hvid Brockmann,Radikale,,567
Martin Rahn Johansen,Danmarksdemokraterne,,563
Claus Bakke,Venstre,,547
Jacob Stryhn,Konservative,,537
Jesper Hartøft,SF,,532
Sanne Pilgaard,Borgernes Parti,,528
Vilhelm Møller,Konservative,,485
Silas Ipsen,Konservative,,480
Jonas Paludan,Enhedslisten,,466
Helena Tjørnelund Christensen,Radikale,,449
Edris Qasimi,Radikale,,424
Dina Person,Danmarksdemokraterne,,416
Claus Jørgensen,SF,,414
Jane Christensen,Konservative,,412
Jan Herskov,Dansk Folkeparti,,410
Søren Lund Hansen,Dansk Folkeparti,,406
Kanishka Dastageer,Socialdemokratiet,,392
Henrik Brodersen,Dansk Folkeparti,,357
Marcus Danielsson,Venstre,,350
Mads Brenøe,Liberal Alliance,,346
Frederik Grünfeld,Liberal Alliance,,345
Christian Wibholm,Danmarksdemokraterne,,334
Ditte Keidser,Konservative,,325
Barbara Engelstoft,Konservative,,315
Brian Mørch,Danmarksdemokraterne,,314
Mogens Haugaard,Moderaterne,,309
Thorbern Alexander Klingert,Venstre,,300
Bob Richard Nielsen,Danmarksdemokraterne,,295
Valentina Crast,Alternativet,,290
Tim Larsen,Borgernes Parti,,286
Mia Linda Møller,Moderaterne,,283
Julie Memborg,Liberal Alliance,,283
Louis Jacobsen,Enhedslisten,,279
Jacob Antvorskov,Alternativet,,276
Troels Brandt,Radikale,,265
Karen Thestrup Clausen,Enhedslisten,,258
Michael Rask,Liberal Alliance,,226
Yurdal Cicek,Alternativet,,222
Kasper Nygaard,Moderaterne,,211
Jeppe Trolle,Radikale,,210
Henrik Jacobsen,Konservative,,209
Mads Ramstedt,Konservative,,209
Kevin Alex Rasmussen,Enhedslisten,,209
Brian Perri,Moderaterne,,208
Birgit Gedionsen,Enhedslisten,,207
John Brill Engkebølle,Danmarksdemokraterne,,203
Tanja Glückstadt,Dansk Folkeparti,,197
Frida Qvist Kristensen,Moderaterne,,195
Michael Rosenmark,Danmarksdemokraterne,,192
Jeppe Fransson,Radikale,,192
Anders Bork,Dansk Folkeparti,,187
Sandra Skalvig,Liberal Alliance,,181
Mette Friis,Alternativet,,175
Simon Hampe,Dansk Folkeparti,,174
Jan Carlsen,Moderaterne,,165
Nicolai Sandager,Liberal Alliance,,164
Bruno Jerup,Enhedslisten,,160
Kristian Stokholm,Radikale,,159
John Bo Hansen,Borgernes Parti,,148
Ulrik Lassen,Liberal Alliance,,142
Michael Graakjær,SF,,122
Peter Roswall,Enhedslisten,,118
Liselotte Katarina Rotfeld,Alternativet,,110
Michael Pihl,Dansk Folkeparti,,103
Jacob Bentsen,Dansk Folkeparti,,96
Martin Mickey Pedersen,Liberal Alliance,,90
Steffen Friis,Liberal Alliance,,84
Nikolaj Brink Olsen,Liberal Alliance,,79
Michael Schjelde,Venstre,,73
Carsten Abildtrup Ranum,Liberal Alliance,,72
Henrik B. Dynesen,Liberal Alliance,,70
Line Gessø,Alternativet,,70
Elva Bille Klem,Liberal Alliance,,51
Allan Hansen Lindemark,Alternativet,,45
Isabella Apelroth,Alternativet,,42
Brian Prehn,Liberal Alliance,,42
Lars König,Alternativet,,36
Susan H. Møller,Liberal Alliance,,26
Frederik Max Krag,Liberal Alliance,,18
