kandidat,parti,valgt,stemmer
Bjørn Brandenborg,Socialdemokratiet,,1731
Jeppe Bruus,Socialdemokratiet,,1634
Trine Bramsen,Socialdemokratiet,,1313
Victoria Velásquez,Enhedslisten,,1305
Mai Mercado,Konservative,,1169
Lars Aagaard,Moderaterne,,1036
Karsten Hønge,SF,,983
Anja Lund,Venstre,,868
Lise Müller,SF,,834
Marlene Ambo-Rasmussen,Venstre,,769
Thomas Skriver Jensen,Socialdemokratiet,,660
Alex Ahrendtsen,Dansk Folkeparti,,591
Amanda Heitmann,Venstre,,581
Anastasia Milthers,Radikale,,555
Torben Povlsen,Venstre,,551
Katrine Daugaard,Liberal Alliance,,491
Joachim Hoffmann-Petersen,Konservative,,384
Rosa Eriksen,Moderaterne,,366
Sara Emil Baaring,Socialdemokratiet,,355
Nikolaj Vang,Danmarksdemokraterne,,338
Lasse Haugaard Pedersen,Socialdemokratiet,,307
Kim Aas,Socialdemokratiet,,266
Sofie Mosgaard,Venstre,,263
Jens Henrik W. Thulesen Dahl,Danmarksdemokraterne,,243
Malte Jäger,Liberal Alliance,,236
Claus Oxfeldt,Venstre,,228
Maria Gudme,Socialdemokratiet,,222
Pia Offer Madsen,Liberal Alliance,,220
Suzette Frovin,SF,,209
Tobias Weische,Dansk Folkeparti,,200
Jakob Larsen,Radikale,,199
Jan Werner Mathiasen,Radikale,,197
Reza Javid,Enhedslisten,,188
Linda Frølund,Alternativet,,173
Araz Khan,Liberal Alliance,,166
Anne Møllegaard Mortensen,Dansk Folkeparti,,166
Laura Elise Andersen-Mühl,SF,,161
Klavs Norup Lauridsen,Konservative,,150
Kim Lei-Jensen,Radikale,,135
Anna Katrine Leth Rehn,SF,,130
Jesper Kiel,Enhedslisten,,128
Tobias Bennedsen,Konservative,,115
Simon Meyer Off,SF,,109
Charlotte Ellenberger,SF,,102
Vivian Lindberg Larsen,Danmarksdemokraterne,,99
Linda Bollerup,SF,,97
Stine Larsen,Alternativet,,94
Mette Skaarup,Enhedslisten,,89
Allan Holm,Borgernes Parti,,86
Anne Fiber,Konservative,,86
John Hoppe,Konservative,,79
Camilla Schuster Nygaard,Moderaterne,,72
Nikolaj Leed Henriksen,Venstre,,69
Natasja Bruun Knudsen,Konservative,,67
Lars Nissen,SF,,65
Andreas Lausen,Moderaterne,,64
Charlotte Møller-Madsen,Borgernes Parti,,62
Stine Øllegaard,Enhedslisten,,59
Maria Dalum,Alternativet,,57
Torsten Ringgaard,Enhedslisten,,56
Andreas Fjord Larsen,Venstre,,55
Niels Bolding,Dansk Folkeparti,,55
Matilde Skov-Hansen,Alternativet,,54
Romeo Troelsgaard,Dansk Folkeparti,,52
Vibeke Syppli Enrum,Enhedslisten,,40
Johan Emil Sevelsted,Konservative,,38
Johannes Skov Pedersen,SF,,34
Nynne Printz,SF,,29
Thomas Estrup,Liberal Alliance,,29
Kaj Alstrup,Enhedslisten,,27
Gustav Wilde,Liberal Alliance,,24
Anja Busch,Borgernes Parti,,24
Daniel Juhl,Borgernes Parti,,21
Jacob Holm,Alternativet,,20
Tonny Vest,Liberal Alliance,,18
Martin Kjærulff,Alternativet,,17
Bodil Helbo,Alternativet,,14
Martin Lissner,Liberal Alliance,,14
Ole Dupont Kofod,Alternativet,,8
Bo Tønnesen,Alternativet,,2
