kandidat,parti,valgt,stemmer
Anders Kronborg,Socialdemokratiet,,6
Stephanie Lose,"Venstre, Danmarks Liberale Parti",,4
Coco Mette Cecilie Kjærgaard,Alternativet,,1
Henrik Frandsen,Moderaterne,,1
Anni Matthiesen,"Venstre, Danmarks Liberale Parti",,1
Anne Catherine Hoxcer Nielsen,Socialdemokratiet,,1
Benny Engelbrecht,Socialdemokratiet,,0
Preben Friis-Hauge,"Venstre, Danmarks Liberale Parti",,0
Niels Henning Bladt,"Venstre, Danmarks Liberale Parti",,0
Helene Lykke,Liberal Alliance,,0
Christian Jørgensen,Liberal Alliance,,0
Patrick Bryhl,Danmarksdemokraterne - Inger Støjberg,,0
Klaus Sandfeld,"Venstre, Danmarks Liberale Parti",,0
Troels Simonsen,Liberal Alliance,,0
Helene Hellesøe Appel,Enhedslisten - De Rød-Grønne,,0
Jan Køpke Christensen,Borgernes Parti - Lars Boje Mathiesen,,0
Hans Biering Fonsbøl,Alternativet,,0
Nils Sjøberg,Radikale Venstre,,0
Birgitte Vind,Socialdemokratiet,,0
Gitte Bjerremand Andersen,Moderaterne,,0
Lasse Hildingberg,"Venstre, Danmarks Liberale Parti",,0
Rasmus Sandvej,Det Konservative Folkeparti,,0
Rune Bønnelykke,Dansk Folkeparti,,0
Tobias Brus Mikkelsen,Dansk Folkeparti,,0
Rune Højer,Dansk Folkeparti,,0
Thomas Andresen,"Venstre, Danmarks Liberale Parti",,0
Karina Adsbøl,Danmarksdemokraterne - Inger Støjberg,,0
Theis Kylling Hommeltoft,Socialdemokratiet,,0
Bjørn Laursen,Socialdemokratiet,,0
Jakob Venø Heiwald,Danmarksdemokraterne - Inger Støjberg,,0
Jesper Petersen,Socialdemokratiet,,0
Ane Line Søndergaard,Alternativet,,0
Phillip Kjær Luscombe,"Venstre, Danmarks Liberale Parti",,0
Kenneth Fredslund Petersen,Danmarksdemokraterne - Inger Støjberg,,0
Dan Arnløv,Det Konservative Folkeparti,,0
Cecilie C. Johannsen,Det Konservative Folkeparti,,0
Morten Trillingsgaard Høybye,Det Konservative Folkeparti,,0
Johanna-Maria Precht,Enhedslisten - De Rød-Grønne,,0
Lasse Harder Schousboe,Enhedslisten - De Rød-Grønne,,0
Lars Rømer Olsen,Socialdemokratiet,,0
Kim Eskesen,Socialdemokratiet,,0
Helena Artmann Andresen,Liberal Alliance,,0
Frida Bruun,Moderaterne,,0
Lars Mogensen,Enhedslisten - De Rød-Grønne,,0
Bodil Nielsen,Alternativet,,0
