kandidat,parti,valgt,stemmer
Alex Vanopslagh,Liberal Alliance,,25738
Mona Juul,Konservative,✓,14941
Nicolai Wammen,Socialdemokratiet,✓,13687
Troels Lund Poulsen,Venstre,✓,13125
Kirsten Normann Andersen,SF,✓,7010
Leif Lahn Jensen,Socialdemokratiet,✓,6166
Lars Boje Mathiesen,Borgernes Parti,✓,5232
Katrine Robsøe,Radikale,,5118
Camilla Fabricius,Socialdemokratiet,,4308
Sofie Lippert,SF,,3505
Anne Sophie Callesen,Radikale,,3312
Nick Zimmermann,Dansk Folkeparti,,3014
Anders Kühnau,Socialdemokratiet,,2777
Caroline Stage,Moderaterne,,2761
Trine Mach,Enhedslisten,✓,2614
Torsten Gejl,Alternativet,,2592
Thomas Monberg,Socialdemokratiet,,2315
Christina Egelund,Moderaterne,,2266
Louise Louring,Venstre,,2103
Jens Meilvang,Liberal Alliance,,2047
Edith Vels,Enhedslisten,,2013
Rabih Azad-Ahmad,Radikale,,1886
Charlotte Vindeløv,SF,,1781
Mathilde Hjort Bressum,Venstre,,1708
Charlotte Broman Mølbæk,SF,,1545
Anna Brændemose,SF,,1515
Dorthe Hindborg,Socialdemokratiet,,1373
Maria Temponeras,Enhedslisten,,1269
Michael Nedersøe,Dansk Folkeparti,,1226
Hans Kristian Skibby,Danmarksdemokraterne,,1173
Line Rasmussen,Radikale,,1168
Erik Veje Rasmussen,Venstre,,1138
Karina Aamann,Venstre,,1137
Nikoline Erbs Hillers-Bendtsen,Alternativet,,1018
Gert Bjerregaard,Venstre,,947
Peter Sporleder,Konservative,,888
Paw Hedegaard Amdisen,SF,,814
Mathias Sikora,Radikale,,799
Erik Poulsen,Danmarksdemokraterne,,767
Nana Harring,Dansk Folkeparti,,732
Charlotte Green,Konservative,,696
Susan Kronborg,Moderaterne,,592
Louise Høeg,Venstre,,588
Morten Siig Henriksen,SF,,573
Søren Lahn Sloth,SF,,572
Hanne Roed,Radikale,,567
Malte Larsen,Socialdemokratiet,,567
Carina Sarkkinen,SF,,560
Lone Glarbo,Danmarksdemokraterne,,545
Peter Have,Moderaterne,,525
Rune Christiansen,Radikale,,518
Sten Larsen,Moderaterne,,517
Sebastian Støckler,Venstre,,508
Rikke Christensen,Radikale,,502
Rune Mikkelsen,Danmarksdemokraterne,,469
Lisbeth Ivanhoe,Enhedslisten,,452
Rasmus T. Mortensen,SF,,439
Louise Brown,Liberal Alliance,,433
Bjørn Jensen,Konservative,,423
Maria Sørensen,Enhedslisten,,391
Jens Kannegaard Lundager,Dansk Folkeparti,,359
Søren Vanting,Moderaterne,,349
Kim Møller-Nielsen,Liberal Alliance,,334
Sara Pernille Jespersen,Moderaterne,,305
Bjarke Jensen,Radikale,,287
Henrik Rejnholt Andersen,Venstre,,284
Kristjar Skajaa,Enhedslisten,,279
Caroline Svejsø,Konservative,,269
Pia Halkjær,Socialdemokratiet,,266
Bjørn Olsen,Alternativet,,264
Steffen Hedegaard Attermann Brinch,Alternativet,,260
Tina Kjær,Alternativet,,260
Gitte Dreier Jacobsen,Alternativet,,255
Anders Krojgaard Lund,Konservative,,252
Magnus Bigum,Danmarksdemokraterne,,247
Jacob Skjærris,Konservative,,244
Louise Stenmann,Socialdemokratiet,,231
Jakob Jensen,Enhedslisten,,231
Mathias Thybo,Socialdemokratiet,,221
Emil M. D. Christensen,Venstre,,217
Chris Hvidberg,Liberal Alliance,,213
Hans Skou,Venstre,,200
Michael Faust Horsbøl,Konservative,,188
Christina Hedegaard Hansen,Enhedslisten,,181
Viktor Thyregod Sivertsen,Konservative,,178
Martin Laursen,Enhedslisten,,177
Erik Særkjær,Socialdemokratiet,,169
Søren Skjold Andersen,Udenfor parti,,159
Viviane Ellasofie Karlsen,Borgernes Parti,,154
Pernille Skærsø,Alternativet,,148
Louise Svenstrup,Liberal Alliance,,139
Lars Abildskov,Liberal Alliance,,119
Søren Jensen,Liberal Alliance,,115
Dennis Munk,Enhedslisten,,111
Anna Calero,Alternativet,,99
Thor Clasen Jonasen,Alternativet,,93
Karina Konrad,Alternativet,,91
Mercedes Czank,Dansk Folkeparti,,90
Morten Sørensen,Konservative,,72
Niels Povlsgaard,Liberal Alliance,,65
Bia Ndamukunda,Konservative,,60
Michael Klausen,Liberal Alliance,,54
Thomas Due Nielsen,Alternativet,,37
Juma Nellemann Kruse,Alternativet,,37
Hanne K. Mortensen,Alternativet,,35
Sasja Elkjær Krogsdal,Alternativet,,34
Mads Damgaard Mortensen,Alternativet,,28
Thomas Quist Mortensen,Alternativet,,27
Tenna Duch Schaldemose,Alternativet,,24
Marcus Bech Pedersen,Alternativet,,20
Kim Sørensen,Alternativet,,18
Lissi Bagge,Alternativet,,16
Michael Bang Pedersen,Borgernes Parti,,15
