kandidat,parti,valgt,stemmer
Knud Gaarn-Larsen,Udenfor parti,,240
Søren Gade,Venstre,,72
Anne Paulin,Socialdemokratiet,,58
Dina Andersen-Raabjerg,Konservative,,47
Signe Munk,SF,,37
Trine Jepsen,Venstre,,29
Mads Fuglede,Danmarksdemokraterne,,26
Dennis Flydtkjær,Danmarksdemokraterne,,24
Michelle Sundahl,Dansk Folkeparti,,18
Søren Boel Olesen,Dansk Folkeparti,,18
Mikael Würtz,Dansk Folkeparti,,17
Thomas Danielsen,Venstre,,15
Mogens Jensen,Socialdemokratiet,,14
Emma Thorup Jacobsen,SF,,12
Betina Kastbjerg,Danmarksdemokraterne,,12
Marcus Juul Grønbæk,Danmarksdemokraterne,,11
Morten E.G. Brautsch,Moderaterne,,10
Peter Kempf Pedersen,Socialdemokratiet,,9
Marianne Karlsmose,Konservative,,9
Carsten Bach,Liberal Alliance,,8
Helge K. Frandsen,Borgernes Parti,,8
Lone Langballe,Dansk Folkeparti,,7
Jes Halfdan,Borgernes Parti,,7
Henning Lindberg,Enhedslisten,,5
Helle Jensen,Liberal Alliance,,5
Johan Brødsgaard,Radikale,,5
Katrine Evelyn Jensen,Socialdemokratiet,,5
Lise Bertelsen,Konservative,,5
Nils Brøgger,SF,,5
Stine Ry Andersen,Enhedslisten,,4
Maria Enemark,Borgernes Parti,,4
Anders Andreasen,Socialdemokratiet,,4
Eva Borchorst Mejnertz,Socialdemokratiet,,4
Philip Vivet,Radikale,,4
Lisbeth Torfing,Enhedslisten,,4
Erik Flyvholm,Venstre,,3
Thorbjørn Jacobsen,Liberal Alliance,,3
Kasper Thomassen,Venstre,,3
Frederik Houmann Thuesen,Venstre,,3
Vinnie Borbjerg,Socialdemokratiet,,3
Jeppe von Berg,Moderaterne,,3
Martin Sanderhoff,Moderaterne,,3
Signe Sofie Larsen,Alternativet,,3
Michael Valbjørn,Liberal Alliance,,2
Lise Jørgensen,Socialdemokratiet,,2
Svend Stein Olsen,Liberal Alliance,,2
Ralf Høgedal,Venstre,,2
Michael Grove,Konservative,,2
Steffen Tolstrup,Alternativet,,2
Michael Nielsen,Moderaterne,,2
Gert Bækgaard,Venstre,,2
Knud Nielsen,Dansk Folkeparti,,2
Morten Høgh,Venstre,,2
Steffen Troldtoft,Liberal Alliance,,1
Siff Tang Lassen,Konservative,,1
Aksel Rosager Johansen,Enhedslisten,,1
Didde Krabbe Johannesen,Alternativet,,1
Per Kamp Stefansen,Socialdemokratiet,,1
Nicklas Verne,Konservative,,1
Morten Vehl Revsbeck,Danmarksdemokraterne,,1
Bente Refslund,SF,,1
Casper Hindkjær,Radikale,,1
Peter Bilgrav,Alternativet,,1
Jørgen Christian Pedersen,Konservative,,1
Kim Pagels,Radikale,,1
Lone Kjær Hein,Radikale,,1
Jarl Matthiesen,Venstre,,1
Niels Kristian Larsen,SF,,1
Lars Fibæk,Socialdemokratiet,,1
Hanne Frølund,Radikale,,1
Keld Lorenzen,Liberal Alliance,,1
Jacob Abildgaard,Enhedslisten,,0
Majbrit Nørgaard,Venstre,,0
Lina Sikora Christiansen,Alternativet,,0
Lars Dohn,Enhedslisten,,0
Anders Bøge,SF,,0
Kevin Possekel,Liberal Alliance,,0
Lau Sørensen,Konservative,,0
Gorm Hoff Lauridsen,Konservative,,0
Simon Højer,Konservative,,0
Kasper B.G. Lauritsen,Socialdemokratiet,,0
Vivi Altenburg,Danmarksdemokraterne,,0
Iben Forum Jeppesen,Liberal Alliance,,0
Lennart Qvist,Konservative,,0
Damian Hartvig Mathiesen,Enhedslisten,,0
Peter Vestergaard,Radikale,,0
Annette Sofia Skotte,Liberal Alliance,,0
Nicklas Stampe Raabjerg,Alternativet,,0
Ragnar Dixen,Liberal Alliance,,0
Henning Bo Madsen,Enhedslisten,,0
Christian Juhl,Enhedslisten,,0
