parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,21.2,30.3
Radikale Venstre,Radikale Venstre,3.1,
Det Konservative Folkeparti,Det Konservative Folkeparti,2.8,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,13.7,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,3.2,
LA,Liberal Alliance,6.4,6.6
M,Moderaterne,8.2,10.8
DF,Dansk Folkeparti,12.5,4.3
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",7.0,
ALT,Alternativet,4.8,1.9
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,10.1,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,7.0,
