parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,21.5,32.5
Radikale Venstre,Radikale Venstre,3.3,
Det Konservative Folkeparti,Det Konservative Folkeparti,5.7,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,9.0,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,5.6,
LA,Liberal Alliance,9.3,6.4
M,Moderaterne,7.4,9.9
DF,Dansk Folkeparti,11.1,2.6
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",12.8,
ALT,Alternativet,1.4,2.7
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,10.0,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,2.8,
