parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,18.0,28.4
Radikale Venstre,Radikale Venstre,1.5,
Det Konservative Folkeparti,Det Konservative Folkeparti,3.3,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,5.2,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,4.2,
LA,Liberal Alliance,9.6,7.6
M,Moderaterne,7.0,9.3
DF,Dansk Folkeparti,12.8,2.8
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",21.0,
ALT,Alternativet,0.8,1.4
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,15.3,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,1.2,
