parti_bogstav,parti,procent_26,procent_22
S,Socialdemokratiet,17.9,25.3
Radikale Venstre,Radikale Venstre,1.9,
Det Konservative Folkeparti,Det Konservative Folkeparti,2.9,
SF - Socialistisk Folkeparti,SF - Socialistisk Folkeparti,7.4,
Borgernes Parti - Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,3.3,
LA,Liberal Alliance,7.7,7.8
M,Moderaterne,4.1,6.8
DF,Dansk Folkeparti,8.8,2.0
UP,Udenfor parti,0.3,0.1
"Venstre, Danmarks Liberale Parti","Venstre, Danmarks Liberale Parti",22.5,
ALT,Alternativet,2.0,1.5
Danmarksdemokraterne - Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,19.2,
Enhedslisten - De Rød-Grønne,Enhedslisten - De Rød-Grønne,2.1,
